##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@스타벅스
스타벅스|광주운남DT점|126.818062|35.175136|스타벅스|062-953-3621|광주광역시 광산구 임방울대로 156|광주광역시 광산구 운남동 414-31|드라이브스루;에스프레소초이스;주차;콜드브루커피||||||스타벅스 광주운남DT점|(운남동)|||80702
스타벅스|광주산정DT점|126.804191|35.173524|스타벅스|062-954-3595|광주광역시 광산구 용아로 342|광주광역시 광산구 산정동 917-11|드라이브스루;에스프레소초이스;주차;콜드브루커피||||||스타벅스 광주산정DT점|(산정동);12,13|||80702
스타벅스|광주흑석DT점|126.807887|35.176936|스타벅스|062-954-3446|광주광역시 광산구 사암로 367|광주광역시 광산구 산정동 909-3|드라이브스루;에스프레소초이스;주차;콜드브루커피||||||스타벅스 광주흑석DT점|(산정동)|||80702
스타벅스|광주송정역점|126.791444|35.138026|스타벅스|062-942-3360|광주광역시 광산구 상무대로205번길 6|광주광역시 광산구 송정동 1427|에스프레소초이스;콜드브루커피;나이트로콜드브루커피;터미널/기차역||||||스타벅스 광주송정역점|(송정동)|||80702
스타벅스|광주수완DT점|126.819065|35.203175|스타벅스|062-952-3291|광주광역시 광산구 임방울대로 487|광주광역시 광산구 수완동 670-11|드라이브스루;에스프레소초이스;주차;콜드브루커피;나이트로콜드브루커피||||||스타벅스 광주수완DT점|(수완동)|||80702
스타벅스|광주신가DT점|126.8301259|35.1790467|스타벅스|062-962-6855|광주광역시 광산구 목련로 335|광주광역시 광산구 신가동 706-1|드라이브스루;에스프레소초이스;주차;콜드브루커피||||||스타벅스 광주신가DT점|(신가동)|||80702
스타벅스|광주쌍암점|126.84242110000002|35.2192427|스타벅스|062-972-9805|광주광역시 광산구 첨단중앙로 158|광주광역시 광산구 쌍암동 656-3|에스프레소초이스;콜드브루커피;현금없는매장||||||스타벅스 광주쌍암점|(쌍암동)|||80702
스타벅스|광주장덕점|126.819259|35.191469|스타벅스|062-959-8706|광주광역시 광산구 장신로 85|광주광역시 광산구 장덕동 1302|에스프레소초이스;콜드브루커피;현금없는매장||||||스타벅스 광주장덕점|(장덕동)|||80702
스타벅스|광주하남점|126.810218|35.162722|스타벅스|062-959-8679|광주광역시 광산구 사암로216번길 38-16|광주광역시 광산구 우산동 1585-5|에스프레소초이스;콜드브루커피;현금없는매장||||||스타벅스 광주하남점|1~2층 (우산동);1~ 2층|||80702
스타벅스|광주첨단점|126.843227|35.214806|스타벅스|062-971-8719|광주광역시 광산구 첨단중앙로 104|광주광역시 광산구 월계동 889-1|에스프레소초이스;콜드브루커피;현금없는매장||||||스타벅스 광주첨단점|(월계동)|||80702
스타벅스|광산수완점|126.824804|35.190397|스타벅스|062-962-8384|광주광역시 광산구 장신로 134|광주광역시 광산구 수완동 1426|에스프레소초이스;콜드브루커피;현금없는매장||||||스타벅스 광산수완점|1~2층 (수완동);1~ 2층|||80702
스타벅스|광주봉선로점|126.907898|35.124262|스타벅스|062-653-3591|광주광역시 남구 제석로 104|광주광역시 남구 봉선동 1095|주차;콜드브루커피;현금없는매장||||||스타벅스 광주봉선로점|(봉선동);202동 B102호|||80702
스타벅스|광주서문대로점|126.898595|35.119448|스타벅스|062-672-3385|광주광역시 남구 서문대로 665|광주광역시 남구 진월동 264|주차;콜드브루커피;현금없는매장||||||스타벅스 광주서문대로점|(진월동)|||80702
스타벅스|광주방림DT점|126.917698|35.134980|스타벅스|062-654-3277|광주광역시 남구 대남대로 67|광주광역시 남구 방림동 343-20|드라이브스루;에스프레소초이스;주차;콜드브루커피||||||스타벅스 광주방림DT점|(방림동)|||80702
스타벅스|광주봉선중앙점|126.9112507|35.1254197|스타벅스|062-653-7844|광주광역시 남구 봉선중앙로 51|광주광역시 남구 봉선동 473-19|에스프레소초이스;주차;콜드브루커피;현금없는매장||||||스타벅스 광주봉선중앙점|(봉선동)|||80702
스타벅스|광주진월점|126.897221|35.125781|스타벅스|062-675-9556|광주광역시 남구 서문대로 745|광주광역시 남구 주월동 408-1|에스프레소초이스;주차;콜드브루커피;현금없는매장||||||스타벅스 광주진월점|(주월동);외 7필지|||80702
스타벅스|광주봉선점|126.914111|35.122921|스타벅스|062-651-8363|광주광역시 남구 봉선로 176|광주광역시 남구 봉선동 109-8|주차;콜드브루커피;현금없는매장||||||스타벅스 광주봉선점|1층 101,111호 (봉선동);1층 101,111호|||80702
스타벅스|광주지산유원지입구점|126.940912|35.154459|스타벅스|062-223-3537|광주광역시 동구 무등로 592|광주광역시 동구 산수동 5|에스프레소초이스;주차;콜드브루커피;현금없는매장||||||스타벅스 광주지산유원지입구점|(산수동)|||80702
스타벅스|광주황금점|126.9145683|35.1473572|스타벅스|062-233-7854|광주광역시 동구 중앙로160번길 14|광주광역시 동구 황금동 107|에스프레소초이스;콜드브루커피;터미널/기차역;지하철인접||||||스타벅스 광주황금점|(황금동)|||80702
스타벅스|광주무등산점|126.954311|35.133909|스타벅스|062-223-8710|광주광역시 동구 증심사길 16|광주광역시 동구 운림동 340-5|에스프레소초이스;콜드브루커피;현금없는매장||||||스타벅스 광주무등산점|(운림동);339|||80702
스타벅스|충장서림점|126.9173077|35.14808817|스타벅스|062-233-1849|광주광역시 동구 충장로 93-5|광주광역시 동구 금남로2가 ~ 35|에스프레소초이스;콜드브루커피;현금없는매장;지하철인접||||||스타벅스 충장서림점|(금남로2가)|||80702
스타벅스|광주충장로점|126.914792|35.149486|스타벅스|062-224-8344|광주광역시 동구 충장로 65|광주광역시 동구 충장로3가 4|에스프레소초이스;콜드브루커피;현금없는매장;지하철인접||||||스타벅스 광주충장로점|(충장로3가)|||80702
스타벅스|충장일가점|126.918252|35.146797|스타벅스|062-223-8432|광주광역시 동구 서석로 43|광주광역시 동구 충장로1가 13-8|에스프레소초이스;콜드브루커피;현금없는매장;지하철인접||||||스타벅스 충장일가점|(충장로1가)|||80702
스타벅스|조선대점|126.930183|35.144608|스타벅스|062-222-9574|광주광역시 동구 지산로 3|광주광역시 동구 서석동 419-1|에스프레소초이스;콜드브루커피;현금없는매장;대학가||||||스타벅스 조선대점|(서석동)|||80702
스타벅스|광주신안DT점|126.894998|35.171678|스타벅스|062-511-3594|광주광역시 북구 서암대로 93|광주광역시 북구 신안동 333|드라이브스루;에스프레소초이스;주차;콜드브루커피;병원||||||스타벅스 광주신안DT점|(신안동)|||80702
스타벅스|광주매곡DT점|126.898698|35.189836|스타벅스|062-573-3454|광주광역시 북구 설죽로 339|광주광역시 북구 매곡동 15|드라이브스루;에스프레소초이스;주차;콜드브루커피;병원||||||스타벅스 광주매곡DT점|(매곡동)|||80702
스타벅스|광주두암타운점|126.937388|35.162112|스타벅스|062-252-3427|광주광역시 북구 삼정로 4|광주광역시 북구 두암동 969-7|주차;콜드브루커피;현금없는매장||||||스타벅스 광주두암타운점|(두암동);101호|||80702
스타벅스|광주일곡점|126.898114|35.205463|스타벅스|062-575-3394|광주광역시 북구 설죽로 518|광주광역시 북구 일곡동 821-1|콜드브루커피;현금없는매장||||||스타벅스 광주일곡점|(일곡동)|||80702
스타벅스|광주북구청점|126.914469|35.17483|스타벅스|062-251-3202|광주광역시 북구 서방로9번길 30|광주광역시 북구 중흥동 276-1|에스프레소초이스;콜드브루커피;현금없는매장||||||스타벅스 광주북구청점|(중흥동)|||80702
스타벅스|광주운암DT점|126.87841320000007|35.1776306|스타벅스|062-511-8950|광주광역시 북구 북문대로 78|광주광역시 북구 운암동 65-11|드라이브스루;에스프레소초이스;주차;콜드브루커피||||||스타벅스 광주운암DT점|(운암동)|||80702
스타벅스|광주첨단신용점|126.864115|35.20701|스타벅스|062-572-9949|광주광역시 북구 첨단연신로 101|광주광역시 북구 신용동 734|에스프레소초이스;주차;콜드브루커피;현금없는매장||||||스타벅스 광주첨단신용점|(신용동)|||80702
스타벅스|광주용두DT점|126.868485|35.212837|스타벅스|062-574-1911|광주광역시 북구 임방울대로 1016|광주광역시 북구 신용동 산41-19|드라이브스루;에스프레소초이스;주차;콜드브루커피||||||스타벅스 광주용두DT점|(신용동)|||80702
스타벅스|전남대점|126.9124787|35.17719867|스타벅스|062-251-0604|광주광역시 북구 우치로 110|광주광역시 북구 용봉동 152-1|에스프레소초이스;콜드브루커피;현금없는매장;대학가||||||스타벅스 전남대점|1,2,3층 (용봉동);1,2,3층|||80702
스타벅스|광주용봉점|126.895196|35.178664|스타벅스|062-523-8471|광주광역시 북구 저불로 45|광주광역시 북구 용봉동 1383-4|에스프레소초이스;콜드브루커피;현금없는매장||||||스타벅스 광주용봉점|(용봉동)|||80702
스타벅스|광주신세계DT점|126.8831|35.1563|스타벅스|062-352-3682|광주광역시 서구 죽봉대로 33|광주광역시 서구 화정동 177-2|드라이브스루;주차;콜드브루커피;터미널/기차역;지하철인접||||||스타벅스 광주신세계DT점|(화정동)|||80702
스타벅스|광주상무DT점|126.8550|35.1502|스타벅스|062-373-3685|광주광역시 서구 상무대로 847|광주광역시 서구 쌍촌동 973-9|드라이브스루;에스프레소초이스;주차;콜드브루커피;지하철인접||||||스타벅스 광주상무DT점|(쌍촌동)|||80702
스타벅스|광주화정DT점|126.879997|35.152205|스타벅스|062-362-3539|광주광역시 서구 상무대로 1080|광주광역시 서구 화정동 769-1|드라이브스루;에스프레소초이스;주차;콜드브루커피||||||스타벅스 광주화정DT점||||80702
스타벅스|광주상무중앙로점|126.848815|35.151021|스타벅스|062-375-3326|광주광역시 서구 상무중앙로 46|광주광역시 서구 치평동 1251-1|에스프레소초이스;콜드브루커피;현금없는매장;지하철인접||||||스타벅스 광주상무중앙로점|(치평동) 1층|||80702
스타벅스|광주상무시민로점|126.854437|35.154963|스타벅스|062-371-3264|광주광역시 서구 운천로 253|광주광역시 서구 치평동 1223|에스프레소초이스;콜드브루커피;현금없는매장||||||스타벅스 광주상무시민로점|(치평동) 103호|||80702
스타벅스|광주풍암점|126.8796486|35.1268447|스타벅스|062-674-3203|광주광역시 서구 풍암2로 8|광주광역시 서구 풍암동 1119|에스프레소초이스;콜드브루커피;현금없는매장||||||스타벅스 광주풍암점|(풍암동) 한아름빌딩;한아름빌딩 101호|||80702
스타벅스|광주금호DT점|126.85766460000002|35.1421126|스타벅스|062-381-7905|광주광역시 서구 운천로 107|광주광역시 서구 쌍촌동 902-13|드라이브스루;에스프레소초이스;주차;콜드브루커피;터미널/기차역||||||스타벅스 광주금호DT점|(쌍촌동);11|||80702
스타벅스|광주상무대교점|126.848788|35.1551|스타벅스|062-372-8684|광주광역시 서구 상무중앙로 90|광주광역시 서구 치평동 1216|스타벅스리저브;콜드브루커피;현금없는매장||||||스타벅스 광주상무대교점|눈높이상무센터 1층 (치평동);눈높이상무센터 1층|||80702
스타벅스|광주동림점|126.86618|35.171734|스타벅스|062-514-3667|광주광역시 서구 하남대로 672-1|광주광역시 서구 동천동 596|에스프레소초이스;주차;콜드브루커피;현금없는매장||||||스타벅스 광주동림점|1층 (동천동);1층|||80702
