##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@투썸플레이스
투썸플레이스|남대전IC점|||투썸플레이스|042-282-9333|대전광역시 동구 산내로 1217-8|대전 동구 구도동 156-5||07:00 ~ 23:00|||||투썸플레이스 남대전IC점|(구도동) 1층;1층|||80714
투썸플레이스|광명신촌사거리점|||투썸플레이스|02-897-3006|경기 광명시 금하로 529|경기 광명시 소하동 36-52||평일 07:00 23:00, 토,일 08:00 23:00|||||투썸플레이스 광명신촌사거리점|1,2층|||80714
투썸플레이스|신촌대로점|||투썸플레이스|02-6402-2366|서울특별시 마포구 신촌로 74|서울특별시 마포구 노고산동 49-25||월~목 07:30 22:30, 금,토 07:30 23:30, 일 09:00 22:00|||||투썸플레이스 신촌대로점|(노고산동) 1층|||80714
투썸플레이스|부산송정힐스점|||투썸플레이스|051-704-2347|부산광역시 해운대구 송정광어골로 83|부산 해운대구 송정동 446-2||24시간|||||투썸플레이스 부산송정힐스점|(송정동) 2층;2층|||80714
투썸플레이스|제주영어도시점|||투썸플레이스|064-792-6555|제주특별자치도 서귀포시 대정읍 글로벌에듀로 370|제주 서귀포시 대정읍 2477||평일 / 주말 08시~21시|||||투썸플레이스 제주영어도시점|(보성리) 1층|||80714
투썸플레이스|상수역점|||투썸플레이스|02-6012-1011|서울특별시 마포구 독막로 86|서울 마포구 상수동 324-9||08시~23시|||||투썸플레이스 상수역점|(상수동) 1층;1층|||80714
투썸플레이스|구리중앙점|||투썸플레이스|031-566-6669|경기 구리시 이문안로 62|경기 구리시 수택동 847-1||MON SUM : 08:00~23:00|||||투썸플레이스 구리중앙점||||80714
투썸플레이스|도농사거리점|||투썸플레이스|031-558-8244|경기도 남양주시 경춘로 365|경기도 남양주시 다산동 4129-1||월 일 : 08:00~23:00|||||투썸플레이스 도농사거리점|(다산동) 1층|||80714
투썸플레이스|을지트윈타워점|||투썸플레이스|02-3706-7200|서울특별시 중구 을지로 170|서울 중구 을지로4가 261-4||월~금 07:00~23:00 / 토~일 08:00~22:00|||||투썸플레이스 을지트윈타워점|(을지로4가) 을지트윈타워;을지트윈타워 1|||80714
투썸플레이스|마산해운동점|||투썸플레이스|055-221-5119|경상남도 창원시 마산합포구 월영동4길 10|경남 창원시 마산합포구 해운동 5-119||08:00~23:00|||||투썸플레이스 마산해운동점||||80714
투썸플레이스|원흥역점|||투썸플레이스|031-968-5472|경기도 고양시 덕양구 권율대로 668|경기 고양시 덕양구 원흥동 628||09:30~22:30|||||투썸플레이스 원흥역점|(원흥동) 1층;TOP클래식 1층|||80714
투썸플레이스|파주동패점|||투썸플레이스|031-943-1831||경기 파주시 동패동 36-11||09:00~23:00|||||투썸플레이스 파주동패점|1층 2|||80714
투썸플레이스|여수루지파크점|||투썸플레이스|061-685-0110|전라남도 여수시 소라면 안심산길 155|전남 여수시 소라면 116||09시 ~ 21시|||||투썸플레이스 여수루지파크점|(죽림리) N동,6층;N동 6층|||80714
투썸플레이스|시흥능곡점|||투썸플레이스|031-313-2671|경기도 시흥시 장현능곡로 188|경기 시흥시 능곡동 734||08:30~23:00|||||투썸플레이스 시흥능곡점|(능곡동) 106,107,202호|||80714
투썸플레이스|순천풍덕점|||투썸플레이스|061-813-0000|전라남도 순천시 하풍동길 1-1|전남 순천시 풍덕동 290-12||8시 ~ 23시|||||투썸플레이스 순천풍덕점|(풍덕동,호텔라움) 1층;1층|||80714
