##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@이디야
이디야|강릉CGV점|||이디야|033-647-2345|강원 강릉시 경강로 2120|||평일 운영시간 : 08:00 ~ 23:00;주말 및 공휴일 : 08:30 ~ 23:30|||||이디야 강릉CGV점|(옥천동)|||80716
이디야|강릉교동택지점|||이디야|033-655-5529|강원 강릉시 솔올로 39|||평일 운영시간 : 08:00 ~ 01:00월~목, 일 : 08:00 ~ 01:00금,토 : 08:00 ~ 02:00|||||이디야 강릉교동택지점|(교동)|||80716
이디야|강릉내곡점|||이디야|033-641-8753|강원 강릉시 범일로 601|||평일 운영시간 : 09:00 ~ 23:00;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 강릉내곡점|(내곡동)|||80716
이디야|강릉사천점|||이디야|033-644-2531|강원 강릉시 사천면 진리해변길 68-14|||평일 운영시간 : 09:00 ~ 21:00;주말 및 공휴일 : 09:00 ~ 21:00|||||이디야 강릉사천점|(사천진리) 1층 이디야 커피|||80716
이디야|강릉역점|||이디야|033-644-2044|강원 강릉시 용지로 174-6|||평일 운영시간 : 07:00 ~ 22:00;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 강릉역점|(교동) 1층 이디야 커피|||80716
이디야|강릉옥천점|||이디야|033-642-8211|강원 강릉시 옥천로 62|||평일 운영시간 : 09:00 ~ 23:00;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 강릉옥천점|(옥천동)|||80716
이디야|강릉올림픽선수촌점|||이디야|033-531-3500|강원 강릉시 선수촌로 79-15|||평일 운영시간 : 08:00 ~ 23:00;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 강릉올림픽선수촌점|(홍제동)|||80716
이디야|강릉입암점|||이디야|033-645-9716|강원 강릉시 강변로410번길 41|||평일 운영시간 : 09:00 ~ 22:00;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 강릉입암점|(입암동) 1층 이디야커피|||80716
이디야|강릉중앙점|||이디야|033-646-5133|강원 강릉시 금성로 58|||평일 운영시간 : 09:00 ~ 23:00;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 강릉중앙점|(금학동)|||80716
이디야|강릉포남점|||이디야|033-653-0423|강원 강릉시 하평1길 16-5|||평일 운영시간 : 08:00 ~ 00:00;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 강릉포남점|(포남동)|||80716
