##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@뚜레쥬르
뚜레쥬르|카페판교역점|||뚜레쥬르|031-999-9999|경기도 성남시 분당구 분당내곡로 117|경기도 성남시 분당구 백현동 535|||||||뚜레쥬르 카페판교역점|(백현동) 크래프톤타워 1층 106호;크래프톤타워 1층 106호|||80802
뚜레쥬르|용마산역점|37.5749343|127.0850856|뚜레쥬르|02-2209-3662|서울특별시 중랑구 면목로 245|서울특별시 중랑구 면목동 379-1|||||||뚜레쥬르 용마산역점|(면목동)|||80802
뚜레쥬르|동탄호수공원점|37.1665438|127.1072915|뚜레쥬르|031-831-8882|경기도 화성시 동탄순환대로 127-9|경기도 화성시 산척동 609|||||||뚜레쥬르 동탄호수공원점|1층 109~111호;1층 109~111호|||80802
뚜레쥬르|도청신도시점|36.5781171|128.4897028|뚜레쥬르|054-988-8088|경상북도 예천군 호명면 행복로 229|경상북도 예천군 호명면 산합리 1398|||||||뚜레쥬르 도청신도시점|(경북도청신도시우방아이유쉘센트럴);경북도청신도시우방아이유쉘센트럴|||80802
뚜레쥬르|수락노일점|37.6740027|127.0549096|뚜레쥬르|02-454-6070|서울특별시 노원구 동일로237길 2||||||||뚜레쥬르 수락노일점|(삼계동,삼덕빌딩);삼덕빌딩|||80802
뚜레쥬르|세종소담점|36.4789450|127.2969527|뚜레쥬르|044-866-1888|세종특별자치시 보람동로 14|세종특별자치시 보람동 637-2|||||||뚜레쥬르 세종소담점|(보람동,호려울마을8단지) 제상가5동 제1층 제503호;(호려울마을8단지) 제상가5동 제1층 제503호|||80802
뚜레쥬르|홍성내포극동점|36.6537959|126.6723698|뚜레쥬르|041-634-0444|충청남도 홍성군 홍북읍 신대로 33|충청남도 홍성군 홍북읍 신경리 928|||||||뚜레쥬르 홍성내포극동점|(신경리,극동스타클래스센트럴) 상가동 뚜레쥬르 홍성내포극동;(극동스타클래스센트럴) 상가동 뚜레쥬르 홍성내포극동점|||80802
뚜레쥬르|수원판타지움점|37.2451125|127.0618981|뚜레쥬르|031-206-3033|경기도 수원시 영통구 덕영대로 1566|경기도 수원시 영통구 영통동 981-2|||||||뚜레쥬르 수원판타지움점|(영통동) 판타지움몰 1층;판타지움몰 1층|||80802
뚜레쥬르|광주경안점|37.4101543|127.2583016|뚜레쥬르|000-000-0000|경기도 광주시 중앙로 118|경기도 광주시 경안동 56-10|||||||뚜레쥬르 광주경안점|(경안동) 1층;1층|||80802
뚜레쥬르|밀양미리벌점|35.4835106|128.7479727|뚜레쥬르|051-000-0000|경상남도 밀양시 미리벌중앙로5길 7|경상남도 밀양시 삼문동 725-1|||||||뚜레쥬르 밀양미리벌점|(삼문동) -;-|||80802
뚜레쥬르|시흥은계로데오점|37.4366407|126.8016279|뚜레쥬르|031-312-2630|경기도 시흥시 은계번영길 1|경기도 시흥시 은행동 140-4|||||||뚜레쥬르 시흥은계로데오점|(은행동,태산W타워) 114,115호;(태산W타워) 114,115호|||80802
뚜레쥬르|마석라온점|37.6510030|127.2969084|뚜레쥬르|031-592-1326|경기도 남양주시 화도읍 경춘보학1길 7|경기도 남양주시 화도읍 녹촌리 566|||||||뚜레쥬르 마석라온점|(녹촌리,남양주라온프라이빗4단지) 101호 (라온프라이빗 4단;(남양주라온프라이빗4단지) 101호 (라온프라이빗 4단지|||80802
뚜레쥬르|김포마산점|37.6362250|126.6391621|뚜레쥬르|031-984-2201|경기도 김포시 김포한강8로 173-59|경기도 김포시 마산동 672-3|||||||뚜레쥬르 김포마산점|(마산동,e편한세상한강신도시2차) 113,114,1;(e편한세상한강신도시2차) 113,114,115호|||80802
뚜레쥬르|부개점|37.5042619|126.7396814|뚜레쥬르|032-999-9999|인천광역시 부평구 부개로 73|인천광역시 부평구 부개동 496-17|||||||뚜레쥬르 부개점|(부개동) 뚜레쥬르 부개점;뚜레쥬르 부개점|||80802
뚜레쥬르|세종보람점|36.4768361|127.2888523|뚜레쥬르|044-867-9980|세종특별자치시 남세종로 462|세종특별자치시 보람동 700-76|||||||뚜레쥬르 세종보람점|(보람동,위너스타워) 뚜레쥬르 세종보람점;(위너스타워) 뚜레쥬르 세종보람점|||80802
뚜레쥬르|수원정자블루밍점|37.3054845|126.9954486|뚜레쥬르|031-253-0445|경기도 수원시 장안구 파장로 47|경기도 수원시 장안구 정자동 419|||||||뚜레쥬르 수원정자블루밍점|(정자동) 경원피아노;경원피아노|||80802
뚜레쥬르|면목점|37.5902738|127.0872886|뚜레쥬르|02-434-0445|서울특별시 중랑구 면목로 430|서울특별시 중랑구 면목동 121-10|||||||뚜레쥬르 면목점|(면목동) 뚜레쥬르 면목;뚜레쥬르 면목|||80802
뚜레쥬르|경산하양점|35.9115293|128.8160732|뚜레쥬르|053-856-6363|경상북도 경산시 하양읍 하양로 69|경상북도 경산시 하양읍 금락리 117-20|||||||뚜레쥬르 경산하양점|(금락리,크레용빌) 1층;(크레용빌) 1층|||80802
뚜레쥬르|동탄영천점|37.2059856|127.1120291|뚜레쥬르|031-377-3076|경기도 화성시 지산2길 4-12|경기도 화성시 영천동 651-1320|||||||뚜레쥬르 동탄영천점|1층|||80802
뚜레쥬르|광장힐스테이트점|37.5435100|127.0996819|뚜레쥬르|02-455-0400|서울특별시 광진구 아차산로 537-17|서울특별시 광진구 광장동 582|||||||뚜레쥬르 광장힐스테이트점|(광장동,광장힐스테이트) 1층 15호;(광장힐스테이트) 1층 15호|||80802
뚜레쥬르|울산옥동본점|35.5356323|129.2902476|뚜레쥬르|051-000-0000|울산광역시 남구 문수로335번길 5|울산광역시 남구 옥동 590-6|||||||뚜레쥬르 울산옥동본점|(목동)|||80802
뚜레쥬르|서면1번가점|35.1543264|129.0567784|뚜레쥬르|051-806-7797|부산광역시 부산진구 중앙대로691번길 41|부산광역시 부산진구 부전동 524-1|||||||뚜레쥬르 서면1번가점|(부전동)|||80802
뚜레쥬르|청주방서점|36.6002609|127.5011717|뚜레쥬르|043-286-2334|충청북도 청주시 상당구 단재로 316|충청북도 청주시 상당구 방서동 247-9|||||||뚜레쥬르 청주방서점|(방서동,청주센트럴자이) A동 111,112호 뚜레쥬르;(청주센트럴자이) A동 111,112호 뚜레쥬르 청주|||80802
뚜레쥬르|까치산점|37.5342568|126.8474577|뚜레쥬르|02-2604-0079|서울특별시 강서구 강서로18길 33|서울특별시 강서구 화곡동 339-14|||||||뚜레쥬르 까치산점|(화곡동) 1층;1층|||80802
뚜레쥬르|청도휴게소(대구)점|35.5944462|128.7696649|뚜레쥬르|054-373-6280|경상북도 청도군 청도읍 하지길 59-50|경상북도 청도군 청도읍 거연리 산288-4|||||||뚜레쥬르 청도휴게소(대구)점|(거연리) (주)케이알산업 청도 (상)휴게소 뚜레쥬르;(주)케이알산업 청도 (상)휴게소 뚜레쥬르|||80802
뚜레쥬르|카페동탄물류점|37.1719872|127.1330283|뚜레쥬르|000-0000-0000|경기도 화성시 동탄물류로 69|경기도 화성시 신동 706|||||||뚜레쥬르 카페동탄물류점|D2 101호,102호 (신동);D2지원시설 1층 101호|||80802
뚜레쥬르|청도휴게소(부산)점|35.5953638|128.7668684|뚜레쥬르|054-373-8182|경상북도 청도군 청도읍 하지길 59-49|경상북도 청도군 청도읍 거연리 950|||||||뚜레쥬르 청도휴게소(부산)점|(거연리) (주)케이알산업청도 (하)휴게소 뚜레쥬르;(주)케이알산업청도 (하)휴게소 뚜레쥬르|||80802
뚜레쥬르|풍무센트럴푸르지오점|37.6096098|126.7256857|뚜레쥬르|031-998-1187|경기도 김포시 풍무2로 33|경기도 김포시 풍무동 217|||||||뚜레쥬르 풍무센트럴푸르지오점|(풍무동) 오렌지빌딩 1층;오렌지빌딩 1층|||80802
뚜레쥬르|창동동아점|37.6577017|127.0484720|뚜레쥬르|02-991-0049|서울특별시 도봉구 노해로69길 103|서울특별시 도봉구 창동 808|||||||뚜레쥬르 창동동아점|(창동,동아청솔아파트) 동아청솔상가1층 109호;(동아청솔아파트) 동아청솔상가1층 109호|||80802
뚜레쥬르|문래6가점|37.5189767|126.8862918|뚜레쥬르|02-2257-8222|서울특별시 영등포구 선유로13길 25|서울특별시 영등포구 문래동6가 24-1|||||||뚜레쥬르 문래6가점|(문래동6가,에이스하이테크시티2) 1층;(에이스하이테크시티2) 1층|||80802
뚜레쥬르|전남함평점|35.0638427|126.5199280|뚜레쥬르|061-324-0037|전라남도 함평군 함평읍 영수길 175|전라남도 함평군 함평읍 기각리 1002|||||||뚜레쥬르 전남함평점|(기각리) 뚜레쥬르 전남함평;뚜레쥬르 전남함평|||80802
뚜레쥬르|제주중앙병원점|33.4923212|126.4704807|뚜레쥬르|064-711-9580|제주특별자치도 제주시 월랑로 91|제주특별자치도 제주시 이호이동 22|||||||뚜레쥬르 제주중앙병원점|(이호이동,중앙병원) 뚜레쥬르 제주중앙병원;(중앙병원) 뚜레쥬르 제주중앙병원|||80802
뚜레쥬르|청주테크노폴리스점|36.6681316|127.4589127|뚜레쥬르|043-999-9999|충청북도 청주시 흥덕구 송화로214번길 29|충청북도 청주시 흥덕구 송절동 850|||||||뚜레쥬르 청주테크노폴리스점|(송절동,테크노폴리스우미린) 우미린상가 101,102호 (뚜;(테크노폴리스우미린) 우미린상가 101,102호 (뚜레쥬르|||80802
뚜레쥬르|오쇼핑사옥점|37.4689655|126.9880928|뚜레쥬르|010-6668-1361|서울특별시 서초구 과천대로 870-13|서울특별시 서초구 방배동 2724|||||||뚜레쥬르 오쇼핑사옥점|(방배동,(주)CJ오쇼핑) 뚜레쥬르 오쇼핑사옥점;( (주)CJ오쇼핑) 뚜레쥬르 오쇼핑사옥점|||80802
뚜레쥬르|연제이마트점|35.1755411|129.0821314|뚜레쥬르|051-945-3004|부산광역시 연제구 연수로 103|부산광역시 연제구 연산동 822-6|||||||뚜레쥬르 연제이마트점|(연산동) 시청스마트더블유 아파트 1층;시청스마트더블유 아파트 1층|||80802
뚜레쥬르|간석역남부점|37.4631475|126.6950737|뚜레쥬르|070-7543-1677|인천광역시 미추홀구 주안로 226|인천광역시 미추홀구 주안동 1617|||||||뚜레쥬르 간석역남부점|(주안동,더월드스테이트) 1단지 중심상가 114호;(더월드스테이트) 1단지 중심상가 114호|||80802
뚜레쥬르|강동성심병원점|37.5359971|127.1353780|뚜레쥬르|02-477-8808|서울 강동구 성안로 150||||||||뚜레쥬르 강동성심병원점|1층;1층|||80802
뚜레쥬르|청주산남점|36.6108738|127.4657131|뚜레쥬르|043-288-0435|충청북도 청주시 서원구 산남로 75|충청북도 청주시 서원구 산남동 685|||||||뚜레쥬르 청주산남점|(산남동) 1층;1층|||80802
뚜레쥬르|부산화명점|35.2294093|129.0128442|뚜레쥬르|051-364-2222|부산광역시 북구 금곡대로 238|부산광역시 북구 화명동 1130-9|||||||뚜레쥬르 부산화명점|(화명동,롯데캐슬멤버스아파트) 롯데캐슬멤버스아파트 상가동;(롯데캐슬멤버스아파트) 롯데캐슬멤버스아파트 상가동|||80802
뚜레쥬르|신림사거리점|37.4847143|126.9306817|뚜레쥬르|02-866-1906|서울특별시 관악구 남부순환로 1619-1|서울특별시 관악구 신림동 1422-30|||||||뚜레쥬르 신림사거리점|(신림동) 1층;1층|||80802
뚜레쥬르|홍은점|37.5845123|126.9236070|뚜레쥬르|02-374-5505|서울특별시 서대문구 가좌로 141-0|서울 서대문구 홍은2동 346-1|||||||뚜레쥬르 홍은점|(홍은동)|||80802
뚜레쥬르|부천옥길점|37.4621894|126.8188835|뚜레쥬르|032-344-5011|경기도 부천시 옥길로 56번길 24-22|경기도 부천시 옥길동 753-2|||||||뚜레쥬르 부천옥길점|옥길동;옥길동|||80802
