##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@놀부부대찌개
부대찌개|가락부대점|||놀부부대찌개|02-443-8088||서울 송파구 가락동 79-3|예약가능;포장가능;배달불가능;주차가능|10:00   22:00|||||부대찌개 가락부대점|대동빌딩1층;대동빌딩1층|||81021
부대찌개|가산2단지부대점|||놀부부대찌개|02-3397-0977||서울 금천구 가산동 60-19|예약불가능;포장가능;배달불가능;주차가능|11:30   23:00|||||부대찌개 가산2단지부대점|SJ테크노빌지하1층 142;SJ테크노빌지하1층 142|||81021
부대찌개|가산3단지부대점|||놀부부대찌개|02-2025-8298||서울 금천구 가산동 426-5|예약불가능;포장가능;배달불가능;주차불가능|11:30   22:30|||||부대찌개 가산3단지부대점|월드메르디앙벤처센타2차 102호;월드메르디앙벤처센타2차 102호|||81021
부대찌개|가산디지털단지부대점|||놀부부대찌개|02-2083-5382||서울 금천구 가산동 218호 |예약가능;포장가능;배달가능;주차가능|11:30   22:30|||||부대찌개 가산디지털단지부대점||||81021
부대찌개|가좌역부대점|||놀부부대찌개|02-303-2334||서울 서대문구 남가좌1동 102-25|예약가능;포장가능;배달가능;주차가능|11:00   23:00|||||부대찌개 가좌역부대점||||81021
부대찌개|강남고속버스터미널부대|||놀부부대찌개|02-3478-8456||서울 서초구 반포동 19-4|예약가능;포장가능;배달불가능;주차가능|10:30   22:00|||||부대찌개 강남고속버스터미널부대|서울고속본관 지하大2-1;서울고속본관 지하大2-1|||81021
부대찌개|강남씨티부대점|||놀부부대찌개|02-558-7564||서울 강남구 역삼동 619-26|예약가능;포장가능;배달가능;주차불가능|00:00   24:00|||||부대찌개 강남씨티부대점|1층;1층|||81021
부대찌개|강릉씨네몰부대점|||놀부부대찌개|033-646-5949||강원도 강릉시 옥천동 189|예약가능;포장가능;배달가능;주차가능|11:00   10:00|||||부대찌개 강릉씨네몰부대점|외2필지 609,610호;외2필지 609,610호|||81021
부대찌개|강원삼척부대찌개&철판구이점|||놀부부대찌개|033-573-3007||강원 삼척시 남양동 17-11|예약불가능;포장가능;배달불가능;주차불가능|11:00   22:00|||||부대찌개 강원삼척부대찌개&철판구이점||||81021
부대찌개|강원화천부대점|||놀부부대찌개|033-441-4691|강원 화천군 화천읍 상승로 49||예약불가능;포장가능;배달불가능;주차불가능|10:30   22:11|||||부대찌개 강원화천부대점|1층;1층|||81021
