##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@경남은행
경남은행|LH지점|128.147628|35.1785018|경남은행|055-761-2311|경상남도 진주시 충의로 19||||||||경남은행 LH지점|LH진주사옥|||40205
경남은행|STX조선해양지점|128.712446|35.1095193|경남은행|055-552-9445~6|경상남도 창원시 진해구 명제로 60||||||||경남은행 STX조선해양지점|STX조선해양㈜ 미래관|||40205
경남은행|가음정지점|128.698749|35.2074545|경남은행|055-285-7232~4|경상남도 창원시 성산구 대정로 36||||||||경남은행 가음정지점||||40205
경남은행|갑오마을지점|128.797855|35.1860299|경남은행|055-329-3811~2|경상남도 김해시 장유면 대청로 125||||||||경남은행 갑오마을지점|대청프라자 201호|||40205
경남은행|강남지점|127.063641|37.5070224|경남은행|02-561-5501~6|서울특별시 강남구 영동대로 421||||||||경남은행 강남지점|2층;삼탄빌딩|||40205
경남은행|강서지점|128.880015|35.1476641|경남은행|051-832-5014~7|부산광역시 강서구 범방3로29번길 39||||||||경남은행 강서지점||||40205
경남은행|거제기업금융지점|128.618496|34.8905195|경남은행|055-632-4105~6|경상남도 거제시 서문로 3길 26||||||||경남은행 거제기업금융지점|원명빌딩 101호|||40205
경남은행|거제지점|128.623387|34.8873178|경남은행|055-635-5592~3|경상남도 거제시 거제중앙로 1895||||||||경남은행 거제지점||||40205
경남은행|거창지점|127.906487|35.6886096|경남은행|055-944-4591~3|경상남도 거창군 거창읍 거열로 116||||||||경남은행 거창지점||||40205
경남은행|경남대지점|128.554685|35.1814678|경남은행|055-245-9572~3|경상남도 창원시 마산합포구 경상남도대학로 7||||||||경남은행 경남대지점|경남대학교 내|||40205
경남은행|경남도청지점|128.691262|35.2382413|경남은행|055-264-3512,3516|경상남도 창원시 의창구 중앙대로 300||||||||경남은행 경남도청지점|도청 내|||40205
경남은행|경남테크노파크지점|128.604396|35.2519220|경남은행|055-292-6288~9|경상남도 창원시 의창구 창원대로 18번길 22||||||||경남은행 경남테크노파크지점|경남테크노파크 본부동 1층|||40205
경남은행|고성지점|128.325692|34.9746499|경남은행|055-673-4601~4|경상남도 고성군 고성읍 동외로 149||||||||경남은행 고성지점||||40205
경남은행|공업탑지점|129.311562|35.5329536|경남은행|052-273-1922~3|울산광역시 남구 삼산로 34||||||||경남은행 공업탑지점||||40205
경남은행|구미지점|128.418122|36.1071707|경남은행|054-471-3811~4|경북 구미시 인동가산로 14||||||||경남은행 구미지점|201호;시네마월드|||40205
경남은행|구암동지점|128.600801|35.2502104|경남은행|055-299-3141~2|경상남도 창원시 마산회원구 구암남 11길 28||||||||경남은행 구암동지점||||40205
경남은행|구영지점|129.242343|35.5715073|경남은행|052-212-9038~40|울산광역시 울주군 범서읍 구영로 126||||||||경남은행 구영지점||||40205
경남은행|굴화지점|129.264563|35.5546382|경남은행|052-277-7481~4|울산광역시 남구 울밀로 2906||||||||경남은행 굴화지점|101~103호;(무거동) 한솔애플타워|||40205
경남은행|금산지점|128.146051|35.2174481|경남은행|055-757-3801~4|경상남도 진주시 금산면 중천로 84||||||||경남은행 금산지점|2층 202호|||40205
경남은행|김해삼계지점|128.864041|35.2696736|경남은행|055-312-4351~4|경상남도 김해시 가야로 30번길 1||||||||경남은행 김해삼계지점||||40205
경남은행|김해시청지점|128.890367|35.2281069|경남은행|055-325-1768|경상남도 김해시 김해대로 2401||||||||경남은행 김해시청지점|민원실 내;김해시청|||40205
경남은행|김해영업부|128.882963|35.2267545|경남은행|055-332-5502~4|경상남도 김해시 김해대로 2341||||||||경남은행 김해영업부||||40205
경남은행|남마산지점|128.559766|35.1807529|경남은행|055-245-5112~4|경상남도 창원시 마산합포구 해안대로 7||||||||경남은행 남마산지점|남부시네마타운 201호|||40205
경남은행|남목지점|129.42375|35.5393581|경남은행|052-232-2981~3|울산광역시 동구 방어진순환도로 1145||||||||경남은행 남목지점||||40205
경남은행|남진주지점|128.091206|35.1794530|경남은행|055-753-8892~4|경상남도 진주시 진주대로 884||||||||경남은행 남진주지점||||40205
경남은행|남해지점|127.894035|34.8416657|경남은행|055-864-6894~6|경상남도 남해군 남해읍 화전로 116||||||||경남은행 남해지점||||40205
경남은행|내서지점|128.504330|35.231889|경남은행|055-232-8631~2|경상남도 창원시 마산회원구 내서읍 삼계로 5||||||||경남은행 내서지점|1층|||40205
경남은행|내외동지점|128.866810|35.2368994|경남은행|055-322-3312~3|경상남도 김해시 내외중앙로 75||||||||경남은행 내외동지점|1층,2층|||40205
경남은행|녹산지점|128.853906|35.0893881|경남은행|051-831-3250~3|부산광역시 강서구 녹산산단 335로 5||||||||경남은행 녹산지점||||40205
경남은행|달동지점|129.328224|35.5355842|경남은행|052-258-4801~3|울산광역시 남구 번영로 115||||||||경남은행 달동지점||||40205
경남은행|대방동지점|128.707298|35.2122733|경남은행|055-266-5418-9|경상남도 창원시 성산구 대정로 135||||||||경남은행 대방동지점|대방덕산타운상가 2층|||40205
경남은행|대송지점|129.419656|35.4983229|경남은행|052-236-1782~3|울산광역시 동구 대학길 30||||||||경남은행 대송지점|1층;명송빌딩|||40205
경남은행|대우조선지점|128.725319|34.8816715|경남은행|055-682-5265|경상남도 거제시 거제대로 3370||||||||경남은행 대우조선지점|대우조선해양㈜ 내|||40205
경남은행|대청지점|128.800158|35.1937228|경남은행|055-314-1910~3|경상남도 김해시 번화1로 70||||||||경남은행 대청지점|1층 101호;유토피아빌딩|||40205
