##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@전북은행
전북은행|가수원지점|||전북은행|042-544-3080|대전 서구 도안동로 3||||||||전북은행 가수원지점|None;리더스플라자에이 2층 (205호)|||40206
전북은행|노은지점|||전북은행|042-823-5660|대전 유성구 은구비남로 37||||||||전북은행 노은지점|None;(지족동),2층|||40206
전북은행|대전지점|||전북은행|042-485-7100|대전광역시 서구 둔산로 77||||||||전북은행 대전지점|원광대치과병원1층|||40206
전북은행|도안신도시지점|||전북은행|042-826-6950|대전광역시 유성구 동서대로 679||||||||전북은행 도안신도시지점|None;위더스타워 2층|||40206
전북은행|둔산지점|||전북은행|042-489-0068|대전광역시 서구 문예로 33||||||||전북은행 둔산지점|None|||40206
전북은행|세종아름지점|||전북은행|044-868-5460|세종특별자치시 아름서1길 13-12||||||||전북은행 세종아름지점|None;제이디빌딩2층 203호|||40206
전북은행|세종첫마을지점|||전북은행|044-868-5340|세종특별자치시 한누리대로 207||||||||전북은행 세종첫마을지점|None;세진이너스빌 2층|||40206
전북은행|유성지점|||전북은행|042-823-1230|대전광역시 유성구 계룡로 55||||||||전북은행 유성지점|None;유성자이상가 2층|||40206
전북은행|구월동지점|||전북은행|032-472-1633|인천광역시 남동구 구월남로 172||||||||전북은행 구월동지점|None;정락빌딩2층|||40206
전북은행|논현동지점|||전북은행|032-432-8511|인천광역시 남동구 논고개로 93||||||||전북은행 논현동지점|None;보미리즌텔 2층|||40206
전북은행|부평소매금융센터지점|||전북은행|032-330-9912|인천광역시 부평구 부평대로 15||||||||전북은행 부평소매금융센터지점|None;서파빌딩 2층|||40206
전북은행|송도지점|||전북은행|032-858-7379|인천광역시 연수구 컨벤시아대로 69||||||||전북은행 송도지점|None;밀레니엄상가 2층 (210호)|||40206
전북은행|수원외국인금융센터지점|||전북은행|031-223-7284|경기도 수원시 팔달구 권광로 187||||||||전북은행 수원외국인금융센터지점|None;대성프라자 2층|||40206
