##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@신용협동조합
강릉성덕신용협동조합|본점|128.89936|37.749818|신용협동조합|0336430445|강원도 강릉시 강변로 280||||||||강릉성덕신용협동조합 본점|(노암동)강릉성덕신협|||40303
강릉신용협동조합|본점|128.894835|37.754249|신용협동조합|033-641-3251|강원도 강릉시 경강로 2083||||||||강릉신용협동조합 본점|(임당동)|||40303
강릉신용협동조합|교동/지점|128.87886|37.767339|신용협동조합|033-645-3251|강원도 강릉시 교동광장로 127||||||||강릉신용협동조합 교동/지점|(교동)|||40303
고성신용협동조합|본점|128.469128|38.379248|신용협동조합|0336812604|강원도 고성군 간성읍간성로 53||||||||고성신용협동조합 본점||||40303
고한신용협동조합|본점|128.853728|37.20087|신용협동조합|0335912773|강원도 정선군 고한읍고한6길 6고한신협 ||||||||고한신용협동조합 본점||||40303
대관령신용협동조합|본점|128.714132|37.712137|신용협동조합|033-335-6007|강원도 평창군 대관령면횡계길 5||||||||대관령신용협동조합 본점||||40303
대원신용협동조합|본점|127.953792|37.341734|신용협동조합|033-765-9881|강원도 원주시 능라동길 73||||||||대원신용협동조합 본점|(무실동) (무실동)|||40303
대원신용협동조합|단구/지점|127.957787|37.324325|신용협동조합|033-765-9882|강원도 원주시 단구로 358||||||||대원신용협동조합 단구/지점|(단구동) (단구동)|||40303
대화신용협동조합|본점|128.455267|37.500751|신용협동조합|0333332040|강원도 평창군 대화면대화중앙로 132||||||||대화신용협동조합 본점||||40303
동해묵호신용협동조합|본점|129.109984|37.550251|신용협동조합|0335333663|강원도 동해시 일출로 14||||||||동해묵호신용협동조합 본점|(발한동)동해묵호신협|||40303
동해묵호신용협동조합|천곡/지점|129.112975|37.523881|신용협동조합|033-533-3377|강원도 동해시 천곡로 71||||||||동해묵호신용협동조합 천곡/지점|(천곡동)|||40303
미탄신용협동조합|본점|128.486279|37.350455|신용협동조합|0333323755|강원도 평창군 미탄면미탄중앙로 28||||||||미탄신용협동조합 본점||||40303
