##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@저축은행
강원저축은행|본점|||저축은행|033-252-8411|강원도 춘천시 금강로 40|강원도 춘천시 낙원동 28-1|인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||강원저축은행 본점||||40305
강원저축은행|강릉지점|||저축은행|033-642-8991|강원도 강릉시 경강로 2156|강원도 강릉시 옥천동 139|인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||강원저축은행 강릉지점||||40305
고려저축은행|본점|||저축은행|1877-9900|부산광역시 동구 중앙대로 449|부산광역시 동구 좌천동 520-1|인터넷뱅킹;햇살론;CD(0),CDP(0), ATM(1)||||||고려저축은행 본점|(좌천동 520-1)|||40305
고려저축은행|중앙지점|||저축은행|051-640-9100|부산광역시 중구 해관로 17||인터넷뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||고려저축은행 중앙지점|(중앙동1가 23-8)|||40305
고려저축은행|센텀지점|||저축은행|051-640-9120|부산광역시 해운대구 센텀동로 9||인터넷뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||고려저축은행 센텀지점|(우동 1498) 트럼프월드센텀 제2층 212호|||40305
국제저축은행|본점|||저축은행|051-636-2121|부산광역시 부산진구 중앙대로 612|부산광역시 부산진구 범천동 855-3|햇살론;국고금수납;CD(0),CDP(0), ATM(0)||||||국제저축은행 본점||||40305
금화저축은행|본점|||저축은행|032-526-6000|인천광역시 부평구 부흥로 307|인천광역시 부평구 부평4동 416-18|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(2)||||||금화저축은행 본점||||40305
남양저축은행|본점|||저축은행|031-566-3300|경기도 구리시 검배로 10|경기도 구리시 수택동 405-6|인터넷뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(1)||||||남양저축은행 본점|(수택동)|||40305
남양저축은행|분당지점|||저축은행|031-718-3377|경기도 성남시 분당구 성남대로331번길 3-9|경기도 성남시 분당구 정자동 156-2|인터넷뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(1)||||||남양저축은행 분당지점|백궁프라자Ⅲ 1층 (정자동)|||40305
대명저축은행|본점|||저축은행|043-640-5000|충청북도 제천시 의림대로 137|충청북도 제천시 중앙로2가 25-6|햇살론;국고금수납;CD(1),CDP(0), ATM(1)||||||대명저축은행 본점|(중앙로2가)|||40305
대명저축은행|충주지점|||저축은행|043-855-7551|충청북도 충주시 계명대로 130|충청북도 충주시 교현동 1113|햇살론;국고금수납;CD(1),CDP(0), ATM(1)||||||대명저축은행 충주지점|(교현동)|||40305
대백저축은행|본점|||저축은행|053-742-3301|대구광역시 수성구 달구벌대로 2382-1|대구광역시 수성구 범어동 559-3|햇살론;CD(0),CDP(0), ATM(1)||||||대백저축은행 본점||||40305
대신저축은행|본점|||저축은행|02-775-5600|서울특별시 중구 삼일대로 343|서울특별시 중구 저동1가 48|인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||대신저축은행 본점|대신파이낸스센터 3F|||40305
대신저축은행|서면지점|||저축은행|051-627-1811|부산광역시 부산진구 중앙대로 747|부산광역시 부산진구 부전동 266-22|인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||대신저축은행 서면지점||||40305
대신저축은행|남포동지점|||저축은행|051-246-1811|부산광역시 중구 구덕로 90|부산광역시 중구 남포동6가 63|인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||대신저축은행 남포동지점|남포메디컬센터 101,103호|||40305
대신저축은행|해운대센텀지점|||저축은행|051-742-1811|부산광역시 해운대구 센텀동로 9|부산광역시 해운대구 우동 1498|인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||대신저축은행 해운대센텀지점|트럼프월드센텀 2F|||40305
대신저축은행|춘천지점|||저축은행|033-256-1711|강원도 춘천시 금강로 77|강원도 춘천시 조양동 21|인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||대신저축은행 춘천지점|신용보증기금 1층|||40305
대신저축은행|역삼지점|||저축은행|02-519-8200|서울특별시 강남구 논현로 503||인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||대신저축은행 역삼지점|송촌빌딩 1층;송촌빌딩 1F|||40305
대신저축은행|잠실지점|||저축은행|02-424-1711|서울특별시 송파구 올림픽로 119|서울특별시 송파구 잠실동 19-9|인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||대신저축은행 잠실지점|잠실파인애플상가 3층|||40305
대신저축은행|압구정지점|||저축은행|02-514-1811|서울특별시 강남구 압구정로 218|서울특별시 강남구 신사동 615-2|인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||대신저축은행 압구정지점|영신빌딩 1층|||40305
대아저축은행|본점|||저축은행|054-274-4111|경상북도 포항시 북구 중흥로 321|경상북도 포항시 북구 죽도동 51-7|햇살론;CD(0),CDP(0), ATM(0)||||||대아저축은행 본점|(죽도동)|||40305
대원저축은행|본점|||저축은행|054-773-2222|경상북도 경주시 북문로 126|경상북도 경주시 성동동 203-6|CD(0),CDP(0), ATM(0)||||||대원저축은행 본점|(성동동)|||40305
대원저축은행|포항지점|||저축은행|054-231-5111|경상북도 포항시 남구 포스코대로 412|경상북도 포항시 남구 해도동 208-2|CD(0),CDP(0), ATM(0)||||||대원저축은행 포항지점||||40305
대한저축은행|본점|||저축은행|062-527-5701|광주광역시 북구 금남로 128|광주광역시 북구 누문동 59|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(1),CDP(0), ATM(0)||||||대한저축은행 본점|(누문동)|||40305
더블저축은행|본점|||저축은행|062-223-5506|광주광역시 동구 중앙로 165|광주광역시 동구 충장로4가 29-1|인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||더블저축은행 본점|(충장로 4가)|||40305
더케이저축은행|본점|||저축은행|02-569-5600|서울특별시 강남구 테헤란로 323|서울특별시 강남구 역삼동 702-23|인터넷뱅킹;모바일뱅킹;CD(0),CDP(0), ATM(0)||||||더케이저축은행 본점|(역삼동 702-23)|||40305
더케이저축은행|동대문지점|||저축은행|02-569-5600|서울특별시 중구 장충단로 263||인터넷뱅킹;모바일뱅킹;CD(0),CDP(0), ATM(0)||||||더케이저축은행 동대문지점|밀리오레 16층;밀리오레 16층|||40305
동양저축은행|본점|||저축은행|062-720-0800|광주광역시 동구 중앙로 198|광주광역시 동구 금남로3가 1-6|인터넷뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||동양저축은행 본점|(동양빌딩 1층)|||40305
동원제일저축은행|본점|||저축은행|055-370-6700|경상남도 양산시 중앙우회로 144|경상남도 양산시 북부동 698-8|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(0)||||||동원제일저축은행 본점||||40305
동원제일저축은행|해운대지점|||저축은행|051-714-4123|부산광역시 해운대구 해운대해변로 154|부산광역시 해운대구 우동 1434-1|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(0)||||||동원제일저축은행 해운대지점|2층|||40305
드림저축은행|본점|||저축은행|053-663-5000|대구광역시 중구 국채보상로 645|대구광역시 중구 동인동2가 11|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(1)||||||드림저축은행 본점|(동인동2가)|||40305
드림저축은행|원주출장소|||저축은행|033-749-5800|강원도 원주시 능라동길 65|강원도 원주시 무실동 1857-1|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(0)||||||드림저축은행 원주출장소|3층|||40305
라온저축은행|본점|||저축은행|054-452-1101|경상북도 구미시 역전로 18|경상북도 구미시 원평2동 126-2|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(1)||||||라온저축은행 본점||||40305
라온저축은행|수성지점|||저축은행|053-719-0177|대구광역시 수성구 달구벌대로 2264|대구광역시 수성구 수성동1가 96-321|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(0)||||||라온저축은행 수성지점||||40305
머스트삼일저축은행|본점|||저축은행|054-275-4060|경상북도 포항시 북구 장량로 154|경상북도 포항시 북구 양덕동 1401|인터넷뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(1)||||||머스트삼일저축은행 본점|(양덕동)|||40305
모아저축은행|본점|||저축은행|032-430-3300|인천광역시 미추홀구 경인로 406|인천광역시 미추홀구 주안동 408-2|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(2)||||||모아저축은행 본점||||40305
모아저축은행|부천시청역지점|||저축은행|032-516-8151|경기도 부천시 원미구 길주로 195|경기도 부천시 원미구 중동 1033-2|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(0)||||||모아저축은행 부천시청역지점|(중동) 금영프라자 2차 201호|||40305
모아저축은행|분당지점|||저축은행|031-710-8100|경기도 성남시 분당구 황새울로 258번길 35|경기도 성남시 분당구 수내동 6-6|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(1), ATM(1)||||||모아저축은행 분당지점|오피스텔트레벨 1층|||40305
모아저축은행|일산지점|||저축은행|031-929-1234|경기도 고양시 일산서구 중앙로 1444|경기도 고양시 일산서구 주엽동 21-2|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(2)||||||모아저축은행 일산지점|(주엽동)|||40305
모아저축은행|평촌지점|||저축은행|031-340-3400|경기도 안양시 동안구 시민대로 181|경기도 안양시 동안구 달안동 1112|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(0)||||||모아저축은행 평촌지점|삼성생명 평촌빌딩 2층|||40305
모아저축은행|수원지점|||저축은행|031-5181-7900|경기 수원시 팔달구 권광로 181|경기도 수원시 팔달구 인계동 1113-11|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(0)||||||모아저축은행 수원지점||||40305
민국저축은행|본점|||저축은행|02-2271-0071|서울특별시 중구 퇴계로 234|서울특별시 중구 충무로5가 73-1|인터넷뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(0)||||||민국저축은행 본점||||40305
민국저축은행|선릉출장소|||저축은행|02-2183-1100|서울특별시 강남구 테헤란로 322|서울특별시 강남구 역삼동 707-34|인터넷뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(0)||||||민국저축은행 선릉출장소|한신인터벨리 2층|||40305
바로저축은행|본점|||저축은행|02-3467-0100|서울특별시 강남구 테헤란로 512|서울특별시 강남구 대치동 943-19|인터넷뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||바로저축은행 본점||||40305
부림저축은행|본점|||저축은행|031-443-3800|경기도 안양시 만안구 장내로 124|경기도 안양시 만안구 안양동 627-72|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(1)||||||부림저축은행 본점|(안양동)|||40305
부림저축은행|산본출장소|||저축은행|031-399-9400|경기도 군포시 산본로 341|경기도 군포시 산본동 1125|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(1)||||||부림저축은행 산본출장소|현대코아텔 106,107호|||40305
삼보저축은행|본점|||저축은행|02-595-4321|서울특별시 관악구 보라매로 15|서울특별시 관악구 봉천동 735-11|CD(0),CDP(0), ATM(0)||||||삼보저축은행 본점||||40305
삼정저축은행|본점|||저축은행|031-791-6411|경기도 하남시 신장로 146|경기도 하남시 덕풍3동 415-71|인터넷뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(0)||||||삼정저축은행 본점||||40305
삼정저축은행|수지지점|||저축은행|031-266-6411|경기도 용인시 성복2로 58|경기도 용인시 수지구 성복동 76|인터넷뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(0)||||||삼정저축은행 수지지점|영진빌딩 2층 (성복동76);영진빌딩 2층|||40305
삼호저축은행|본점|||저축은행|063-900-2000|전라북도 전주시 완산구 현무2길 70|전라북도 전주시 완산구 경원동3가 99|인터넷뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||삼호저축은행 본점||||40305
삼호저축은행|제주지점|||저축은행|064-720-3300|제주특별자치도 제주시 중앙로 175|제주도 제주시 이도1동 1289-15|인터넷뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||삼호저축은행 제주지점||||40305
삼호저축은행|군산지점|||저축은행|063-469-8800|전라북도 군산시 대학로 163|전라북도 군산시 문화동 887-30|인터넷뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||삼호저축은행 군산지점||||40305
삼호저축은행|서울센터지점|||저축은행|02-514-2345|서울특별시 강서구 양천로 401|서울특별시 강서구 가양동 1498|인터넷뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||삼호저축은행 서울센터지점|강서한강자이타워 A동 2층|||40305
삼호저축은행|목포지점|||저축은행|061-244-8171|전라남도 목포시 옥암로 182|전라남도 목포시 석현동 1173-2|인터넷뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||삼호저축은행 목포지점|경현빌딩|||40305
삼호저축은행|광주지점|||저축은행|062-372-7800|광주광역시 남구 대남대로 342|광주광역시 남구 월산동 1001-25|인터넷뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||삼호저축은행 광주지점|1층|||40305
상상인저축은행|본점|||저축은행|031-698-8200|경기도 성남시 분당구 황새울로 358|경기도 성남시 분당구 서현동 249-1|인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||상상인저축은행 본점||||40305
상상인저축은행|일산지점|||저축은행|031-956-8200|경기도 고양시 일산동구 중앙로 1167|경기도 고양시 일산동구 장항동 896|인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||상상인저축은행 일산지점|서륭빌딩 3층;서륭빌딩 3층|||40305
상상인저축은행|수원지점|||저축은행|031-8067-2000|경기도 수원시 팔달구 권광로 181||인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||상상인저축은행 수원지점|(인계동,씨네파크) 5층 505호;5층 505호|||40305
상상인저축은행|부천지점|||저축은행|032-363-8000|경기도 부천시 원미구 상동로 87|경기도 부천시 원미구 상2동 544-4|인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||상상인저축은행 부천지점|가나베스트타운쓰리 2층|||40305
상상인저축은행|평촌지점|||저축은행|031-479-8000|경기도 안양시 동안구 시민대로 161|경기도 안양시 동안구 비산동 1107|인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||상상인저축은행 평촌지점|안양무역센터 3층|||40305
상상인플러스저축은행|본점|||저축은행|-1600-2100|충청남도 천안시 불당21로 67-12|충청남도 천안시 서북구 불당동 1537|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(0)||||||상상인플러스저축은행 본점|2층 (불당동,퍼스트프라자);2층 퍼스트프라자|||40305
상상인플러스저축은행|대전지점|||저축은행|-1600-2100|대전광역시 유성구 계룡로 114|대전광역시 유성구 봉명동 1016-3|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(0)||||||상상인플러스저축은행 대전지점|2층 (봉명동,비와이씨빌딩);BYC유성빌딩 2층|||40305
세람저축은행|본점|||저축은행|031-633-6781|경기도 이천시 중리천로 50|경기도 이천시 중리동 194-7|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(4)||||||세람저축은행 본점||||40305
세람저축은행|분당지점|||저축은행|031-703-6781|경기도 성남시 분당구 황새울로 307|경기도 성남시 분당구 서현동 276-1|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(0)||||||세람저축은행 분당지점|한라시그마파크 1층|||40305
센트럴저축은행|본점|||저축은행|062-224-4010|광주광역시 동구 금남로 167||햇살론;국고금수납;CD(0),CDP(0), ATM(1)||||||센트럴저축은행 본점||||40305
솔브레인저축은행|본점|||저축은행|051-861-8600|부산광역시 연제구 중앙대로 1094|부산광역시 연제구 연산동 701-7|인터넷뱅킹;국고금수납;CD(0),CDP(0), ATM(0)||||||솔브레인저축은행 본점||||40305
스마트저축은행|본점|||저축은행|062-223-2131|광주광역시 동구 중앙로 199|광주광역시 동구 금남로4가 53|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(0)||||||스마트저축은행 본점|(금남로 4가)|||40305
스마트저축은행|서울지점|||저축은행|02-6915-0000||서울특별시 강남구 역삼동 642-16|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(0)||||||스마트저축은행 서울지점||||40305
스마트저축은행|부천지점|||저축은행|032-714-2000|경기도 부천시 원미구 상동로 87|경기도 부천시 원미구 상동 544-4|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(0)||||||스마트저축은행 부천지점|가나베스트타운쓰리 2층|||40305
스마트저축은행|제주출장소|||저축은행|064-805-8822|제주특별자치도 제주시 중앙로 386|제주시 이도2동 2019-1|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(0)||||||스마트저축은행 제주출장소|2층|||40305
