##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@수협은행
수협은행|가락시장역지점|||수협은행|02-449-0961~3|서울특별시 송파구 양재대로 932|서울특별시 송파구 가락동 600|||||||수협은행 가락시장역지점|판매동 2층 (가락동,가락농수산물시장);판매동2층 (가락농수산물시장)|||40307
수협은행|가락시장출장소|||수협은행|02-407-9785~7|서울특별시 송파구 양재대로 932|서울특별시 송파구 가락동 600|||||||수협은행 가락시장출장소|(가락동,가락농수산물시장);(가락농수산물시장)|||40307
수협은행|가산디지털지점|||수협은행|02-3281-9984~6|서울특별시 금천구 가마산로 96|서울시 금천구 가산동 481-11|||||||수협은행 가산디지털지점|대륭테크노타운8차1층 (가산동);대륭테크노타운 8차 1층|||40307
수협은행|감천항지점|||수협은행|051-253-2900∼2|부산시 서구 원양로 105|부산시 서구 암남동 620-29|||||||수협은행 감천항지점|(암남동);원양프라자빌딩|||40307
수협은행|강남기업금융본부|||수협은행|02-2051-8315~7|서울특별시 강남구 논현로 507|서울시 강남구 역삼동 642-6|||||||수협은행 강남기업금융본부|성지하이츠3차빌딩 (역삼동);성지하이츠 3차|||40307
수협은행|강서시장지점|||수협은행|02-2640-9441∼4|서울특별시 강서구 발산로 40|서울시 강서구 외발산동 96-1|||||||수협은행 강서시장지점|농수산물공사1층 (외발산동)|||40307
수협은행|강원지역금융본부|||수협은행|033-610-2560∼6|강원도 강릉시 경강로 2189|강원도 강릉시 옥천동 370-7|||||||수협은행 강원지역금융본부|(옥천동)|||40307
수협은행|경남지역금융본부|||수협은행|055-278-0464|경상남도 창원시 성산구 상남로 113|경남 창원시 성산구 상남동 77-1|||||||수협은행 경남지역금융본부|(상남동)|||40307
수협은행|경동시장지점|||수협은행|02-964-2494~7|서울특별시 동대문구 왕산로 143|서울시 동대문구 제기동 1016|||||||수협은행 경동시장지점|삼화빌딩 (제기동);삼화빌딩 1층|||40307
수협은행|경북지역금융본부|||수협은행|053-740-7551~75...|대구광역시 수성구 달구벌대로 2348|대구 수성구 수성동3가 12-1|||||||수협은행 경북지역금융본부|수협G타워 (수성동3가);수협G타워|||40307
