##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@삼성카드
삼성카드|신세계경기/고객서비스센터|||삼성카드|1666-1868|경기 용인시 수지구 포은대로 536||바로발급||||||삼성카드 신세계경기/고객서비스센터|신세계백화점경기점 주차동 8층 (죽전동)|||40404
삼성카드|신세계하남/고객서비스센터|||삼성카드|1800-3089|경기 하남시 미사대로 750||바로발급||||||삼성카드 신세계하남/고객서비스센터|신세계백화점 스타필드하남점 3층 (신장동)|||40404
삼성카드|신세계의정부/고객서비스센터|||삼성카드|1666-1852|경기 의정부시 평화로 525||바로발급||||||삼성카드 신세계의정부/고객서비스센터|신세계백화점 9층 (의정부동)|||40404
삼성카드|신세계김해/고객서비스센터|||삼성카드|1800-3105|경남 김해시 김해대로 2232||바로발급||||||삼성카드 신세계김해/고객서비스센터|신세계백화점 4층 (외동)|||40404
삼성카드|신세계마산/고객서비스센터|||삼성카드|1666-1857|경상남도 창원시 마산합포구 합포로 251||바로발급||||||삼성카드 신세계마산/고객서비스센터|신세계백화점 8층 (산호동)|||40404
삼성카드|신세계광주/고객서비스센터|||삼성카드|1666-1859|광주 서구 무진대로 932||바로발급||||||삼성카드 신세계광주/고객서비스센터|신세계백화점 1층 (광천동)|||40404
삼성카드|대구신세계/고객서비스센터|||삼성카드|1800-3025|대구 동구 동부로 149||바로발급||||||삼성카드 대구신세계/고객서비스센터|대구신세계백화점 8층 (신천동)|||40404
삼성카드|세이백화점/고객서비스센터|||삼성카드|1666-1861|대전 중구 계백로 1700||바로발급||||||삼성카드 세이백화점/고객서비스센터|세이백화점 7층 (문화동)|||40404
삼성카드|신세계센텀/고객서비스센터|||삼성카드|1666-1858|부산 해운대구 센텀남대로 35||바로발급||||||삼성카드 신세계센텀/고객서비스센터|신세계백화점 센텀시티점 9층 (우동)|||40404
삼성카드|신세계강남/고객서비스센터|||삼성카드|1666-1869|서울특별시 서초구 신반포로 176||바로발급||||||삼성카드 신세계강남/고객서비스센터|신세계백화점 본관 8층 (반포동)|||40404
삼성카드|신세계영등포/고객서비스센터|||삼성카드|1666-1867|서울 영등포구 영중로 9||바로발급||||||삼성카드 신세계영등포/고객서비스센터|신세계백화점 A관 10층 (영등포동4가)|||40404
삼성카드|신세계본점/고객서비스센터|||삼성카드|1666-1870|서울특별시 중구 소공로 63||바로발급||||||삼성카드 신세계본점/고객서비스센터|신세계백화점 신관 7층 (충무로1가)|||40404
삼성카드|신세계/충청/고객서비스센터|||삼성카드|1666-1860|충남 천안시 동남구 만남로 43||바로발급||||||삼성카드 신세계/충청/고객서비스센터|신세계백화점 충청점 A관 6층 (신부동)|||40404
