##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@NH투자증권
NH투자증권|NH금융PLUS/영업부금융센터|126.9233291|37.5242161|NH투자증권|1544-0000|서울특별시 영등포구 여의대로 60||||||||NH금융PLUS 영업부금융센터|5호선 여의도역 3번출구;NH투자증권빌딩 2,3층 (여의도동)|||40519
NH투자증권|올림픽WM센터|127.1268373|37.5117632|NH투자증권|1544-0000|서울특별시 송파구 위례성대로 138||||||||올림픽WM센터|5호선 방이역 4번출구 400m 약진빌딩 3층;약진빌딩 3층 (방이동)|||40519
NH투자증권|신사WM센터|127.0201783|37.5159126|NH투자증권|1544-0000|서울특별시 강남구 강남대로 606||||||||신사WM센터|3호선 신사역 2,3번 출구 코너 건물;삼주빌딩 3층 (논현동)|||40519
NH투자증권|천호WM센터|127.1248635|37.5415343|NH투자증권|1544-0000|서울특별시 강동구 올림픽로 674||||||||천호WM센터|5,8호선 천호역 3번출구;노석빌딩 2층 (천호동)|||40519
NH투자증권|구로WM센터|126.8940850|37.4839286|NH투자증권|1544-0000|서울특별시 구로구 디지털로 273||||||||구로WM센터|2호선 구로디지털단지역 2번출구 → 마을버스 1,9번 → 이마트 or 외환은행 하차 후 대각선 건너편;에이스 트윈타워Ⅱ 2층 (구로동)|||40519
NH투자증권|영등포WM센터|126.9043146|37.5197316|NH투자증권|1544-0000|서울특별시 영등포구 영등포로 208||||||||영등포WM센터|1호선 영등포역 3번출구/5호선 영등포시장역 4번출구, 영등포시장로터리(영등포시장4거리) 국민은행건물 4층;뉴포트빌딩 4층 (영등포동4가)|||40519
NH투자증권|미아WM센터|127.0305267|37.6137225|NH투자증권|1544-0000|서울특별시 강북구 도봉로 52||||||||미아WM센터|4호선 미아사거리역 1번출구 앞, 와이스퀘어 10층;와이스퀘어빌딩 10층 (미아동)|||40519
NH투자증권|NH금융PLUS/대치WM센터|127.0629001|37.4938085|NH투자증권|1544-0000|서울특별시 강남구 삼성로 155||||||||NH금융PLUS 대치WM센터|3호선 대치역 7번 출구;대치퍼스트빌딩 2층 (대치동)|||40519
NH투자증권|잠실WM센터|127.1006795|37.5142870|NH투자증권|1544-0000|서울특별시 송파구 올림픽로 269||||||||잠실WM센터|지하철 - 2호선 잠실역 8번 출구 (바로앞에 위치);롯데골드캐슬 B동 2층 (신천동)|||40519
NH투자증권|목동WM센터|126.8712553|37.5259154|NH투자증권|1544-0000|서울특별시 양천구 오목로 299||||||||목동WM센터|5호선 오목교역 1번출구 이마트 목동점 방향 300m방향. 웨스턴 상가 3층, 5호선 목동역 4번출구 (영등포시장방향) 600m도보;트라팰리스 웨스턴에비뉴 3층 (목동)|||40519
