##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@하이투자증권
하이투자증권|본사|126.926003|37.523185|하이투자증권|1588-7171|서울특별시 영등포구 여의나루로 61|서울특별시 영등포구 여의도동 25-15|||||||하이투자증권 본사|하이투자증권빌딩;하이투자증권빌딩|||40526
하이투자증권|대치지점|127.062663|37.494600|하이투자증권|02-6004-6100|서울특별시 강남구 남부순환로 2947|서울특별시 강남구 대치동 599|||||||하이투자증권 대치지점|대원빌딩 4층;대원빌딩 4층|||40526
하이투자증권|여의도영업부|126.926003|37.523185|하이투자증권|02-6450-2100|서울특별시 영등포구 여의나루로 61|서울특별시 영등포구 여의도동 25-15|||||||하이투자증권 여의도영업부|하이투자증권빌딩 2층;하이투자증권빌딩 2층|||40526
하이투자증권|강남WM센터|127.061070|37.513762|하이투자증권|02-6206-6100|서울시 강남구 영동대로 520|서울특별시 강남구 삼성동 160|||||||하이투자증권 강남WM센터|6층 (아이파크타워);아이파크타워 6층|||40526
하이투자증권|압구정지점|127.02603|37.525516|하이투자증권|02-540-1361∼5|서울특별시 강남구 압구정로 152|서울특별시 강남구 신사동 575|||||||하이투자증권 압구정지점|극동스포츠빌딩 2층;극동스포츠빌딩 2층|||40526
하이투자증권|교대역지점|127.016567|37.494188|하이투자증권|02-6488-2100|서울특별시 서초구 서초대로 320|서울특별시 서초구 서초1동 1674-4|||||||하이투자증권 교대역지점|하림인터내셔날빌딩 2층;하림인터내셔날빌딩 2층|||40526
하이투자증권|잠실역지점|127.102482|37.514702|하이투자증권|02-6420-2100|서울특별시 송파구 올림픽로 289|서울특별시 송파구 신천동 7-19|||||||하이투자증권 잠실역지점|시그마타워빌딩 4층;시그마타워빌딩 4층|||40526
하이투자증권|목동지점|126.870879|37.524690|하이투자증권|02-6343-4100|서울특별시 양천구 오목로 300|서울특별시 양천구 목동 961-1|||||||하이투자증권 목동지점|현대하이페리온2차 206동 203/204호;현대하이페리온2차 206동 203/204호|||40526
하이투자증권|명동지점|126.985909|37.564175|하이투자증권|02-6323-2100|서울특별시 중구 명동길 65|서울특별시 중구 명동1가 5-1|||||||하이투자증권 명동지점|보림빌딩 5층;보림빌딩 5층|||40526
하이투자증권|인천지점|126.702646|37.443576|하이투자증권|032-232-2100|인천광역시 남동구 인하로 507번길 1|인천광역시 남동구 구월동 1470-2|||||||하이투자증권 인천지점|3층;3층|||40526
하이투자증권|분당지점|127.121689|37.386011|하이투자증권|031-601-2100|경기도 성남시 분당구 황새울로 335번길 5|경기도 성남시 분당구 서현동 261-5|||||||하이투자증권 분당지점|N타운빌딩 3층;N타운빌딩 3층|||40526
