##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@ABL생명
ABL생명|강릉지점|128.8989067|37.7601585|ABL생명|033-648-8959|강원 강릉시 옥가로 23||||||||ABL생명 강릉지점|7층 강릉지점 (옥천동,ABL생명빌딩)|||40606
ABL생명|동해지점|129.1138727|37.5218131|ABL생명|033-533-2767|강원 동해시 중앙로 235||||||||ABL생명 동해지점|5층 유성빌딩 (천곡동)|||40606
ABL생명|인제지점|0|0|ABL생명|033-461-2480|강원 인제군 인제읍 비봉로 43||||||||ABL생명 인제지점|인제터미널및복합건물 3층|||40606
ABL생명|강원지점|0|0|ABL생명|033-241-7061|강원 춘천시 중앙로 16||||||||ABL생명 강원지점|1층 ABL생명강원지점무림빌딩 (요선동)|||40606
ABL생명|일산지점|126.7831932|37.6489997|ABL생명|031-905-6577|경기 고양시 일산동구 중앙로 1193||||||||ABL생명 일산지점|5층 마두법조빌딩 (장항동)|||40606
ABL생명|목현지점|127.260002|37.409865|ABL생명|031-762-2152|경기 광주시 경안로 5||||||||ABL생명 목현지점|4층 (경안동,젤존빌딩)|||40606
ABL생명|김포지점|126.7196017|37.6196692|ABL생명|031-984-3176|경기 김포시 김포대로 847||||||||ABL생명 김포지점|4층 (사우동,중앙프라자)|||40606
ABL생명|부천지점|126.7850803|37.4960296|ABL생명|032-664-0437|경기 부천시 신흥로 187||||||||ABL생명 부천지점|부천농협 4층 (중동)|||40606
ABL생명|성남지점|127.13974|37.4436982|ABL생명|031-751-4190|경기 성남시 분당구 성남대로 912||||||||ABL생명 성남지점|8층 (야탑동,분당비와씨빌딩)|||40606
ABL생명|영화지점|0|0|ABL생명|031-302-6573|경기 수원시 팔달구 효원로307번길 19||||||||ABL생명 영화지점|2층 영화지점 (인계동)|||40606
