##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@푸르덴셜생명
푸르덴셜생명|한별지점|310125|551732|푸르덴셜생명|02-734-4859|서울특별시 중구 소공로 94|서울특별시 중구 소공동 50|||||||푸르덴셜생명 한별지점|OCI빌딩 3층;OCI빌딩 3층|||40607
푸르덴셜생명|굿모닝지점|309527|550742|푸르덴셜생명|02-733-9690|서울특별시 중구 후암로 110|서울특별시 중구 남대문로5가 581|||||||푸르덴셜생명 굿모닝지점|서울시티타워빌딩 12층|||40607
푸르덴셜생명||314610|543547|푸르덴셜생명|02-2144-2000|서울특별시 강남구 강남대로 298|서울특별시 강남구 역삼1동 838|||||||푸르덴셜생명|푸르덴셜타워;푸르덴셜타워|||40607
푸르덴셜생명|여의도지점|305101|547400|푸르덴셜생명|02-786-4858|서울특별시 영등포구 국제금융로2길 32|서울특별시 영등포구 여의도동 23-8|||||||푸르덴셜생명 여의도지점|여의도파이낸스타워 10층|||40607
푸르덴셜생명|골든지점|313657|546467|푸르덴셜생명|02-564-5637|서울특별시 강남구 도산대로 110|서울특별시 강남구 논현동 2|||||||푸르덴셜생명 골든지점|KBL센터 9층|||40607
푸르덴셜생명|강남지점|314532|543687|푸르덴셜생명|02-2226-0100|서울특별시 강남구 강남대로 314|서울특별시 강남구 역삼동 837-12|||||||푸르덴셜생명 강남지점|서우빌딩 10층|||40607
푸르덴셜생명|초원지점|314542|543444|푸르덴셜생명|02-3452-0092|서울특별시 서초구 강남대로 291|서울특별시 서초구 서초동 1340-6|||||||푸르덴셜생명 초원지점|남강빌딩 12층;남강빌딩 12층|||40607
푸르덴셜생명|하나지점|314555|543397|푸르덴셜생명|02-3412-4251|서울특별시 서초구 강남대로 285|서울특별시 서초구 서초동 1357-10|||||||푸르덴셜생명 하나지점|태우빌딩 동관 3층|||40607
푸르덴셜생명|Life지점|314532|543687|푸르덴셜생명|02-756-1003|서울특별시 강남구 강남대로 314|서울특별시 강남구 역삼동 837-12|||||||푸르덴셜생명 Life지점|서우빌딩 13층;서우빌딩 13층|||40607
푸르덴셜생명|인성지점|314387|543834|푸르덴셜생명|02-561-4171|서울특별시 서초구 강남대로 331|서울특별시 서초구 서초동 1337-32|||||||푸르덴셜생명 인성지점|광일빌딩 8층|||40607
푸르덴셜생명|다산지점|314581|543535|푸르덴셜생명|02-508-2744|서울특별시 강남구 강남대로 298|서울특별시 강남구 역삼동 838|||||||푸르덴셜생명 다산지점|푸르덴셜타워 10층;푸르덴셜타워 10층|||40607
푸르덴셜생명|지성지점|314444|543937|푸르덴셜생명|02-3453-9274|서울특별시 강남구 강남대로 340|서울특별시 강남구 역삼동 831-17|||||||푸르덴셜생명 지성지점|경원빌딩;경원빌딩 3층|||40607
푸르덴셜생명|세일지점|314541|543688|푸르덴셜생명|02-538-5005|서울특별시 강남구 강남대로 314|서울특별시 강남구 역삼동 837-12|||||||푸르덴셜생명 세일지점|서우빌딩 14층;서우빌딩 14층|||40607
푸르덴셜생명|드림지점|314551|543405|푸르덴셜생명|02-737-8366|서울특별시 서초구 강남대로 285|서울특별시 서초구 서초동 1357-10|||||||푸르덴셜생명 드림지점|태우빌딩 동관 13층;태우빌딩 동관 13층|||40607
푸르덴셜생명|사랑지점|314532|543687|푸르덴셜생명|02-3453-9783|서울특별시 강남구 강남대로 314|서울특별시 강남구 역삼동 837-12|||||||푸르덴셜생명 사랑지점|서우빌딩 11층|||40607
푸르덴셜생명|최강지점|314606|543543|푸르덴셜생명|02-2051-9696|서울특별시 강남구 강남대로 298|서울특별시 강남구 역삼동 838-1|||||||푸르덴셜생명 최강지점||||40607
푸르덴셜생명|우리지점|314596|543547|푸르덴셜생명|02-568-4242|서울특별시 강남구 강남대로 298|서울특별시 강남구 역삼동 838|||||||푸르덴셜생명 우리지점|푸르덴셜타워 3층;푸르덴셜타워 3층|||40607
푸르덴셜생명|미담지점|314528|543681|푸르덴셜생명||서울특별시 강남구 강남대로 314|서울특별시 강남구 역삼동 837-12|||||||푸르덴셜생명 미담지점||||40607
푸르덴셜생명|가온지점|314606|543543|푸르덴셜생명|02-561-5997|서울특별시 강남구 강남대로 298|서울특별시 강남구 역삼동 838|||||||푸르덴셜생명 가온지점|푸르덴셜타워 7층|||40607
푸르덴셜생명|진성지점|314555|543397|푸르덴셜생명|02-2056-5200|서울특별시 서초구 강남대로 285|서울특별시 서초구 서초동 1357-10|||||||푸르덴셜생명 진성지점|태우빌딩 12층|||40607
푸르덴셜생명|세중지점|314606|543543|푸르덴셜생명|02-3452-6022|서울특별시 강남구 강남대로 298|서울특별시 강남구 역삼동 838|||||||푸르덴셜생명 세중지점|13층;13층|||40607
푸르덴셜생명|한얼지점|314581|543536|푸르덴셜생명|02-312-9722|서울특별시 강남구 강남대로 298|서울특별시 강남구 역삼동 838|||||||푸르덴셜생명 한얼지점|푸르덴셜타워 7층|||40607
푸르덴셜생명|세중지점|314553|543405|푸르덴셜생명||서울특별시 서초구 강남대로 285|서울특별시 서초구 서초동 1357-10|||||||푸르덴셜생명 세중지점||||40607
