##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@현대라이프생명
현대라이프생명|고객플라자(본사)|126.9256163|37.5230473|현대라이프생명|1577-3311|서울시 영등포구 여의나루로 57||||||||현대라이프생명 고객플라자(본사)|신송센터빌딩 2층 (여의도동)보험업무|||40618
현대라이프생명|서울센터|127.0298071|37.4920749|현대라이프생명|1577-3311|서울시 서초구 강남대로 327||||||||현대라이프생명 서울센터|대륭서초타워 20층 (서초동)보험업무|||40618
현대라이프생명|부산센터|129.062624669517|35.159072310779|현대라이프생명|1577-3311|부산시 부산진구 동천로 116||||||||현대라이프생명 부산센터|한신밴빌딩 5층 (전포동)보험업무|||40618
현대라이프생명|대구POST|128.601162429898|35.869540842206|현대라이프생명|1577-3311|대구시 중구 국채보상로 648||||||||현대라이프생명 대구POST|호수빌딩 17층 (동인동 2가)보험업무|||40618
현대라이프생명|광주POST|126.852277|35.155722|현대라이프생명|1577-3311|광주시 서구 시청로 80||||||||현대라이프생명 광주POST|현대캐피탈빌딩 1층보험업무|||40618
현대라이프생명|대전POST|127.3797156|36.3510503|현대라이프생명|1577-3311|대전광역시 서구 둔산로 52||||||||현대라이프생명 대전POST|미라클빌딩 9층 (둔산동)보험업무|||40618
현대라이프생명|서울금융지점|127.029740|37.49228|현대라이프생명|02-6954-3630|서울시 서초구 강남대로 327||||||||현대라이프생명 서울금융지점|대륭서초타워 20층 (서초동)대출업무|||40618
현대라이프생명|경기금융지점|126.9530842|37.3922466|현대라이프생명|1577-3311|경기도 안양시 동안구 시민대로 199||||||||현대라이프생명 경기금융지점|BYC건물 403호 (비산동)대출업무|||40618
현대라이프생명|부산금융지점|129.062549|35.159237|현대라이프생명|1577-3311|부산광역시 부산진구 동천로 116||||||||현대라이프생명 부산금융지점|한신밴빌딩 5층대출업무|||40618
현대라이프생명|대전금융지점|127.3826104|36.3530121|현대라이프생명|1577-3311|대전시 서구 둔산서로 69||||||||현대라이프생명 대전금융지점|야쿠르트사옥 6층 (둔산동)대출업무|||40618
현대라이프생명|라이프/코리아|127.331980|36.339309|현대라이프생명|070-4256-0119|대전시 유성구 복용남로 83-20||||||||현대라이프생명 라이프/코리아|102호 (복용동)대출업무|||40618
현대라이프생명|위드라이프|129.3123068|35.5401759|현대라이프생명|02-3284-7427|울산시 남구 중앙로 216||||||||현대라이프생명 위드라이프|안강빌딩 6층 (신정동)대출업무|||40618
현대라이프생명|비오엘|127.0788145|37.5053162|현대라이프생명|02-523-9667||서울시 송파구 잠실동 296-5|||||||현대라이프생명 비오엘|우신빌딩 201-1호대출업무|||40618
현대라이프생명|플러스라이프|128.524973|35.850699|현대라이프생명|1577-3311|대구 달서구 이곡서로 36||||||||현대라이프생명 플러스라이프|청아빌딩 4층 리더스비즈 105호대출업무|||40618
현대라이프생명|라이프/광주|126.8447883|35.1451746|현대라이프생명|062-368-1112|광주시 서구 상무대로 743||||||||현대라이프생명 라이프/광주|인암빌딩 3층 (치평동)대출업무|||40618
현대라이프생명|라이프파트너스|127.0553953|37.2866466|현대라이프생명|010-8700-9822|경기도 용인시 수지구 풍덕천로 160번길 5-18||||||||현대라이프생명 라이프파트너스|201호 (풍덕천동,엘케이하우스)대출업무|||40618
