##번호|개방서비스명|개방서비스ID|개방자치단체코드|관리번호|SINCE|인허가취소일자|영업상태구분코드|영업상태명|상세영업상태코드|상세영업상태명|폐업일자|휴업시작일자|휴업종료일자|재개업일자|TELNUM|AREA|소재지우편번호|ADDR|NEWADDR|도로명우편번호|NAME|최종수정시점|데이터갱신구분|데이터갱신일자|업태구분명|X|Y|위생업태명|건물지상층수|건물지하층수|사용시작지상층|사용끝지상층|사용시작지하층|사용끝지하층|한실수|양실수|욕실수|발한실여부|의자수|조건부허가신고사유|조건부허가시작일자|조건부허가종료일자|건물소유구분명|세탁기수|여성종사자수|남성종사자수|회수건조수|침대수|다중이용업소여부|MTYPE@@TAXBATH
97|목욕장업|11_44_01_P|3000000|3000000-202-1963-00410|19630613||01|영업/정상|01|영업|||||02 7634343|249.10|110855|서울특별시 종로구 창신동 578-1번지 |서울특별시 종로구 창신길 22 (창신동)|03106|현대옥사우나|20171030151739|I|2018-08-31 23:59:59.0|공동탕업|200904.097306757    |452258.945717944    |공동탕업||||1||||||N|||||||||||N|찜질방
98|목욕장업|11_44_01_P|3000000|3000000-202-1970-00392|19701007||01|영업/정상|01|영업|||||0207335527|262.26|110043|서울특별시 종로구 통인동 147-4번지 |서울특별시 종로구 자하문로 35-6 (통인동)|03040|인왕탕|20110613103304|I|2018-08-31 23:59:59.0|공동탕업|197361.848625828    |452983.593503638    |공동탕업||||1||||||N|||||||||||N|찜질방
99|목욕장업|11_44_01_P|3000000|3000000-202-1987-00450|19871231||01|영업/정상|01|영업|||||02 7651341|281.11|110320|서울특별시 종로구 낙원동 190번지 |서울특별시 종로구 돈화문로5길 28-5 (낙원동)|03139|문화탕|20110328164025|I|2018-08-31 23:59:59.0|공동탕업|199080.68323112     |452074.808316084    |공동탕업|||1|1||2||||N|||||||||||N|찜질방
100|목욕장업|11_44_01_P|3000000|3000000-202-1972-00383|19720115||01|영업/정상|01|영업|||||0222652127|129.45|110123|서울특별시 종로구 종로3가 166-2번지 |서울특별시 종로구 돈화문로4길 37 (종로3가)|03193|세원탕|20171030151958|I|2018-08-31 23:59:59.0|공동탕업|199432.911450298    |451985.975945675    |공동탕업||||1||||||N|||||||||||N|찜질방
101|목욕장업|11_44_01_P|3000000|3000000-202-1988-00400|19881019||01|영업/정상|01|영업|||||0222722500|257.56|110836|서울특별시 종로구 종로5가 265-12번지 |서울특별시 종로구 종로 252-6 (종로5가)|03197|용림탕|20171030152247|I|2018-08-31 23:59:59.0|공동탕업|200434.09506233     |452049.068622985    |공동탕업||||||2||||N|||||||||||N|찜질방
102|목욕장업|11_44_01_P|3000000|3000000-202-1989-00454|19890615||01|영업/정상|01|영업|||||02 7635295|367.69|110540|서울특별시 종로구 창신동 582-21번지 |서울특별시 종로구 종로51길 31 (창신동)|03106|창신대중사우나|20171019161117|I|2018-08-31 23:59:59.0|공동탕업|200919.30031859     |452335.288046384    |공동탕업|4|||||2||||N|||||||||||N|찜질방
103|목욕장업|11_44_01_P|3000000|3000000-202-1972-00386|19720201||01|영업/정상|01|영업|||||0207251215|139.17|110210|서울특별시 종로구 화동 35번지 |서울특별시 종로구 삼청로4길 12-1 (화동)|03053|코리아탕|20030408000000|I|2018-08-31 23:59:59.0|공동탕업|198343.177621959    |453313.503942234    |공동탕업||||1||||||N|||||||||||N|찜질방
104|목욕장업|11_44_01_P|3000000|3000000-202-1998-00479|19980401||01|영업/정상|01|영업|||||02  765 8025|625.94|110350|서울특별시 종로구 운니동 65-1번지 |서울특별시 종로구 율곡로6길 36 (운니동)|03131|인사동 한증막|20171019160834|I|2018-08-31 23:59:59.0|공동탕업|198966.466796388    |452608.062544497    |공동탕업||||||2||||N|||||||||||N|찜질방
105|목욕장업|11_44_01_P|3000000|3000000-202-2001-00001|20011120||01|영업/정상|01|영업|||||02 7410906|1,243.48|110780|서울특별시 종로구 인의동 28-9번지 인의빌딩 지하1층 |서울특별시 종로구 창경궁로 112-7 (인의동,인의빌딩 지하1층)|03130|종로대중사우나|20171030153138|I|2018-08-31 23:59:59.0|공동탕업|199761.062396833    |452253.74185427     |공동탕업||||||||||N|||||||||||N|찜질방
106|목욕장업|11_44_01_P|3000000|3000000-202-1989-00457|19891228||01|영업/정상|01|영업|||||02 3794559|912.97|110803|서울특별시 종로구 구기동 110-1번지 |서울특별시 종로구 진흥로 432 (구기동)|03012|쉐레이 암반수사우나|20171019161019|I|2018-08-31 23:59:59.0|공동탕업|196092.743907822    |456198.595931715    |공동탕업||||||2||||N|||||||||||N|찜질방
107|목욕장업|11_44_01_P|3000000|3000000-202-2003-00004|20030630||01|영업/정상|01|영업|||||02 7389434|432.00|110070|서울특별시 종로구 내수동 167번지 |서울특별시 종로구 새문안로3길 30 (내수동)|03173|대호대중사우나|20171030151458|I|2018-08-31 23:59:59.0|공동탕업|197567.93800572     |452276.454633376    |공동탕업|||||1|1||||N|||||||||||N|찜질방
108|목욕장업|11_44_01_P|3000000|3000000-202-2010-00001|20100908||01|영업/정상|01|영업|||||02  720 2525|167.00|110759|서울특별시 종로구 당주동 128-27번지 동원빌딩 지하1층 |서울특별시 종로구 새문안로3길 15 (당주동,동원빌딩 지하1층)|03175|(주)광화문투엑스휘트니스|20180115120448|I|2018-08-31 23:59:59.0|공동탕업|197484.983910622    |452162.304535024    |공동탕업|10|3|||1|1|0|0|2|Y|0||||임대|0|||0|0|N|찜질방
109|목욕장업|11_44_01_P|3000000|3000000-202-2017-00001|20171227||01|영업/정상|01|영업|||||02  742 9500|219.86|110500|서울특별시 종로구 이화동 25-1번지 종로노인종합복지관 1층 |서울특별시 종로구 율곡로19길 17-8, 종로노인종합복지관 1층 (이화동)|03100|종로노인종합복지관|20171227141211|I|2018-08-31 23:59:59.0|목욕장업 기타|200462.615226273    |452715.017605206    |목욕장업 기타|0|0|1|1|||0|0|2|Y|0||||임대|0|0|0|0|0|N|찜질방
110|목욕장업|11_44_01_P|3000000|3000000-202-2018-00001|20180531||01|영업/정상|01|영업|||||02  738 6100|105.52|110290|서울특별시 종로구 인사동 34-2번지 지하2층 |서울특별시 종로구 인사동길 20-9, 지하2층 (인사동)|03163|마루|20180531140442|I|2018-08-31 23:59:59.0|공동탕업|198797.815432789    |452231.193562946    |공동탕업|0|0|||2|2|0|0|2|N|0|||||0|0|0|0|0|N|찜질방
