번호|개방서비스명|개방서비스ID|개방자치단체코드|관리번호|인허가일자|인허가취소일자|영업상태구분코드|영업상태명|상세영업상태코드|상세영업상태명|폐업일자|휴업시작일자|휴업종료일자|재개업일자|소재지전화|소재지면적|소재지우편번호|소재지전체주소|도로명전체주소|도로명우편번호|사업장명|최종수정시점|데이터갱신구분|데이터갱신일자|업태구분명|좌표정보(X)|좌표정보(Y)|문화체육업종명|문화사업자구분명|지역구분명|총층수|주변환경명|제작취급품목내용|보험기관명|건물용도명|지상층수|지하층수|객실수|건축연면적|영문상호명|영문상호주소|선박총톤수|선박척수|선박제원|무대면적|좌석수|기념품종류|회의실별동시수용인원|시설면적|놀이기구수내역|놀이시설수|방송시설유무|발전시설유무|의무실유무|안내소유무|기획여행보험시작일자|기획여행보험종료일자|자본금|보험시작일자|보험종료일자|부대시설내역|시설규모
1|자동차야영장업|03_11_05_P|3060000|CDFI2262142015000001|20150416||01|영업/정상|13|영업중|||||02-434-4371||131800|서울특별시 중랑구 망우동 76번지 |서울특별시 중랑구 망우로87길 110 (망우동)|02062|중랑가족캠핑장|20150416193404|I|2018-08-31 23:59:59.0||209681.607188118    |455863.437970467    |자동차야영장업||||||||||||||||||||||||||||||||||
2|자동차야영장업|03_11_05_P|3100000|CDFI2262142018000001|20180207||01|영업/정상|13|영업중|||||02-2289-6865|||서울특별시 노원구 월계동 749번지 |서울특별시 노원구 마들로5가길 66-107 (월계동)|01866|초안산캠핑장|20180207180142|I|2018-08-31 23:59:59.0||204336.148709778    |460014.532414545    |자동차야영장업|||||||||||361||||||||||24938|||||||||||||24938
3|자동차야영장업|03_11_05_P|3260000|CDFI2262142017000001|20170620||01|영업/정상|13|영업중||||||||부산광역시 서구 암남동 135-23번지 송도오토캠핑장 |"부산광역시 서구 송도해변로 36, 송도오토캠핑장 (암남동)"|49276|부산 송도오토캠핑장|20180716152913|I|2018-08-31 23:59:59.0||383946.662350534    |176714.77906188     |자동차야영장업|||||||||||||||||||||6939|||||||||||||6939
4|자동차야영장업|03_11_05_P|3270000|CDFI2262142017000001|20171128||01|영업/정상|13|영업중|||||051-440-1205|||부산광역시 동구 초량동 1185-1번지 지선 |||바다가 보이는 부산항 힐링 야영장|20190408094650|U|2019-04-10 02:40:00.0||386466.092076382    |181381.122678011    |자동차야영장업|||1|||||1|1||||||||||||8894|||||||||||||8894
5|자동차야영장업|03_11_05_P|3320000|CDFI2262142018000001|20180622||01|영업/정상|13|영업중||||||||부산광역시 북구 덕천동 763번지 |부산광역시 북구 강변대로 1629 (덕천동)|46500|화명 오토캠핑장|20180706161247|I|2018-08-31 23:59:59.0||381886.710034792    |192791.688242788    |자동차야영장업||녹지지역||기타|||||||72||||||||||15657|||||||||||||15657
6|자동차야영장업|03_11_05_P|3360000|CDFI2262142017000001|20170725||01|영업/정상|13|영업중|||||051 310 6034|||부산광역시 강서구 대저1동 1-5번지 |||대저생태공원 캠핑장|20181128094236|U|2018-11-30 02:40:00.0||380665.181688847    |191601.329926012    |자동차야영장업||||||||||||||||||||||||||||||||||
7|자동차야영장업|03_11_05_P|3390000|CDFI2262142014000001|20140721||01|영업/정상|13|영업중|||||051-310-6035||617070|부산광역시 사상구 삼락동 29-59번지 |||삼락생태공원 오토캠핑장|20180328144827|I|2018-08-31 23:59:59.0||379292.050163619    |187028.786397859    |자동차야영장업|||||||||||||||||||||53200|||||||||||||53200
8|자동차야영장업|03_11_05_P|3400000|CDFI2262142013000001|20130723||03|폐업|03|폐업|20141022||||051-512-3041||619951|부산광역시 기장군 장안읍 기룡리 448번지 |부산광역시 기장군 장안읍 장안로 18|619951|캠프리카|20141023162125|I|2018-08-31 23:59:59.0||404762.608168514    |207085.420254744    |자동차야영장업||자연녹지지역|1|기타|||기타|1|||||||||||||491.11|||||||||100000000||||491
9|자동차야영장업|03_11_05_P|3420000|CDFI2262142015000001|20150604||02|휴업|02|휴업||20181201|20190228||9818036||701430|대구광역시 동구 도학동 110번지 |대구광역시 동구 팔공산로237길 47 (도학동)|41007|도학야영장|20181212170942|U|2018-12-14 02:40:00.0||353532.7084         |277096.679832       |자동차야영장업||||||||||||||||||||||||||||||||||
10|자동차야영장업|03_11_05_P|3420000|CDFI2262142015000002|20150604||02|휴업|02|휴업||20181201|20190228||9820005||701500|대구광역시 동구 중대동 875번지 |대구광역시 동구 파계로 707-14 (중대동)|41001|파계야영장|20181212171007|U|2018-12-14 02:40:00.0||347502.375511       |278199.5684         |자동차야영장업||||||||||||||||||||||||||||||||||
11|자동차야영장업|03_11_05_P|3460000|CDFI2262142019000001|20190408||01|영업/정상|13|영업중|||||053-666-2806|||대구광역시 수성구 범물동 951번지 진밭골 야영장 |"대구광역시 수성구 진밭길 112, 진밭골 야영장 (범물동)"|42240|진밭골야영장|20190409102148|U|2019-04-11 02:40:00.0||349984.002133       |258730.003555       |자동차야영장업||||||||||||||||||||||||||||||||||
12|자동차야영장업|03_11_05_P|3470000|CDFI2262142018000001|20180323||01|영업/정상|13|영업중||||||||대구광역시 달서구 송현동 산 56번지 |대구광역시 달서구 앞산순환로 248 (송현동)|42841|달서별빛캠프 캠핑장|20180323135008|I|2018-08-31 23:59:59.0||340628.745461       |259337.000892       |자동차야영장업|||||||||||||||||||||22900|||||||||||||22900
