##NAME|SUBNAME|TYPE|ID|TELNUM|NEWADDR|XCOORD|YCOORD@@한화생명
한화생명|가경지점|지점|05201|043-259-4747|충북 청주시 상당구 상당로 195, 11층 가경지점 (북문로3가, 한화생명빌딩)||
한화생명|가야지점|지점|08565|051-669-6526|부산 부산진구 중앙대로 659, 한화생명보험(주) 부산사옥 15층 (부전동)||
한화생명|가양지점|지점|01371|02-2606-4124|서울 강서구 화곡로 372, 4층 한화생명 가양지점 (등촌동, 서암빌딩)||
한화생명|가운지점|지점|03926|031-556-7410|경기 구리시 교문동 205-3번지 한화생명구리사옥 8층 가운지점||
한화생명|갈현지점|지점|01282|02-386-6734|서울 은평구 통일로 742, 8층 갈현지점 (불광동, 한화생명빌딩)||
한화생명|강남동강병원(동원의료재단)|검진센터|28035|052-241-3413|울산 남구 돋질로 80 (달동)||
한화생명|강남융자센터|융자창구|11323|02-520-3921|서울 강남구 테헤란로 127, 5층 강남고객센터 (역삼동, 그레이스타워)||
한화생명|강남지역단|지원단|01700|02-521-0957|서울 서초구 서초대로 398, 플래티넘빌딩 10층 (서초동, 플래티넘타워)||
한화생명|강남지점|지점|01729|02-583-2140|서울 서초구 서초2동 1321-11호 플래티넘타워 17층 한화생명 강남지점(※고객센터 건물내 없음 ※)||
한화생명|강내과의원|검진센터|24115|041-665-7401|충남 서산시 안견로 246 (동문동)||
한화생명|강동융자센터|융자창구|11322|02-485-2625|서울 강동구 천호대로 1102, 7층 한화생명 강동융자센터 (성내동, 강동웨딩프라자)||
한화생명|강릉지점|지점|03211|033-648-2605|강원 강릉시 율곡로 2806 한화생명 4층 강릉지점 (옥천동 한화생명빌딩)||
한화생명|강북지역단|지원단|01400|02-987-9093|서울 강북구 도봉로 52, 9층 강북지역단 (미아동, 와이스퀘어빌딩)||
한화생명|강북지점|지점|05279|02-989-9217|서울 강북구 도봉로 52, 8층 강북지점 (미아동, 와이스퀘어빌딩)||
한화생명|강서지역단|지원단|01350|02-2603-7154|서울 강서구 등촌1동 656-18번지 ND타워 3층||
한화생명|강서지점|지점|01357|02-2695-4493|서울 강서구 화곡로 372 (등촌동) 서암빌딩 2층 한화생명 강서지점||
한화생명|강서프라임병원|검진센터|28023|051-202-7800|부산 사하구 낙동남로 1410 (하단동)||
한화생명|강원도삼척의료원|검진센터|22176|033-572-1141|강원 삼척시 오십천로 418 (남양동)||
