##NAME|SUBNAME|TYPE|ID|TELNUM|NEWADDR|ADDR@@흥국화재
흥국화재|강남금융플라자|금융플라자|1177|02-2051-8293|서울특별시 강남구 강남대로 442 3층 (역삼동,흥국화재빌딩)|서울특별시 강남구 역삼1동 814-5번지 흥국화재빌딩 3층
흥국화재|광주금융플라자|금융플라자|2|062-227-2075|광주광역시 동구 금남로  230 1층 (금남로2가,흥국화재빌딩)|광주광역시 동구 충장동 24-2번지 흥국화재빌딩 1층(금남로2가)
흥국화재|대구금융플라자|금융플라자|4|053-257-8755|대구광역시 중구 국채보상로 573 4층 대구금융플라자 (포정동,흥국생명빌딩)|대구광역시 중구 포정동 54-12번지 흥국생명빌딩 4층 대구금융플라자
흥국화재|대전금융플라자|금융플라자|10|042-253-2426|대전광역시 중구 대종로 524 1층 대전금융플라자 (은행동,흥국생명)|대전광역시 중구 은행동 26-1번지 흥국생명 1층 대전금융플라자
흥국화재|마산금융플라자|금융플라자|777|055-253-0297|경상남도 창원시 마산회원구 양덕로 99 1층 (양덕동,흥국생명빌딩)|경상남도 창원시 마산회원구 양덕2동 57-5번지 흥국생명빌딩 1층
흥국화재|본사|금융플라자|778|02-2002-6000|서울특별시 종로구 새문안로 68 (신문로1가) 흥국생명빌딩 2층|서울특별시 종로구 신문로1가 226번지 흥국생명빌딩 2층
흥국화재|부산금융플라자|금융플라자|775|051-462-3675|부산광역시 부산진구 중앙대로775번길 5 (부전동,삼정빌딩) 11층|부산광역시 부산진구 부전1동  341-5번지 삼정빌딩 11층 (구. 대림빌딩)
흥국화재|수원금융플라자|금융플라자|12|031-241-4503|경기도 수원시 팔달구 정조로 886 1층 수원금융플라자 (북수동)|경기도 수원시 팔달구 북수동 148-1번지 1층 수원금융플라자
흥국화재|안양금융플라자|금융플라자|13|031-381-2763|경기도 안양시 동안구 시민대로 194 5층 (호계동,흥국화재빌딩)|경기도 안양시 동안구 범계동 1041번지 흥국화재빌딩 5층
흥국화재|울산금융플라자|금융플라자|3|052-245-6437|울산광역시 중구 학성로 139 2층 울산금융플라자 (학산동,흥국생명빌딩)|울산광역시 중구 학산동 70-8번지 흥국생명빌딩 2층 울산금융플라자
흥국화재|인천금융플라자|금융플라자|11|032-422-2862|인천광역시 남동구 예술로 174 5층 인천금융플라자 (구월동,흥국생명빌딩)|인천광역시 남동구 구월1동 1124번지 흥국생명빌딩 5층 인천금융플라자
흥국화재|전주금융플라자|금융플라자|779|063-288-6038|전라북도 전주시 완산구 팔달로 188 2층 (경원동3가,흥국화재빌딩)|전라북도 전주시 완산구 경원동3가 69-9번지 흥국화재빌딩 2층
흥국화재|창동CS창구|금융플라자|15|02-902-3085|서울특별시 도봉구 노해로69길  21 5층 (창동,두승빌딩)|서울특별시 도봉구 창4동  12-3번지 두승빌딩 5층
흥국화재|포항금융플라자|금융플라자|955|054-273-9308|경상북도 포항시 북구 중흥로  294 5층 (죽도동,흥국생명빌딩)|경상북도 포항시 북구 죽도동 104-3번지 흥국생명빌딩 5층(죽도동)
흥국화재|TFC사업부|영업점|2677|02-739-3867|서울특별시 종로구 새문안로  68 4층 (신문로1가,흥국생명빌딩)|서울특별시 종로구 새문안로5길  37 4층 (도렴동,도렴빌딩)
흥국화재|강릉지점|영업점|2630|033-651-1600|강원도 강릉시 하평길  21 3층 (포남동,새마을금고)|강원도 강릉시 포남2동 1289-3번지 새마을금고 3층
