##NAME|SUBNAME|TYPE|ID|TELNUM|NEWADDR|OT|XCOORD|YCOORD@@KB손해보험
KB손해보험|강릉대물보상센터|보상센터|E002271|033-902-8875|강원 강릉시 강릉대로 133 성웅빌딩 4층 (교동 962-12번지 성웅빌딩 4층)||128.885172|37.756954
KB손해보험|강릉보상센터|보상센터|E001958|033-650-2815|강원 강릉시 강릉대로 317 한국레져타운 2층 (포남동 1117-13 한국레져타운 2층)||128.902364|37.764757
KB손해보험|원주대물보상센터|보상센터|E002269|033-902-8875|강원 원주시 시청로 80, 9층 901호 (무실동,센터프라자) (무실동 1641-8 센터프라자 9층 901호)||127.927430|37.336746
KB손해보험|원주보상센터|보상센터|E001957|033-902-8878|강원 원주시 북원로 2453 (우산동) LG생활건강 빌딩 3층 (우산동 96-5 LG생활건강 빌딩 3층)||127.929949|37.334364
KB손해보험|춘천보상팀|보상센터|E002715||강원 춘천시 남춘로 20  4층 (퇴계동,국민연금빌딩) (퇴계동 1072 4층 (퇴계동,국민연금빌딩))||127.730972|37.862871
KB손해보험|강릉지역단|지역단|D000317|033-650-2800|강원 강릉시 강릉대로 317, 2층 KB손해보험 강릉지역단 (포남동,한국레져타운) (포남동 1117-13번지 한국레저타운2층)|▷ 평일 09:00~17:30　(환급/대출:09:00~16:00)　(점심시간:12:00~13:00)|128.902364|37.764757
KB손해보험|강원지역단|지역단|D000316|033-741-5911|강원 원주시 능라동길 48  5층 KB 강원지역단 (무실동,시네프라자) (무실동 1855-1 5층 KB 강원지역단 (무실동,시네프라자))|업무시간 : 09:30 ~18:00|127.929949|37.334364
KB손해보험|강원지역단/원주고객센터|지역단|B000126|033-741-5966|강원 원주시 능라동길 48, 5층 (무실동,시네프라자)  (무실동 1855-1 5층)|▷ 평일 09:00~17:30　(환급/대출:09:00~16:00)　(점심시간:12:00~13:00)|127.929928|37.334349
KB손해보험|강원지역단/춘천고객센터|지역단|B000127|033-240-7677|강원 춘천시 남춘로 20, 3층 (퇴계동,국민연금관리공단) (퇴계동 1072번지 3층 (국민연금춘천회관))|▷ 평일 09:00~17:30　(환급/대출:09:00~16:00)　(점심시간:12:00~13:00)|127.731032|37.862897
KB손해보험|강릉지점|지점|E000725|033-650-2930|강원 강릉시 강릉대로 317, 1층 KB손해보험 강릉지역단 강릉지점 (포남동,한국레져타운) (포남동 1117-13번지 한국레저타운 1층)|오전10시~오후4시(월~금)|128.902364|37.764757
KB손해보험|강원지점|지점|E001607|033-240-7600|강원 춘천시 남춘로 20, 2층 (퇴계동,국민연금관리공단) (퇴계동 1072번지 국민연금공단 춘천지사 2층)|오전10시~오후4시(월~금)|127.730798|37.862944
KB손해보험|경포지점|지점|E000730|033-652-5815|강원 강릉시 강릉대로 317, 1층 KB손해보험 강릉지역단 경포지점 (포남동,한국레져타운) (포남1동 1117-13번지 한국빌딩 1층 KB손해보험 경포지점)|오전10시~오후4시(월~금)|128.902364|37.764757
KB손해보험|동해지점|지점|E000728|033-530-6500|강원 동해시 동굴로 117, 4층 KB손해보험 동해지점 (천곡동,아진빌딩) (천곡동 897번지 아진빌딩 4층 KB손해보험 동해지점)|▷ 평일 10:00~16:00　　　(점심시간 12:00~13:00)|129.116795|37.518408
KB손해보험|속초지점|지점|E000737|033-636-4114|강원 속초시 중앙로 20, 3층 KB손해보험 강릉지역단 속초지점 (교동,르네상스빌딩) (교동 668-8 르네상스빌딩 3층)|▷ 평일 10:00~16:00　　　(점심시간 12:00~13:00)|128.579589|38.198207
KB손해보험|수도GA5-강원지점|지점|E002567|033-747-8966|강원 원주시 시청로 21, 503호 (무실동,요진타워) (무실동 1721-9 요진타워 503호)|오전10시~오후4시(월~금)|127.922711|37.340664
KB손해보험|수도GA5-프런티어2지점|지점|E003074|033-650-4342|강원 강릉시 교동광장로 107  4층 (교동) (교동 1880-3 4층 (교동))|오전10시~오후4시(월~금)|128.876653|37.765035
KB손해보험|신원주지점|지점|E000731|033-741-5972|강원 원주시 능라동길 48  시네프라자 4층 신원주지점 (무실동 1855-1 시네프라자 4층 신원주지점)|오전10시~오후4시(월~금)|127.929949|37.334364
KB손해보험|원일지점|지점|E000363|033-741-5888|강원 원주시 능라동길 48  5층 KB손해보험 원일지점 (무실동,시네프라자) (무실동 1855-1 5층 KB손해보험 원일지점 (무실동,시네프라자))|오전10시~오후4시(월~금)|127.929949|37.334364
KB손해보험|원주지점|지점|E000733|033-741-5878|강원 원주시 능라동길 48  5층 KB손해보험 원주지점 (무실동,씨네프라자) (무실동 1855-1 5층 KB손해보험 원주지점 (무실동,씨네프라자))|오전10시~오후4시(월~금)|127.929949|37.334364
KB손해보험|춘천지점|지점|E000726|033-240-6900|강원 춘천시 남춘로 20, 3층 (퇴계동,국민연금관리공단) (퇴계동 1072번지 국민연금공단 춘천지사 3층)|오전10시~오후4시(월~금)|127.730798|37.862932
KB손해보험|홍천영업소|지점|A000001|033-435-3114|강원 홍천군 홍천읍 홍천로 364, 4층 (신장대리  KT홍천지사) (홍천읍 신장대리 신장대리56-1번지 KT홍천지사 4층)|▷ 평일 10:00~16:00　　　(점심시간 12:00~13:00)|127.885719|37.688962
매직카|강릉노암점|매직카서비스점|M0003408|033-641-1544|강원 강릉시 남부로 174 (노암동) (노암동 453-7)|09:00~19:00|128.899488|37.742700
매직카|강릉주문진점|매직카서비스점|M0003407|033-662-0102|강원 강릉시 주문진읍 연주로 577 (주문리) (주문진읍 주문리 864-14)|09:00~19:00|128.822067|37.903333
매직카|강릉홍제점|매직카서비스점|M0003403|033-641-6674|강원 강릉시 하슬라로30번길 2 (홍제동) (홍제동 990-3)|09:00~20:00|128.878960|37.755256
매직카|고성거진점|매직카서비스점|M0008866|033-681-5601|강원 고성군 거진읍 진부령로 2896 (대대리, 애니카랜드) (거진읍 대대리 245 (애니카랜드))||128.461070|38.388924
매직카|삼척남양점|매직카서비스점|M0003804|033-573-2238|강원 삼척시 중앙로 125-7 (남양동 169-1)|09:00~18:00|129.166453|37.434695
매직카|속초조양점|매직카서비스점|M0003429|033-637-4846|강원 속초시 선사로 19 (조양동 1519-4)|09:00~19:00|128.592216|38.188668
매직카|양양양양점|매직카서비스점|M0003766|033-671-1957|강원 양양군 양양읍 양양로 100 (양양읍 남문1리 354-1)|08:30~19:00|128.618478|38.073848
매직카|원주문막점|매직카서비스점|M0003443|033-735-6766| (문막읍 건등1리 1473-8)|09:00~19:00|127.823914|37.314864
매직카|원주원동점|매직카서비스점|M0003735|033-765-0284|강원 원주시 다박골길 11 (원동 271)|08:30~19:30|127.945755|37.344666
매직카|원주태장점|매직카서비스점|M0006769|033-744-1747|강원 원주시 흥양로 110 (태장동) (태장동 1321-59)|08:30~19:00|127.959229|37.383333
매직카|춘천퇴계점|매직카서비스점|M0003481|033-244-4070|강원 춘천시 우묵길70번길 31 (퇴계동 697-2)|09:00~20:00|127.725655|37.865957
매직카|평창대관령점|매직카서비스점|M0006328|033-335-8277|강원 평창군 대관령로 74-3 (대관령면 횡계리 366-106)|09:00~19:00|128.704585|37.672825
매직카|평창진부점|매직카서비스점|M0008864|033-335-0808|강원 평창군 진부면 진부중앙로 160 (하진부리) (진부면 하진부리 31-4)|08:30 - 18:30|128.563028|37.644838
매직카|홍천홍천점|매직카서비스점|M0005635|033-435-2200|강원 홍천군 홍천읍 구시울1길 16(하오안리) (홍천읍 하오안리 772)|09:00~20:00|127.853836|37.671814
매직카|횡성우천점|매직카서비스점|M0003554|033-343-6566|강원 횡성군 한우로 1409 (우천면 우항리 385-1)|08:30~20:00|128.084647|37.491715
KB손해보험|수원고객센터|고객센터|E002524|031-547-3805|경기 수원시 팔달구 경수대로 518, KB손해보험 수원빌딩 1층 (인계동) (팔달구 인계동 946-3 KB손해보험 수원빌딩 1층)|▷ 평일 09:00~17:30　(환급/대출:09:00~16:00)　(단, 현금지급: 09:30~15:30분까지 방문 요망)|127.029202|37.271928
KB손해보험|경기스마트대물보상센터|보상센터|E003040|031-8081-1407|경기 수원시 팔달구 경수대로 518 (인계동, KB손해보험수원빌딩), 6층 (인계동 946-3 (KB손해보험수원빌딩), 6층)||127.029213|37.271881
KB손해보험|경기외제차보상센터|보상센터|E002425|031-8081-0453|경기 용인시 기흥구 죽전로 11 미래씨티빌딩 6층 605호 (기흥구 보정동 1195-3 미래시티빌딩 6층)||127.109826|37.320749
KB손해보험|고양대물보상센터|보상센터|E002253|031-8081-0428|경기 고양시 일산동구 호수로 358-39 동문굿모닝타워 1차916호 (일산동구 백석동 1323번지 동문굿모닝타워 1차916호)||126.786562|37.640455
KB손해보험|구리대물보상센터|보상센터|E002264|031-8081-0474|경기 남양주시 경춘로 368  506호 (다산동,브릭스타워) (다산동 668-3 506호 (다산동,브릭스타워))||127.155639|37.604608
KB손해보험|구리보상센터|보상센터|E002075|070-7861-9772|경기 구리시 경춘로 260  1층 (수택동,KB손해보험구리빌딩 구리보상센터) (수택동 531-1 1층 (수택동,KB손해보험구리빌딩 구리보상센터))||127.144046|37.601930
KB손해보험|남수원대물보상센터|보상센터|E002263|031-8081-1452|경기 수원시 팔달구 경수대로 518, KB빌딩 6층 남수원보상팀 (인계동) (팔달구 인계동 946-3 KB손해보험빌딩 6층 남수원보상팀 )||127.029202|37.271928
KB손해보험|부천대물보상센터|보상센터|E002255|032-250-8917|경기 부천시 원미구 길주로 270 대우마이빌 213,4호 (원미구 중1동 1148-2 대우마이빌2차 213,4호)||126.772004|37.502997
KB손해보험|부천보상센터|보상센터|E001961|070-7823-0282|경기 부천시 원미구 부일로 237번길 56, 405호 (상동,호림빌딩) (원미구 상동 442 405호)||126.757262|37.490898
KB손해보험|북수원대물보상센터|보상센터|E002262|031-8081-0460|경기 수원시 팔달구 경수대로 518, KB손해보험빌딩 6층 수원보상팀 (인계동) (팔달구 인계동 946-3 KB손해보험빌딩 6층 수원보상팀)|업무시간 : 09:00 ~18:00|127.029202|37.271928
KB손해보험|성남대물보상센터|보상센터|E002241|031-8081-0421|경기 성남시 수정구 성남대로 1262 삼우빌딩 5층 (수정구 태평동 6136번지 삼우빌딩5층 )||127.127639|37.442384
KB손해보험|성남보상센터|보상센터|E001965|031-8081-1457|경기 성남시 분당구 성남대로 912, 812호 (야탑동,BYC빌딩) (야탑동 367-1)|업무시간 : 09:00 ~18:00|127.129223|37.410897
KB손해보험|수원보상센터|보상센터|E002959|031-547-3851|경기 수원시 팔달구 경수대로 518  KB손해보험수원빌딩 5층 수원보상센터 (인계동 946-3 KB손해보험수원빌딩 5층 수원보상센터)||127.029196|37.271966
KB손해보험|안산대물보상센터|보상센터|E002261|031-8081-0486|경기 안산시 단원구 광덕서로 62 고잔법조빌딩 601호 (단원구 고잔동 710-3 고잔법조빌딩 601호)||126.827405|37.310206
KB손해보험|안산보상센터|보상센터|E001967|031-413-3114|경기 안산시 단원구 고잔로 58 -6 4층 (고잔동,오션빌딩) (고잔동 529-2 4층 (고잔동,오션빌딩))|업무시간 : 09:00 ~18:00|126.832040|37.318731
