##NAME|SUBNAME|TYPE|ID|TELNUM|NEWADDR@@NH농협손해보험
NH농협손해보험|서울지역총국|지역총국|27|02-2224-8395|서울특별시 강동구 올림픽로 528 (성내동, 농협서울지역본부 6층)
NH농협손해보험|업무지원센터|지역총국|103|02-3786-8003|서울특별시 서대문구 충정로 60 4층 (미근동, (주)케이티앤지 서대문 타워)
NH농협손해보험|경기지역총국|지역총국|37|031-224-0560|경기도 수원시 팔달구 효원로307번길 19 국민연금빌딩 5층
NH농협손해보험|인천지역총국|지역총국|30|032-420-2619|인천광역시 남동구 남동대로765번길 36 농협인천지역본부 5층
NH농협손해보험|강원지역총국|지역총국|38|033-258-8340|강원도 춘천시 중앙로 105 농협강원지역본부 2층
NH농협손해보험|충남지역총국|지역총국|40|041-339-5480|충청남도 홍성군 홍북읍 충남대로 64 2층 (NH농협충남통합본부)
NH농협손해보험|대전지역총국|지역총국|32|042-220-0877|대전광역시 중구 중앙로113 농협대전지역본부 7층
NH농협손해보험|충북지역총국|지역총국|39|043-229-1783|충청북도 청주시 서원구 구룡산로 23 3층 (성화동, NH농협충북통합본부)
NH농협손해보험|부산지역총국|지역총국|28|051-606-8286|부산광역시 부산진구 중앙대로783번길 14 농협부산지역본부 8층
NH농협손해보험|울산지역총국|지역총국|36|052-226-4698|울산광역시 남구 중앙로 206 농협울산지역본부 5층
NH농협손해보험|대구지역총국|지역총국|29|053-760-3061|대구광역시 수성구 희망로 124 농협대구지역본부 4층
NH농협손해보험|경북지역총국|지역총국|43|053-940-4482|대구광역시 북구 신암로 67 농협경북지역본부 별관 4층
NH농협손해보험|경남지역총국|지역총국|44|055-268-1781|경상남도 창원시 의창구 원이대로 627 농협경남지역본부 별관 1층
NH농협손해보험|전남지역총국|지역총국|42|061-289-7550|전라남도 무안군 삼향읍 후광대로 264 농협전남지역본부 3층
NH농협손해보험|광주지역총국|지역총국|31|062-603-6640|광주광역시 광산구 무진대로 285 (우산동, 농협광주지역본부 7층)
NH농협손해보험|전북지역총국|지역총국|41|063-240-3191|전라북도 전주시 완산구 우전로 290 3층 (효자동3가, NH농협전북통합본부)
NH농협손해보험|제주지역총국|지역총국|45|064-720-1284|제주특별자치도 제주시 서사로 56 농협제주지역본부 4층
