##NAME|SUBNAME|TYPE|ID|TELNUM|NEWADDR|KATECX|KATECY@@농협생명
농협생명|심사센터|농협생명|001518|02-1544-4000|서울특별시 서대문구 통일로 87(미근동) NH농협생명빌딩 동관 6층|309068|551674
농협생명|본사|농협생명|903904|02-1544-4000|서울특별시 서대문구 통일로 87(미근동) NH농협생명빌딩|309068|551674
송파농협|가락시장역지점|농축협|100147|02-2043-9577|서울특별시 송파구 송파대로30길 5|322210|543954
농협생명|수도AM지점|농협생명|904074|02-2051-2903|서울특별시 서대문구 통일로 87 NH농협생명빌딩 동관 2층|309068|551674
농협생명|강북AM지점|농협생명|904081|02-2051-9411|서울특별시 서대문구 통일로 87 NH농협생명빌딩 동관 2층|309068|551674
농협생명|강남AM지점|농협생명|904076|02-2051-9521|서울특별시 강남구 테헤란로 522 홍우빌딩 8층|317210|545495
농협생명|청담지점|농협생명|904393|02-2052-2269|서울특별시 강남구 역삼동 테헤란로 309 삼성제일빌딩 4층|315710|545026
영동농협|내곡지점|농축협|904425|02-2058-0380|서울특별시 서초구 헌릉로 176|316988|539802
영동농협|청계산역지점|농축협|904098|02-2058-1010|서울특별시 서초구 청계산로 197|316659|538833
경서농협|신목지점|농축협|100102|02-2061-7171|서울특별시 양천구 신목로 102|300832|547420
서울축산농협|우장산역지점|농축협|179562|02-2065-3851|서울특별시 강서구 강서로45길 13|297287|550154
송파농협|가든파이브지점|농축협|100149|02-2157-6700|서울특별시 송파구 충민로 66|322751|542107
농협생명|중앙AM지점|농협생명|904075|02-2193-2901|서울특별시 강남구 테헤란로 522 홍우빌딩 8층|317210|545495
동서울농협|동부지점|농축협|904364|02-2207-1520|서울특별시 중랑구 봉우재로 45|318784|554691
동서울농협|용마지점|농축협|100054|02-2208-6561|서울특별시 중랑구 용마산로 307|320004|553444
서울축산농협|전농지점|농축협|170105|02-2214-1001|서울특별시 동대문구 답십리로 78|316210|552951
한국양계농협|장안평지점|농축협|170626|02-2215-1981|서울특별시 동대문구 장한로 170|318257|552990
농협생명|서울총국|농협생명|001012|02-2224-8362|서울특별시 강동구 올림픽로 528, 5층|322448|547679
송파농협|세곡동지점|농축협|100024|02-2226-8120|서울특별시 강남구 헌릉로637길 22|321400|540859
한국양봉농협||농축협|170383|02-2231-9856|서울특별시 중구 다산로 141|312843|550929
서울우유농협|신당역지점|농축협|172475|02-2234-8151|서울특별시 중구 퇴계로 459|313872|551933
서울경기양돈농협|답십리지점|농축협|170464|02-2242-7162|서울특별시 동대문구 전농로 94|316968|552746
동서울농협|장안동지점|농축협|100051|02-2244-4247|서울특별시 동대문구 한천로 193|317862|553297
동서울농협|답십리지점|농축협|100052|02-2244-7194|서울특별시 동대문구 전농로 30|316899|552128
서울축산농협|장안지점|농축협|170040|02-2248-0541|서울특별시 동대문구 장한로 79|317927|552176
한국양봉농협|약수역지점|농축협|904706|02-2256-7030|서울특별시 중구 다산로 141|312841|550920
서울우유농협|장충동지점|농축협|170287|02-2279-8470|서울특별시 중구 장충단로 200|312469|551613
서울원예농협|마장동지점|농축협|100817|02-2281-0681|서울특별시 성동구 고산자로 345|315165|552465
중앙농협|옥수지점|농축협|100069|02-2282-7101|서울특별시 성동구 독서당로 184|312890|549333
서울축산농협|행당역지점|농축협|178327|02-2291-1331|서울특별시 성동구 행당로 87|314242|551080
강서농협|까치산역지점|농축협|100091|02-2601-7781|서울특별시 강서구 강서로 62|298214|548532
강서농협|신월사거리지점|농축협|100223|02-2605-0014|서울특별시 양천구 가로공원로 121|296741|548898
서울경기양돈농협|강서지점|농축협|170529|02-2606-2411|서울특별시 강서구 화곡로 292|298486|550412
서울축산농협|화곡역지점|농축협|170176|02-2607-1051|서울특별시 강서구 화곡로 185|297841|549560
강서농협|양천지점|농축협|100095|02-2607-5981|서울특별시 양천구 오목로 52|297960|547290
한국양토양록농협|화곡남지점|농축협|178770|02-2607-8234|서울특별시 강서구 강서로5나길 77|298018|547958
광명농협|광북지점|농축협|211035|02-2611-1886|경기도 광명시 광복로 68|299911|543694
경서농협|수궁지점|농축협|100100|02-2613-8334|서울특별시 구로구 부일로15길 20|297078|544204
경서농협|천왕역지점|농축협|100261|02-2615-8334|서울특별시 구로구 오류로 54-3|297639|543716
광명농협|학온지점|농축협|211033|02-2616-2600|경기도 광명시 광명로 276|298060|536541
경서농협|오류지점|농축협|100105|02-2616-9985|서울특별시 구로구 고척로6길 66|297831|544398
광명농협|광문지점|농축협|211034|02-2617-2542|경기도 광명시 도덕로 44-1|298724|541340
경서농협|개봉지점|농축협|100106|02-2617-5071|서울특별시 구로구 경인로 313|297831|544397
경서농협|개명지점|농축협|100109|02-2619-0411|서울특별시 구로구 개봉로3길 60|298753|543313
안양축산농협|철산지점|농축협|170956|02-2619-1341|경기도 광명시 오리로 861|299913|542053
경서농협|고척지점|농축협|100107|02-2619-2057|서울특별시 구로구 경인로47길 88|299779|545106
북시흥농협|과림지점|농축협|211021|02-2619-8696|경기도 시흥시 금오로575번길 7|296937|539556
농협생명|으뜸지점|농협생명|904225|02-2622-4402|서울특별시 서대문구 미근동 통일로 87 NH농협생명빌딩 동관 2층|309069|551673
영등포농협|신도림지점|농축협|100191|02-2635-4863|서울특별시 구로구 경인로 619-3|301539|545547
영등포농협|문래동지점|농축협|100076|02-2636-2682|서울특별시 영등포구 선유로 59|301986|546928
농협생명|남대문TM지점|농협생명|903947|02-2641-9902|서울특별시 중구 세종대로 17,  12층(WISE TOWER)|309471|551216
강서농협|염창역지점|농축협|100222|02-2642-9005|서울특별시 양천구 목동중앙북로 73|300468|550011
강서농협|등촌시장지점|농축협|100092|02-2644-0320|서울특별시 양천구 목동중앙북로 13|299907|550214
경서농협|목동10단지지점|농축협|100108|02-2655-0262|서울특별시 양천구 목동서로 400|299310|546652
서울축산농협||농축협|170011|02-2657-7114|서울특별시 강서구 양천로 574|299683|551128
서울우유농협|개화산역지점|농축협|179863|02-2662-0080|서울특별시 강서구 양천로 34|294875|552919
강서농협|방화지점|농축협|100098|02-2663-0321|서울특별시 강서구 방화동로 85|295303|552432
강서농협|수명산지점|농축협|100221|02-2667-2000|서울특별시 강서구 강서로47길 165|296548|550788
강서농협|목동사거리지점|농축협|100101|02-2668-9707|서울특별시 강서구 등촌로 41(화곡동 775-7)|299739|548550
강서농협||농축협|100090|02-2669-6114|서울특별시 강서구 금낭화로 127|295276|553375
영등포농협|양평지점|농축협|100071|02-2671-5301|서울특별시 영등포구 양평로 110|302582|548926
영등포농협|당산역지점|농축협|100074|02-2675-3762|서울특별시 영등포구 영중로 159|303421|548162
서울축산농협|영등포지점|농축협|170024|02-2678-7141|서울특별시 영등포구 당산로36길 12|302795|547892
광명농협|광명역지점|농축협|211030|02-2682-6937|경기도 광명시 오리로 954|299119|542483
부천축산농협|중림지점|농축협|179818|02-2683-7901|경기도 시흥시 금오로 453|296783|538487
경서농협|온수역지점|농축협|100260|02-2683-8334|서울특별시 구로구 경인로3길 58|296269|543986
안양축산농협|광명지점|농축협|170891|02-2686-2907|경기도 광명시 광명로 834|298674|541924
경서농협|개봉역지점|농축협|100103|02-2687-8334|서울특별시 구로구 개봉로 58|299060|543810
서울축산농협|신월지점|농축협|170066|02-2694-9265|서울특별시 양천구 지양로 86|297023|547404
경서농협||농축협|100104|02-2695-8334|서울특별시 양천구 신월로 313|299046|547227
서서울농협||농축협|100126|02-302-4321|서울특별시 은평구 응암로20길 3-8|304687|555137
서울우유농협|응암동지점|농축협|179711|02-303-2747|서울특별시 은평구 응암로4길 25-1|304549|554428
신도농협|화전지점|농축협|217060|02-3158-3152|경기도 고양시 덕양구 화랑로 22|300533|556009
신도농협|향동지점|농축협|217061|02-3158-4825|경기도 고양시 덕양구 중앙로 34-1|301298|555203
신도농협|대덕지점|농축협|217064|02-3158-6240|경기도 고양시 덕양구 덕은로 28|300942|554524
서울우유농협|서교지점|농축협|170325|02-323-5947|서울특별시 마포구 월드컵로 73, 2층|303919|550914
한국양봉농협|망원역지점|농축협|904373|02-323-6700|서울특별시 마포구 월드컵로 125|303606|551341
서서울농협|광흥창역지점|농축협|100130|02-324-2031|서울특별시 마포구 월드컵북로 21|305805|549898
서서울농협|아현역지점|농축협|100131|02-326-3961|서울특별시 서대문구 신촌로35길 10 상가동 102호(북아현동, e편한세상신촌 4단지)|307920|551205
영등포농협|신상도지점|농축협|100077|02-3280-5621|서울특별시 동작구 장승배기로 31|306579|544819
관악농협|낙성대역지점|농축협|100138|02-3285-8850|서울특별시 관악구 남부순환로 1931|308557|542186
서울우유농협|화랑대역지점|농축협|179999|02-3296-3801|서울특별시 노원구 노원로1길 67|319302|558011
서서울농협|홍대역지점|농축협|100129|02-337-6896|서울특별시 마포구 월드컵북로 21|304727|551026
서서울농협|망원지점|농축협|100120|02-338-6711|서울특별시 마포구 포은로 79|303458|550796
서울축산농협|상계역지점|농축협|170260|02-3392-3913|서울특별시 노원구 한글비석로 359|318562|562116
중앙농협|금호지점|농축협|100164|02-3395-9021|서울특별시 성동구 독서당로 335|314158|550017
서서울농협|세검정지점|농축협|100280|02-3417-4426|서울특별시 종로구 진흥로 456|308234|556570
동서울농협|신내지점|농축협|100055|02-3423-1500|서울특별시 중랑구 봉화산로 211|320407|556528
중앙농협|이튼타워지점|농축협|100060|02-3425-0081|서울특별시 광진구 능동로 50|317934|548555
강동농협|강일지점|농축협|100231|02-3427-9388|서울특별시 강동구 아리수로93길 33|327187|551843
농협생명|잠실지점|농협생명|903875|02-3432-3508|서울특별시 송파구 올림픽로35다길 32, 15층|320822|546255
중앙농협|중곡지점|농축협|100062|02-3436-0610|서울특별시 광진구 용마산로 120|319543|551746
중앙농협||농축협|100067|02-3437-9140|서울특별시 광진구 뚝섬로 639|318956|548150
영동농협|삼성로지점|농축협|100017|02-3442-6417|서울특별시 강남구 삼성로 624|316431|546344
농협생명|선릉지점|농협생명|904526|02-3453-3024|서울특별시 강남구 테헤란로 309(역삼동, 삼성제일빌딩) 4층|315701|545026
남서울농협|우면동지점|농축협|100240|02-3471-1521|서울특별시 서초구 중앙로 586|313131|539908
남서울농협|교대역지점|농축협|100085|02-3472-1521|서울특별시 서초구 서초대로 326|313304|544051
북서울농협|방학역지점|농축협|100172|02-3491-7200|서울특별시 도봉구 마들로 650|316099|563286
양주축협|방학지점|농축협|171117|02-3491-9333|서울특별시 도봉구 도당로 76|315148|562907
신도농협|용두지점|농축협|217065|02-353-4743|경기도 고양시 덕양구 용두로121번길 179|302186|558873
신도농협|삼송유통센터지점|농축협|903916|02-358-7456|경기도 고양시 덕양구 동송로 20, 2층|303036|561282
농협생명|명동지점|농협생명|904353|02-362-7291|서울특별시 중구 서소문로 38 센트럴타워 11층|308851|551409
농협생명|한성AM지점|농협생명|904513|02-362-8177|서울특별시 서대문구 통일로 87 NH농협생명빌딩 동관 2층|309068|551674
농협생명|서울AM지점|농협생명|904073|02-362-8214|서울특별시 서대문구 통일로 87(미근동) NH농협생명빌딩 동관 5층|309068|551674
강서농협|가양지점|농축협|100096|02-3661-0241|서울특별시 강서구 강서로 489|297824|552516
서울축산농협|염창동지점|농축협|170016|02-3663-1691|서울특별시 강서구 양천로 706|300731|550300
