##NAME|SUBNAME|TELNUM|NEWADDR|ADDR@@AXA손해보험
AXA손해보험|강남대물보상센터|02-3478-8649|서울 서초구 서초대로 114 4층 (방배동, JH빌딩4층)|서울 서초구 방배동 897-2 JH빌딩 4층
AXA손해보험|강남대인보상센터|02-3478-8649|서울 서초구 서초대로 114 4층 (방배동, JH빌딩5층)|서울 서초구 방배동 897-2 JH빌딩 5층
AXA손해보험|동부외제차보상센터|02-2246-0409|서울 동대문구 장한로 10 10층(장안동)|
AXA손해보험|서부외제차보상센터|02-3481-0531|서울 서초구 서초대로 114 5층 (방배동, JH빌딩5층)|서울 서초구 방배동 897-2 JH빌딩 5층
AXA손해보험|남서울대물보상센터|02-2632-5738|서울 양천구 목동동로 233-3 12층 악사손해보험 (목동,서울이동통신)|
AXA손해보험|구상전담보상센터|02-3481-8202|서울 서초구 서초대로 114 4층(방배동, JH빌딩)|서울 서초구 방배동 897-2 JH빌딩 4층
AXA손해보험|강서대인보상센터|02-2632-5738|서울 양천구 목동동로 233-3 12층 악사손해보험 (목동,서울이동통신)|
AXA손해보험|강서대물보상센터|02-2632-5738|서울 양천구 목동동로 233-3 12층 악사손해보험 (목동,서울이동통신)|
AXA손해보험|강북대인보상센터|02-2246-0409|서울 동대문구 장한로 10 10층(장안동)|서울 동대문구 장안동 433-7 10층
AXA손해보험|북부보상센터|02-998-6833|서울 도봉구 노해로 391 6층(창동, 네네빌딩)|서울 도봉구 창동 16-1 네네빌딩 6층
AXA손해보험|강북대물보상센터|02-2246-0409|서울 동대문구 장한로 10 10층(장안동)|서울 동대문구 장안동 433-7 10층
AXA손해보험|강동대물보상센터|02-2246-0409|서울 동대문구 장한로 10 10층(장안동)|서울 동대문구 장안동 433-7 10층
AXA손해보험|다이렉트대인보상2센터|02-585-5473|서울 서초구 서초대로 114 3층 (방배동, JH빌딩2층)|서울 서초구 방배동 897-2 JH빌딩 2층
