##NAME|SUBNAME|TELNUM|ADDR|NEWADDR|CODE|XCOORD|YCOORD@@SC제일은행
SC제일은행|강릉지점||강원도 강릉시 성내동 20-3|강원도 강릉시 임영로 113 (성내동 20-3)|2621|917252|1185327
SC제일은행|강릉지원출장소||강원도 강릉시 난곡동 117-1|강원도 강릉시 동해대로 3288-18 (난곡동 117-1)|2624|913353|1194540
SC제일은행|원주지점||강원도 원주시 중앙동 143|강원도 원주시 중앙로 88 (중앙동 143)|2620|710750|1070412
SC제일은행|원주지원출장소||강원도 원주시 무실동 1800|강원도 원주시 시청로 149 (무실동 1800)|2625|708427|1072082
SC제일은행|춘천지점||강원도 춘천시 중앙로1가 80|강원도 춘천시 중앙로 45 (중앙로1가 80)|2619|660150|1217588
SC제일은행|춘천지방법원출장소||강원도 춘천시 효자2동 356|강원도 춘천시 공지로 284 (효자2동 356)|2623|661658|1213762
SC제일은행|NHN/판교/뱅크샵플러스지점||경기도  성남시 분당구 삼평동 629|경기도 성남시 대왕판교로645번길 16 (분당구 삼평동 629)|7408|523048|1083803
SC제일은행|과천지점||경기도 과천시 중앙동 41-1|경기도 과천시 새술막길 39 (중앙동 41-1)|2608|498192|1091623
SC제일은행|광명지점||경기도 광명시 하안동 302-8|경기도 광명시 오리로 657 (하안동 302-8)|2605|472680|1100116
SC제일은행|구리지점||경기도 구리시 수택동 370-1|경기도 구리시 경춘로 192 (수택동 370-1)|2613|530180|1139109
SC제일은행|구성지점||경기도 용인시 기흥구 언남동 414-5|경기도 용인시 기흥구 구성로 98 (언남동 414-5)|3667|526582|1054060
SC제일은행|기아자동차소하리출장소||경기도 광명시 소하동 781-1|경기도 광명시 기아로 113 (소하동 781-1)|2721|475860|1094058
SC제일은행|기아자동차화성출장소||경기도 화성군 우정면 이화리 1122|경기도 화성군 기아자동차로 95 (우정면 이화리 1122)|2729|450212|981664
SC제일은행|기아자동차화성중앙출장소||경기도 화성시 우정읍 매향리|경기도 화성시  (우정읍 매향리)|4563|447082|982975
SC제일은행|김포지점||경기도 김포시 북변동 859|경기도 김포시 북변중로 23 (북변동 859)|2616|436484|1145697
SC제일은행|백석역지점||경기도 고양시 일산구 백석동 1331|경기도 고양시 일산구 중앙로 1047 (백석동 1331)|2614|453132|1151016
SC제일은행|부천지점||경기도 부천시 원미구 원미동 111-1|경기도 부천시 원미구 부천로 120 (원미동 111-1)|2606|452549|1109913
SC제일은행|분당지점||경기도 성남시 분당구 서현동 89-7|경기도 성남시 분당구 중앙공원로39번길 7 (서현동 89-7)|2629|528355|1078376
SC제일은행|분당중앙지점||경기도 성남시 분당구 수내동 6-8|경기도 성남시 분당구 황새울로258번길 41 (수내동 6-8)|2661|525654|1077550
SC제일은행|산본지점||경기도 군포시 산본동 1142-7|경기도 군포시 번영로 489 (산본동 1142-7)|2636|484900|1071863
SC제일은행|서수원지점||경기도 수원시 팔달구 고등동 6-2|경기도 수원시 팔달구 동말로 88 (고등동 6-2)|2602|500842|1049844
SC제일은행|성남지점||경기도 성남시 수정구 태평동 6447|경기도 성남시 수정구 수정로 93 (태평동 6447)|2604|528921|1094885
SC제일은행|수원지점||경기도 수원시 팔달구 팔달로2가 47-12|경기도 수원시 팔달구 정조로 782 (팔달로2가 47-12)|2598|503797|1049651
SC제일은행|수원중부대로지점||경기도 수원시 영통구 매탄동 153-35|경기도 수원시 영통구 중부대로 248 (매탄동 153-35)|2615|509466|1048785
SC제일은행|수원중앙지점||경기도 수원시 권선구 권선동 1023-1|경기도 수원시 권선구 권광로 149 (권선동 1023-1)|3975|506886|1044867
SC제일은행|수지지점||경기도 용인시 수지구 풍덕천2동 1080-3|경기도 용인시 수지구 풍덕천로 110 (풍덕천2동 1080-3)|2648|520919|1061891
SC제일은행|수지성복지점||경기도 용인시 수지구 성복동 726번지|경기도 용인시 수지구 성복2로 126 (성복동 726번지)|3596|515977|1060273
SC제일은행|시화공단지점||경기도 시흥시 정왕동 1740-1|경기도 시흥시 중심상가로 178 (정왕동 1740-1)|2663|441215|1068326
SC제일은행|아주대학교출장소||경기도 수원시 영통구 원천동 산5|경기도 수원시 영통구  (원천동 산5)|2626|510055|1051221
SC제일은행|안산지점||경기도 안산시 고잔동 533-3|경기도 안산시 고잔로 76 (고잔동 533-3)|2609|463405|1060988
SC제일은행|안양지점||경기도 안양시 만안구 안양4동 676-214|경기도 안양시 만안구 안양로 297 (안양4동 676-214)|2600|482522|1083085
SC제일은행|야탑역지점||경기도 성남시 야탑동 360-1|경기도 성남시 장미로 78 (야탑동 360-1)|3830|528565|1087321
SC제일은행|엘지전자출장소||경기도 평택시 진위면 청호리 19-1|경기도 평택시 엘지로 222 (직원전용) (진위면 청호리 19-1)|2724|519553|1006672
SC제일은행|영통지점||경기도 수원시 영통구 영통동 958-1|경기도 수원시 영통구 봉영로 1623 (영통동 958-1)|2709|516558|1043573
SC제일은행|용인지점||경기도 용인시 처인구 김량장동 296-7|경기도 용인시 처인구 금령로 72 (김량장동 296-7)|2607|545346|1037746
SC제일은행|용인보라지점||경기도 용인시 기흥구 보라동 555|경기도 용인시 기흥구 사은로126번길 25 (보라동 555)|3646|526598|1043038
SC제일은행|의정부지점||경기도 의정부 의정부동 126-10|경기도 의정부 태평로 66 (의정부동 126-10)|2634|511460|1177413
SC제일은행|이마트/광교/뱅크데스크지점||경기도 수원시 영통구 이의동 1240|경기도 수원시 영통구 광교로 191 (이의동 1240)|8130|510404|1054795
