##NAME|SUBNAME|ID|ORGNAME|TELNUM|NEWADDR|FEAT@@신한은행
신한은행|나라사랑카드/제주발급소지점|7154|나라사랑카드 제주발급소|0647237014|제주특별자치도 제주시 도남동 정부제주지방합동청사 제주지방병무청|
신한은행|서귀포출장소|7191|서귀포(출)|0647327930|제주 서귀포시 일주동로 8707 (서귀동)|
신한은행|신제주지점|2424|신제주|0647451637|제주 제주시 연북로 36, (노형동) 제이빌딩|
신한은행|제주지점|2407|제주|0647525500|제주 제주시 중앙로 31, (일도일동)|VIP
신한은행|제주공항출장소|2427|제주공항(출)|0647473825|제주 제주시 공항로 2, 제주국제공항청사 (용담이동, 제주국제공항)|
신한은행|제주신화월드출장소|2436|제주신화월드(출)|0649041000|제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 (서광리)|
신한은행|제주중앙금융센터|2405|제주중앙금융센터|0647577200|제주 제주시 중앙로 166, (이도일동)|VIP
신한은행|무거동지점|2129|무거동|0522499977|울산 남구 대학로 138, (무거동, 신정빌딩 1층)|VIP
신한은행|약사동지점|2134|약사동|0522856500|울산 중구 번영로 487, (약사동)|VIP
신한은행|온산금융센터|2145|온산금융센터|0522370680|울산 울주군 온산읍 덕신로 217|VIP
신한은행|울산지점|2124|울산|0522755700|울산 남구 삼산로 227, (달동)|
신한은행|울산S-OIL출장소|2171|울산S-OIL(출)|0522381967|울산 울주군 온산읍 온산로 68, S-OIL(주) 온산공장 별관|
신한은행|울산SK지점|2044|울산SK|0522082149|울산 남구 신여천로 2, SK울산정유공장 (고사동)|
신한은행|울산기업금융센터|5622|울산기업금융센터|0522679386|울산 남구 삼산로 227번지 (달동)|
신한은행|울산남지점|7013|울산남|0522677111|울산 남구 월평로 50, (신정동)|VIP
신한은행|울산대학교병원출장소|2174|울산대학교병원(출)|0529147110|울산 동구 방어진순환도로 877 (전하동)|
신한은행|울산법원지점|7042|울산법원|0522728193|울산 남구 법대로 55, (옥동,울산지방법원)|VIP
신한은행|울산북금융센터|2160|울산북금융센터|0522851323|울산 북구 신답로 48, 프리지아상가 (상안동)|VIP
신한은행|울산성남동지점|2108|울산성남동|0522463132|울산 중구 새즈믄해거리 10, (성남동)|VIP
신한은행|울산중앙금융센터|2148|울산중앙금융센터|0522584582|울산 남구 삼산로 172, (달동)|VIP
신한은행|울산현대지점|2150|울산현대|0522354200|울산 동구 명덕로 10, 현대예술관 (서부동)|VIP
신한은행|전하동지점|2149|전하동|0522329334|울산 동구 방어진순환도로 785, (전하동)|VIP
신한은행|가오동지점|2046|가오동|0422860022|대전 동구 동구청로 95, 2층 예시티 (가오동)|VIP
신한은행|관저동지점|2043|관저동|0425424011|대전 서구 관저로 157, (관저동)|VIP
신한은행|나라사랑카드/대전충남발급소지점|7121|나라사랑카드 대전충남발급소|0422572638|대전 중구 중앙로16번길 5 (문화동)|
신한은행|노은지점|2034|노은|0424766055|대전 유성구 노은로 178, 2층 (지족동, 금강프라자)|VIP
신한은행|대덕테크노밸리금융센터|2038|대덕테크노밸리금융센터|0429362141|대전 유성구 테크노중앙로 50 (관평동)|VIP
신한은행|대전지점|2008|대전|0424860808|대전 서구 둔산로 144, (둔산동, 남원프라자)|VIP
신한은행|대전롯데출장소|2042|대전롯데(출)|0425272813|대전 서구 계룡로 612, (괴정동)|
신한은행|대전법원지점|7021|대전법원|0424722091|대전 서구 둔산중로 78번길 45, (둔산동, 대전지방법원 본관,별관)|
신한은행|대전역금융센터|2001|대전역금융센터|0422535071|대전 동구 대전로 783, (원동)|VIP
신한은행|대전을지병원출장소|7165|대전을지병원(출)|0424722980|대전 서구 둔산서로 95, 1층 (둔산동, 을지대학병원)|
신한은행|대전중앙지점|2031|대전중앙|0424861675|대전 서구 대덕대로 204, (둔산동)|VIP
신한은행|대전중앙기업금융센터|5512|대전중앙기업금융센터|0424846750|대전 서구 대덕대로 204, (둔산동)|
신한은행|도안지점|2054|도안|0428246211|대전 유성구 도안대로 511-7, (상대동)|VIP
신한은행|둔산중앙지점|2022|둔산중앙|0424855300|대전 서구 청사로 70, 단지상가 (월평동, 누리아파트)|
신한은행|반석역출장소|7156|반석역(출)|0428223981|대전 유성구 반석로 9, 2층 (반석동, 더존타워)|
신한은행|법동지점|2024|법동|0426215111|대전 대덕구 동춘당로 178, 단지상가 (법동, 보람아파트)|VIP
신한은행|서대전지점|2033|서대전|0425220600|대전 중구 평촌로 58 (유천동)|VIP
신한은행|신한PWM대전센터지점|3010|신한PWM대전센터|04204853160|대전 서구 대덕대로 204, (둔산동)|
신한은행|용전동지점|2028|용전동|0426369581|대전 동구 동서대로 1641, (용전동, 아남빌딩)|VIP
신한은행|전민동지점|2041|전민동|0428625071|대전 유성구 유성대로 1756, (전민동)|VIP
신한은행|LG이노텍출장소|2329|LG이노텍(출)|0544758722|경북 구미시 옥계2공단로 221, LG이노텍 보람관 (구포동, 엘지마이크론)|
신한은행|LG이노텍1출장소|2378|LG이노텍1(출)|0544628390|경북 구미시 수출대로9길 66 사무동 2층 (공단동, LG이노텍(주) 구미1A공장)|
신한은행|경산공단금융센터|5712|경산공단금융센터|0538562992|경북 경산시 진량읍 공단6로24길 23-9, 진량산업단지관리공단|
신한은행|경주금융센터|7003|경주금융센터|0547413721|경북 경주시 화랑로 99, (동부동)|
신한은행|경주동국대학교출장소|7102|경주동국대학교(출)|0547413106|경북 경주시 동대로 123, (석장동, 동국대학교경주캠퍼스)|
신한은행|경주법원출장소|7098|경주법원(출)|0547723721|경북 경주시 화랑로 89, 대구지방법원경주지원 (동부동, 대구지방검찰청경주지청)|
신한은행|구미4공단금융센터|2330|구미4공단금융센터|0544737447|경북 구미시 산호대로 31길 3, (옥계동)|VIP
신한은행|구미금융센터|2308|구미금융센터|0544611601|경북 구미시 1공단로 188, (공단동)|VIP
신한은행|구미중앙지점|2315|구미중앙|0544622300|경북 구미시 송원동로 5, 1층 신한금융투자빌딩 (송정동)|VIP
신한은행|김천공단출장소|7101|김천공단(출)|0544324031|경북 김천시 공단2길 30-30, 공단복지회관 (대광동)|
신한은행|김천금융센터|7008|김천금융센터|0544344031|경북 김천시 김천로 146, (평화동)|VIP
신한은행|김천법원출장소|7099|김천법원(출)|0544330944|경북 김천시 물망골길 39, 김천지원 (삼락동, 대구지방법원김천지원)|
신한은행|안동지점|7001|안동|0548576691|경북 안동시 중앙로 41, (삼산동)|VIP
신한은행|안동대학교출장소|7100|안동대학교(출)|0548234739|경북 안동시 경동로 1375, (송천동, 안동대학교)|
신한은행|안동법원출장소|7097|안동법원(출)|0548576696|경북 안동시 강남로 304, (정하동, 대구지방법원안동지원)|
신한은행|안동병원출장소|7160|안동병원(출)|0548570660|경북 안동시 앙실로 11, (수상동)|
신한은행|안동시청출장소|7204|안동시청(출)|0548566724|경북 안동시 퇴계로 115 (명륜동)|
신한은행|영주지점|2302|영주|0546334911|경북 영주시 영주로 227 (하망동)|
신한은행|인동지점|2311|인동|0544710521|경북 구미시 인동가산로 35, (인의동)|
신한은행|장성동출장소|2335|장성동(출)|0542311930|경북 포항시 북구 새천년대로 1273, (장성동)|
신한은행|포항지점|7006|포항|0542473011|경북 포항시 북구 중앙로 284, (상원동)|VIP
신한은행|포항공단출장소|2322|포항공단(출)|0542850500|경북 포항시 남구 대송면 철강로 206|
신한은행|포항남금융센터|2319|포항남금융센터|0542823444|경북 포항시 북구 포스코대로 299, (죽도동)|
신한은행|포항법원출장소|7103|포항법원(출)|0542523011|경북 포항시 북구 법원로 181, (양덕동)|
신한은행|포항해병대출장소|2337|포항해병대(출)|0542920637|경북 포항시 남구 오천읍 충무로 70|
신한은행|ASE코리아출장소|1888|ASE코리아(출)|0319400307|경기 파주시 산업단지길 76, (문발동, ASE코리아)|
신한은행|LG디스플레이출장소|5446|LG디스플레이(출)|03180749142|경기 파주시 월롱면 엘지로 245, LG Display A2동 2층 (파주LCD산업단지)|
신한은행|LG이노텍파주출장소|1942|LG이노텍파주(출)|03180749410|경기 파주시 문산읍 휴암로 570|
신한은행|NHN판교출장소|5447|NHN판교(출)|0317082112|경기 성남시 분당구 대왕판교로645번길 16, N-SQUARE NHN동 2층 (삼평동)|
신한은행|가천대학교지점|1889|가천대학교|0317584712|경기 성남시 수정구 성남대로 1342, (복정동, 가천대학교)|
신한은행|강남대역지점|1863|강남대역|0312850025|경기 용인시 기흥구 중부대로 579, (구갈동, 강남대프라자)|VIP
신한은행|경기광주금융센터|1756|경기광주금융센터|0317618771|경기 광주시 광주대로 31, (경안동)|VIP
신한은행|경기대학교출장소|7080|경기대학교(출)|0312527182|경기 수원시 영통구 광교산로 154-42, 1층 학생복지관 (이의동, 경기대학교)|
신한은행|경기도청출장소|7179|경기도청(출)|0312579200|경기 수원시 팔달구 효원로 1, (매산로3가, 경기도청)|
신한은행|고양법원지점|7060|고양법원|0319071389|경기 고양시 일산동구 장백로 209, (장항동, 의정부지방법원고양지원 )|
신한은행|고읍지점|1937|고읍|0318487300|경기 양주시 고읍남로 2, (광사동, 해동월드타워)|VIP
신한은행|고잔지점|1834|고잔|0314108202|경기 안산시 단원구 광덕동로 55, 2층 (고잔동, 21세기프라자)|VIP
신한은행|곤지암금융센터|1949|곤지암금융센터|0317665801|경기 광주시 곤지암읍 경충대로 751|
신한은행|과천지점|1816|과천|025075050|경기 과천시 별양상가 1로 10, (별양동, 과천타워)|
신한은행|관양동지점|1823|관양동|0313876200|경기 안양시 동안구 관평로 312, 삼진빌딩 (관양동)|
신한은행|광교상현금융센터|1952|광교상현금융센터|0312126436|경기 용인시 수지구 광교중앙로 316, 시티하임빌딩 2층 (상현동)|VIP
신한은행|광교타운지점|1958|광교타운|0312133041|경기 수원시 영통구 도청로 17번길 10, (이의동, 성희프라자)|VIP
신한은행|광명지점|1775|광명|0226145600|경기 광명시 광명로 906, 라파메디칼 (광명동, 현대아이타워)|VIP
신한은행|교하지점|1877|교하|0319461091|경기 파주시 책향기로 420, 단지상가 (동패동, 책향기마을신동아아파트)|VIP
신한은행|구리금융센터|1727|구리금융센터|0315665315|경기 구리시 경춘로 229, 2층 (인창동, 쌍용오피스텔)|VIP
신한은행|구리한양대병원출장소|1887|구리한양대병원(출)|0315698185|경기 구리시 경춘로 153, 구리한양대병원 (교문동, 한양대학교부속구리병원)|
신한은행|구성지점|1900|구성|0312865522|경기 용인시 기흥구 구성로 102, (언남동)|VIP
신한은행|국립암센터지점|7056|국립암센터|0319020212|경기 고양시 일산동구 일산로 323, (마두동, 국립암센터)|VIP
신한은행|군포지점|1825|군포|0313935400|경기 군포시 고산로 251, 2층 (당동, 용호프라자)|VIP
신한은행|군포IT밸리금융센터|1959|군포IT밸리금융센터|03180868100|경기 군포시 고산로 148번길 17, (당정동)|
