##NAME|SUBNAME|ID|TELNUM|ADDR|NEWADDR@@한국투자증권
한국투자증권|강남금융센터|369|02-6954-0140|서울특별시 강남구 도곡동 957-14 하늘빌딩 3층|서울특별시 강남구 남부순환로 2609, 3층(도곡동, 하늘메디컬빌딩)
한국투자증권|강남대로1PB센터|265|02-3473-2324|서울특별시 서초구 서초동 1337-32번지 광일빌딩 2층|서울특별시 서초구 강남대로 331, 2층 (서초동, 광일빌딩)
한국투자증권|강남대로2PB센터|278|02-574-1233|서울특별시 서초구 서초2동 1337-32번지 광일빌딩 2층|서울특별시 서초구 강남대로 331 2층 (서초동, 광일빌딩)
한국투자증권|강동PB센터|280|02-486-1254|서울특별시 강동구 성내동 48-1 한일빌딩 2층|서울특별시 강동구 천호대로 1016, 2층(성내동, 한일빌딩)
한국투자증권|강릉지점|281|033-641-1414|강원도 강릉시 임당동 112-1 문선빌딩 1층|강원도 강릉시 경강로 2109, 1층 (임당동, 문선빌딩)
한국투자증권|강북금융센터|368|02-6954-0911|서울특별시 종로구 당주동 5|서울특별시 종로구 새문안로 5길 19
한국투자증권|강북센터|363|02-6226-6700|서울특별시 종로구 청진동 128번지 타워8 빌딩 본관 4층|서울특별시 종로구 종로5길7 4층(청진동, 타워8 본관)
한국투자증권|건대역지점|282|02-467-1212|서울특별시 광진구 자양동 227-342 더 클래식 500 A동 4층|서울특별시 광진구 능동로 90, 4층 (자양동, 더클래식500 A동)
한국투자증권|관악PB센터|246|02-884-1254|서울특별시 관악구 신림동 86-3 청암두산위브센티움 2층|서울특별시 관악구 신림로 318, 2층(청암두산위브센티움)
한국투자증권|광명지점|238|02-2625-1254|경기도 광명시 철산3동 413번지 한복빌딩 2층|경기도 광명시 오리로 856, 2층 (철산3동, 한복빌딩)
한국투자증권|광양지점|306|061-795-5700|전라남도 광양시 중동 1650-5|전라남도 광양시 공영로 61, 1층
한국투자증권|광주PB센터|308|062-232-6006|광주광역시 동구 금남로 2가 19-1번지|광주광역시 동구 금남로 239, 1층 (금남로2가)
한국투자증권|구미지점|325|054-453-1254|경상북도 구미시 송정동 459-3 1층|경상북도 구미시 송정대로 56, 1층 (송정동)
한국투자증권|구포지점|326|051-341-1254|부산광역시 북구 덕천2동 399-1번지 덕천빌딩 1층|부산광역시 북구 만덕대로 3, 1층 (덕천2동, 덕천빌딩)
한국투자증권|노원PB센터|366|02-952-1212|서울특별시 노원구 상계동 727-3|서울특별시 노원구 동일로 1402. 2층(상계동,기업빌딩)
한국투자증권|대구PB센터|332|053-752-3881|대구광역시 수성구 범어동 41-3번지 KB손해보험빌딩 3층|대구광역시 수성구 달구벌대로 2397, 3층 (범어동, KB손해보험빌딩)
한국투자증권|대전지점|319|042-825-3911|대전광역시 유성구 봉명동 553-4|대전시 유성구 도안대로 591, 3층(봉명동, 명동프라자)
한국투자증권|대치PB센터|351|02-556-1141|서울특별시 강남구 대치동 653번지 청우빌딩 2층|서울특별시 강남구 남부순환로 2911, 2층 (대치동, 청우빌딩)
