##NAME|SUBNAME|TELNUM|NEWADDR|FEAT@@삼성카드
삼성카드|신세계하남/고객서비스센터|1800-3089|경기 하남시 미사대로 750 신세계백화점 스타필드하남점 3층(신장동)|바로발급
삼성카드|신세계의정부/고객서비스센터|1666-1852|경기 의정부시 평화로 525 신세계백화점 9층(의정부동)|바로발급
삼성카드|신세계경기/고객서비스센터|1666-1868|경기 용인시 수지구 포은대로 536 신세계백화점경기점 백화점동 7층(죽전동)|바로발급
삼성카드|신세계김해/고객서비스센터|1800-3105|경남 김해시 김해대로 2232 신세계백화점 4층(외동)|바로발급
삼성카드|신세계마산/고객서비스센터|1666-1857|경상남도 창원시 마산합포구 합포로 251 신세계백화점 8층(산호동)|바로발급
삼성카드|신세계광주/고객서비스센터|1666-1859|광주 서구 무진대로 932 신세계백화점 1층(광천동)|바로발급
삼성카드|대구신세계/고객서비스센터|1800-3025|대구 동구 동부로 149 대구신세계백화점 8층(신천동)|바로발급
삼성카드|대전/신세계/Art/&/Science/고객서비스센터|1599-6581|대전광역시 유성구 엑스포로17 신세계백화점 7층 (도룡동)|바로발급
삼성카드|세이백화점/고객서비스센터|1666-1861|대전 중구 계백로 1700 세이백화점 7층(문화동)|바로발급
삼성카드|신세계센텀/고객서비스센터|1666-1858|부산 해운대구 센텀남대로 35 신세계백화점 센텀시티점 9층(우동)|바로발급
삼성카드|신세계타임스퀘어/고객서비스센터|1666-1867|서울 영등포구 영중로 9 신세계백화점 패션관 10층(영등포동4가)|바로발급
삼성카드|신세계본점/고객서비스센터|1666-1870|서울특별시 중구 소공로63 신세계백화점 신관 13층(충무로1가)|바로발급
삼성카드|신세계강남/고객서비스센터|1666-1869|서울특별시 서초구 신반포로 176 신세계백화점 본관 8층(반포동)|바로발급
삼성카드|신세계/아라리오/고객서비스센터|1666-1860|충남 천안시 동남구 만남로 43 신세계백화점 아라리오점 A관 6층(신부동)|바로발급
