##NAME|SUBNAME|TELNUM|ID|NEWADDR|TYPE|TYPE2|ORGNAME|SOURCE2@@레드테이블
명동교자|명동교자||837|서울 중구 명동2가 25-2|한식|면/만두|명동교자|레드테이블
도레도레(신사점)|도레도레(신사점)||17334|서울시 강남구 신사동 544-4|카페|커피전문점|도레도레(신사점)|레드테이블
피오니|피오니||1833|서울 마포구 서교동 403-15|카페|베이커리|피오니|레드테이블
바토스(이태원점)|바토스(이태원점)||1499|서울 용산구 이태원동 181-8|양식|아메리카|바토스(이태원점)|레드테이블
윤씨밀방|윤씨밀방||1844|서울 마포구 서교동 411-6|한식|면/만두|윤씨밀방|레드테이블
돈부리|돈부리||3264|서울 마포구 서교동 366-18|일식|카레/덮밥/도시락|돈부리|레드테이블
마이타이|마이타이||1580|서울 용산구 이태원동 123-20|양식|아시아식|마이타이|레드테이블
스트릿츄러스|스트릿츄러스||43727|서울시 용산구 이태원2동 557|카페|베이커리|스트릿츄러스|레드테이블
프리모바치오바치|프리모바치오바치||46250|서울시 마포구 동교동 162-8|양식|이탈리아식|프리모바치오바치|레드테이블
중심|중심||16100|서울 용산구 이태원동 34-39|한식|면/만두|중심|레드테이블
퍼블릭하우스|퍼블릭하우스||3925|서울 강남구 신사동 536|양식|이탈리아식|퍼블릭하우스|레드테이블
바비레드|바비레드||153|서울 강남구 역삼동 618-18|양식|이탈리아식|바비레드|레드테이블
커피프린스1호점|커피프린스1호점||72037|서울시 마포구 서교동 337-2|카페|카페,베이커리|커피프린스1호점|레드테이블
삼거리포차|삼거리포차||72855|서울시 마포구 서교동 361-12|주점|전통주점,포장마차,일반주점|삼거리포차|레드테이블
옥상달빛|옥상달빛||71427|서울시 마포구 서교동 358-136|한식|닭/오리|옥상달빛|레드테이블
삼청동수제비|삼청동수제비||993|서울 종로구 삼청동 102|한식|면/만두|삼청동수제비|레드테이블
프리모바치오바치(명동점)|프리모바치오바치(명동점)||3637|서울 중구 충무로2가 66-5|양식|이탈리아식|프리모바치오바치(명동점)|레드테이블
초마|초마||1741|서울 마포구 서교동 361-10|중식|중식당|초마|레드테이블
마포나루|마포나루||707|서울 마포구 도화동 201-39|한식|닭/오리|마포나루|레드테이블
서가앤쿡(홍대점)|서가앤쿡(홍대점)||50607|서울 마포구 서교동 395-16|양식|이탈리아식|서가앤쿡(홍대점)|레드테이블
몽슈슈|몽슈슈||43679|서울시 강남구 압구정동 456 (현대백화점 지하1층)|카페|베이커리|몽슈슈|레드테이블
기다스시(한남점)|기다스시(한남점)||43624|서울 용산구 한남동 683-125|일식|스시/사시미|기다스시(한남점)|레드테이블
MACARON|MACARON||1835|서울 마포구 서교동 343-2|카페|베이커리|MACARON|레드테이블
미미네(홍대점)|미미네(홍대점)||13174|서울 마포구 서교동 404-29|한식|분식|미미네(홍대점)|레드테이블
패션5|패션5||7834|서울 용산구 한남동 729-74|카페|베이커리|패션5|레드테이블
부첼라|부첼라||97333|서울시 강남구 압구정동 429 B1|카페,양식|샌드위치/토스트,브런치카페,햄버거|부첼라|레드테이블
오율|오율||2033|서울 강남구 역삼동 820-9|양식|이탈리아식|오율|레드테이블
성수족발|성수족발||6882|서울 성동구 성수동2가 289-273|한식|족발/보쌈|성수족발|레드테이블
오마일(5마일)|오마일(5마일)||1539|서울 용산구 한남동 258|양식|이탈리아식|오마일(5마일)|레드테이블
북촌손만두|북촌손만두||7506|서울 종로구 관훈동 42-2|한식|면/만두|북촌손만두|레드테이블
고디바(가로수길점)|고디바(가로수길점)||44026|서울시 강남구 신사동 545-6|카페|베이커리|고디바(가로수길점)|레드테이블
먹쉬돈나|먹쉬돈나||979|서울 종로구 안국동 17-18|한식|분식|먹쉬돈나|레드테이블
테이스팅룸|테이스팅룸||1483|서울 용산구 한남동 744-29|양식|이탈리아식|테이스팅룸|레드테이블
하동관|하동관||874|서울 중구 명동 10-4|한식|설렁탕/곰탕|하동관|레드테이블
현선이네|현선이네||26557|서울 용산구 한강로2가 311-1|한식|분식|현선이네|레드테이블
반포식스|반포식스||25457|서울 서초구 잠원동 58-24 뉴타운빌딩 B1|양식|아시아식|반포식스|레드테이블
