##NAME|SUBNAME|TELNUM|ID|NEWADDR|ADDR|TYPE|ORGNAME|SOURCE2@@식신맛집
필경재|||255054|서울 강남구 광평로 205|서울특별시 강남구 수서동 739-1|한식|필경재|식신
정식당|||28566|서울 강남구 선릉로158길 11|서울특별시 강남구 청담동 83-24|한식|정식당|식신
새벽집/청담동점|||323|서울 강남구 도산대로101길 6|서울특별시 강남구 청담동 129-10|고기/구이류|새벽집 청담동점|식신
멜팅샵|||356354|서울특별시 강남구 압구정로46길 55 |서울특별시 강남구 신사동 647-19  |양식/레스토랑|멜팅샵|식신
밍글스|||350600|서울 강남구 도산대로67길 19|서울특별시 강남구 청담동 94-6|양식/레스토랑|밍글스|식신
리북집|||28432|서울 강남구 학동로2길 45|서울특별시 강남구 논현동 163-3|고기/구이류|리북집|식신
스시효/청담점|||341244|서울 강남구 선릉로146길 25|서울특별시 강남구 청담동 21-16|일식/중식/세계음식|스시효 청담점|식신
경천애인2237|||355231|서울 강남구 테헤란로 421|서울특별시 강남구 삼성동 142-46|고기/구이류|경천애인2237|식신
진주집|||16924|서울특별시 영등포구 국제금융로6길 33 |서울특별시 영등포구 여의도동 36-2|한식|진주집|식신
목포집|||242539|서울 강남구 강남대로152길 24|서울특별시 강남구 신사동 514-3|고기/구이류|목포집|식신
벽제갈비/방이본점|||148199|서울특별시 송파구 양재대로71길 1-4|서울특별시 송파구 방이동 205-8|고기/구이류|벽제갈비 방이본점|식신
스와니예|||348908|서울 서초구 반포대로39길 46|서울특별시 서초구 반포동 549-17|양식/레스토랑|스와니예|식신
스시선수|||242493|서울특별시 강남구 도산대로45길 6|서울특별시 강남구 신사동 651-16|일식/중식/세계음식|스시선수|식신
원조호수삼계탕|||3033|서울 영등포구 도림로 274-1|서울특별시 영등포구 신길동 342-325|고기/구이류|원조호수삼계탕|식신
주|||255570|서울특별시 서초구 동광로19길 16 |서울특별시 서초구 방배동 795-5|일식/중식/세계음식|주|식신
팔레드고몽|||96766|서울 강남구 도산대로81길 21|서울특별시 강남구 청담동 118-10|양식/레스토랑|팔레드고몽|식신
권숙수|||363138|서울 강남구 압구정로80길 37|서울특별시 강남구 청담동 92-18|한식|권숙수|식신
송죽장|||252939|서울 영등포구 영중로 21|서울특별시 영등포구 영등포동4가 55|일식/중식/세계음식|송죽장|식신
랩24|||245400|서울 강남구 압구정로42길 23|서울특별시 강남구 신사동 643-1|양식/레스토랑|랩24|식신
원강|||101542|서울특별시 강남구 학동로6길 16 |서울특별시 강남구 논현동 122-18  |고기/구이류|원강|식신
류니끄|||359292|서울 강남구 강남대로162길 40|서울특별시 강남구 신사동 520-1|양식/레스토랑|류니끄|식신
톡톡|||315233|서울특별시 강남구 도산대로51길 33 |서울특별시 강남구 신사동 656-6  |양식/레스토랑|톡톡|식신
봉피양/방이점|||148202|서울 송파구 양재대로71길 1-4|서울특별시 송파구 방이동 205|고기/구이류|봉피양 방이점|식신
리스토란테/에오|||5998|서울특별시 강남구 도산대로75길 15 |서울특별시 강남구 청담동 96-22|양식/레스토랑|리스토란테 에오|식신
평양면옥|||132786|서울특별시 강남구 논현로150길 6 |서울특별시 강남구 논현동 66-2  |한식|평양면옥|식신
미/피아체|||349263|서울특별시 강남구 압구정로80길 19-2|서울특별시 강남구 청담동 97-22|양식/레스토랑|미 피아체|식신
보나세라|||240985|서울 강남구 도산대로45길 18-2|서울특별시 강남구 신사동 650-1|양식/레스토랑|보나세라|식신
STAY/시그니엘서울|||479753|서울 송파구 올림픽로 300|서울특별시 송파구 신천동 29|양식/레스토랑|STAY 시그니엘서울|식신
송쉐프|||481838|서울특별시 강남구 도산대로1길 40 |서울특별시 강남구 신사동 507-11  |일식/중식/세계음식|송쉐프|식신
스시코우지|||359733|서울특별시 강남구 도산대로 404|서울특별시 강남구 청담동 1-1|일식/중식/세계음식|스시코우지|식신
몽고네/신사점|||369479|서울특별시 강남구 선릉로155길 5 |서울특별시 강남구 신사동 665-10 |양식/레스토랑|몽고네 신사점|식신
도사/바이/백승욱|||370013|서울 강남구 도산대로67길 7|서울특별시 강남구 청담동 92-12|양식/레스토랑|도사 바이 백승욱|식신
모퉁이우/Restaurant/RIPE|||1062467|서울 강남구 영동대로96길 26|서울특별시 강남구 삼성동 169-8|한식|모퉁이우 Restaurant RIPE|식신
알라프리마|||367118|서울 강남구 학동로17길 13|서울특별시 강남구 논현동 42-6|양식/레스토랑|알라프리마|식신
미즈컨테이너/강남/웨스트|||25472|서울 서초구 서초대로73길 9|서울특별시 서초구 서초동 1316-29|양식/레스토랑|미즈컨테이너 강남 웨스트|식신
봉피양/서초점|||8828|서울특별시 서초구 강남대로53길 11|서울특별시 서초구 서초동 1330|한식|봉피양 서초점|식신
바이킹스워프/롯데월드몰점|||357458|서울 송파구 올림픽로 300|서울특별시 송파구 신천동 29|양식/레스토랑|바이킹스워프 롯데월드몰점|식신
쉐이크쉑/강남점|||370470|서울 강남구 강남대로 452|서울특별시 강남구 역삼동 809-13|양식/레스토랑|쉐이크쉑 강남점|식신
강남교자본점|||56310|서울 서초구 강남대로69길 11|서울특별시 서초구 서초동 1308-1|한식|강남교자본점|식신
카페마마스/강남역점|||255991|서울특별시 서초구 서운로 138|서울특별시 서초구 서초동 1321-6|카페/디저트|카페마마스 강남역점|식신
딘타이펑/강남역점|||90079|서울특별시 서초구 서초대로73길 12 세계빌|서울특별시 서초구 서초동 1317-31|일식/중식/세계음식|딘타이펑 강남역점|식신
도치피자/강남점|||343390|서울 강남구 강남대로98길 27|서울특별시 강남구 역삼동 620-17|양식/레스토랑|도치피자 강남점|식신
마초쉐프/강남역점|||357780|서울특별시 강남구 강남대로98길 16|서울특별시 강남구 역삼동 817-35|양식/레스토랑|마초쉐프 강남역점|식신
을밀대/강남점|||131945|서울특별시 강남구 테헤란로4길 46|서울특별시 강남구 역삼동 826-37|한식|을밀대 강남점|식신
토끼정/강남점|||355422|서울 강남구 봉은사로6길 32|서울특별시 강남구 역삼동 812-5|일식/중식/세계음식|토끼정 강남점|식신
쟝블랑제리|||342696|서울 관악구 낙성대역길 8|서울특별시 관악구 봉천동 1660-7|카페/디저트|쟝블랑제리|식신
시골야채된장|||36923|서울특별시 서초구 강남대로69길 11|서울특별시 서초구 서초동 1308-1|한식|시골야채된장|식신
이춘복참치|||333683|서울특별시 서초구 강남대로 475 |서울특별시 서초구 반포동 748-12  |일식/중식/세계음식|이춘복참치|식신
구스테이크528|||245670|서울 강남구 압구정로 108|서울특별시 강남구 신사동 528-3|양식/레스토랑|구스테이크528|식신
