##NAME|SUBNAME|TELNUM|ADDR|FEAT|SOURCE2@@고캠핑
지리산/숲속의/쉼터||010-9926-2017|경상남도 산청군 시천면 세석길 195-15|전기;온수;물놀이장;놀이터;운동시설|한국관광공사
화양/원탑캠핑장|||충청북도 괴산군 청천면 화양로 834-9  괴산 원탑오토캠핑장|전기;와이파이;장작판매;온수;놀이터;운동시설|한국관광공사
동의보감촌/숲속글램핑/(구/한방자연휴양림)||055-972-9778|경남 산청군 금서면 동의보감로555번길 167-23|전기;와이파이;온수;물놀이장;산책로;운동장;마트.편의점|한국관광공사
청포대비치캠핑장||010-6606-0222|충청남도 태안군 남면 원청리 512-80||한국관광공사
캠프/안단테|||경북 청도군 청도읍 청매로 281-1|전기;와이파이;장작판매;온수;트렘폴린;물놀이장;마트.편의점|한국관광공사
캠프ing/오토캠핑장|||경상북도 경주시 강동면 호명큰골길 47  캠프 ING|전기;와이파이;장작판매;온수;물놀이장;놀이터;산책로;운동장;운동시설;마트.편의점|한국관광공사
비토애||010-4138-8217|경남 사천시 서포면 토끼로 234||한국관광공사
다릿재농원캠핑장|||충청북도 충주시 산척면 송강리  765-4|전기;장작판매;온수;트렘폴린;물놀이장;놀이터;운동시설|한국관광공사
메사캠핑장||010-3382-7629|경기도 포천시 이동면 도평리 498-1  등 8필지|전기;와이파이;온수;마트.편의점|한국관광공사
메타파크||010-3625-9457|전남 담양군 금성면 금성산성길 260 40-2|전기;와이파이;장작판매;온수;트렘폴린;물놀이장;놀이터;운동시설|한국관광공사
숲이조아/오토캠핑장|||경상북도 문경시 농암면 율수리  296-4|전기;온수;물놀이장;산책로;운동시설;마트.편의점|한국관광공사
숲속의/팜핑||061-372-5955|전라남도 화순군 북면 백아로 25-48|전기;와이파이;장작판매;온수;놀이터;산책로;운동장;운동시설|한국관광공사
워렉스야영장||061-373-4506|전라남도 화순군 한천면 죽헌로 376-37|전기;와이파이;장작판매;온수;물놀이장;놀이터;산책로;운동장;운동시설|한국관광공사
한천/자연휴양림||061-379-3736|전라남도 화순군 한천면 죽헌로 719|전기;온수;트렘폴린;놀이터;산책로|한국관광공사
백양사/가인야영장||061-393-3088|전라남도 장성군 북하면 약수리 108|전기;놀이터|한국관광공사
오투스토리||061-813-2222|전라남도 장성군 황룡면 홍길동로 271(아곡리 46-1)  오투스토리|전기;장작판매;온수;운동시설|한국관광공사
휴파크/오토캠핑장||061-394-6777|전라남도 장성군 황룡면 아곡리 293-4|전기;장작판매;온수;물놀이장;놀이터;산책로;운동시설|한국관광공사
월성/산아래/글램핑||061-392-6307|전라남도 장성군 북하면 월성안길16-33|운동시설|한국관광공사
한실관광농원/야영장||061-393-7951|전라남도 장성군 삼서면 대곡한실길 68-17|전기;장작판매;온수;물놀이장;놀이터;산책로;운동시설;마트.편의점|한국관광공사
홍길동테마파크/야영장||061-394-7242|전라남도 장성군 황룡면 홍길동로 431  홍길동테마파크 야영장|전기;와이파이;온수;놀이터;산책로|한국관광공사
북상휴양관/빨간자전거/캠핑장||061-394-0000|전라남도 장성군 백양로 447-0  북상휴양관 빨간자전거 캠핑장|전기;와이파이;장작판매;온수;트렘폴린;물놀이장;놀이터;산책로;운동장;운동시설|한국관광공사
편백힐(치유의숲)야영장||010-3236-3001|전라남도 장성군 북하면 하남실길 212|전기;와이파이;장작판매;온수;놀이터;운동시설|한국관광공사
애플/글램핑|||전라남도 장성군 담장로 1279-0  애플 글램핑|장작판매;트렘폴린;물놀이장;산책로;운동시설|한국관광공사
들음카라반/캠핑장|||전라남도 장성군 북하면 가인길 59-9|전기;와이파이;장작판매;온수|한국관광공사
옛서당캠핑농원|||전라남도 장성군 삼계면 화산길 1  옛서당캠핑농원|전기;장작판매;온수;물놀이장;놀이터;산책로;운동장;운동시설;마트.편의점|한국관광공사
라온/글램핑||070-4273-4002|전라남도 장성군 북하면 월성리  811-2|전기;와이파이;장작판매;물놀이장;놀이터|한국관광공사
국립천관산자연휴양림||061-867-6974|전라남도 장흥군 관산읍 칠관로 842-1150  국립천관산자연휴양림|온수;놀이터|한국관광공사
농업회사법인(주)/하늘빛수목원||061-862-2000|전남 장흥군 용산면 장흥대로 2746|전기;와이파이;온수;트렘폴린;물놀이장;놀이터|한국관광공사
유치/자연휴양림||061-863-6350|전라남도 장흥군 유치면 휴양림길 154  유치 자연휴양림|전기;장작판매;온수;물놀이장;놀이터;산책로;운동시설|한국관광공사
(주)연합진흥/경도/글램핑파크||010-2114-7474|전라남도 여수시 경호동 대경도길 143-19|전기;와이파이;장작판매;온수;물놀이장;놀이터;산책로;운동장;운동시설|한국관광공사
여수굴전여가캠핑장||1588-3896-|전라남도 여수시 돌산읍 돌산로 3017-15  여수굴전여가캠핑장|전기;놀이터;산책로;운동장|한국관광공사
여수/밤바다/관광농원야영장|||전남 여수시 돌산읍 진모1길 29-38|전기;와이파이;장작판매;온수;물놀이장;산책로;운동장;마트.편의점|한국관광공사
금오도/야영장||061-666-6800|전라남도 여수시 대유길 36-2  금오도 야영장|전기;와이파이;장작판매;온수;물놀이장;놀이터;산책로;운동장;운동시설|한국관광공사
써니아일랜드/야영장||061-665-0066|전라남도 여수시 남면 금오로 1139  써니아일랜드 야영장|전기;와이파이;장작판매;온수;놀이터;운동시설;마트.편의점|한국관광공사
봉황산자연휴양림/야영장||061-643-9180|전라남도 여수시 돌산읍 신복리  산 391|전기;온수;놀이터|한국관광공사
The/Star/오토캠핑장||061-641-1490|전남 여수시 돌산읍 상하동길 268|전기;와이파이;장작판매;온수;물놀이장;놀이터;운동시설|한국관광공사
웅천친수공원/야영장||061-685-3314|전라남도 여수시 웅천동  1692|놀이터|한국관광공사
헤밍웨이/글램핑|||전라남도 여수시 망양로 301|전기;물놀이장;놀이터|한국관광공사
패밀리야영장|||전라북도 남원시 지리산로 823-0  패밀리야영장|전기;온수|한국관광공사
완주힐조타운/캠핑장/(구/아피오스빌리지)||063-1899-5852|전라북도 완주군 비봉면 봉산리  539-2|놀이터|한국관광공사
