##NAME|SUBNAME|TELNUM|ADDR|NEWADDR|XCOORD|YCOORD
하나로클럽|고양점|031-910-9100|경기 고양시 일산구 대화동 2324|경기도 고양시 일산서구 대화로 362|126.747195|37.683732
하나로클럽|군위점|054-380-5500|경북 군위군 효령면 고곡리 438|경상북도 군위군 경북대로 2189|128.573812|36.118281
하나로클럽|김해점|055-310-7000|경남 김해시 장유면 신문리 48-13|경상남도 김해시 칠산로 128|128.834322|35.186429
하나로클럽|남악점|061-289-7700|전남 무안군 삼향읍 남악리 2107|전라남도 무안군 삼향읍 후광대로 264|126.463184|34.807811
하나로클럽|달성점|053-607-2000|대구 달성군 화원읍 설화리 555|대구광역시 달성군 비슬로495길 21|128.488744|35.800826
하나로클럽|대구점|053-355-6311|대구 북구 침산3동 430-4|대구광역시 북구 침산남로 80|128.584828|35.889043
하나로클럽|대전점|042-580-5000|대전 중구 안영동 703|대전광역시 중구 대둔산로199번길 43|127.376817|36.282635
하나로클럽|목동점|02-6678-9650|서울 양천구 목1동 917-6 행복한세상백화점 지하1층|서울특별시 양천구 목동동로 309|126.876076|37.529209
하나로클럽|목포점|061-280-6000|전남 목포시 석현동 247|전라남도 목포시 선곡로 33|126.429451|34.819363
하나로클럽|부산점|051-330-9000|부산 북구 금곡동 1874-3|부산광역시 북구 금곡대로 469|129.011395|35.250042
하나로클럽|부전점|051-801-9000|부산 부산진구 부전동 53번지|부산광역시 부산진구 중앙대로783번길 14|129.062431|35.162839
하나로클럽|분평점|043-280-0070|충북 청주시 흥덕구 분평동 1387 호인센트럴존B/D 1층|충청북도 청주시 흥덕구 분평로 26|127.488317|36.607791
하나로클럽|사직점|051-506-4100|부산 동래구 사직2동 43-9|부산광역시 동래구 사직로70번길 56|129.057633|35.197904
하나로클럽|서대문점|02-2080-6993|서울 중구 충정로1가 75번지 농업중앙회신관건물 지하1층|서울특별시 중구 새문안로 16|126.967354|37.565859
하나로클럽|성남점|031-738-9000|경기 성남시 분당구 구미동 174|경기도 성남시 분당구 성남대로43번길 11|127.106741|37.338888
하나로클럽|성서점|053-521-5100|대구 달서구 용산동 268-3|대구광역시 달서구 용산로 147|128.530159|35.850983
하나로클럽|수원점|031-299-9000|경기 수원시 권선구 구운동 218-1|경기도 수원시 권선구 서부로 1937|126.968088|37.282362
하나로클럽|아산원예농협|041-538-5000|충남 아산시 방축동  101-4번지||126.986191|36.784329
하나로클럽|양재점|02-3498-1000|서울 서초구 양재동 230|서울특별시 서초구 청계산로 10|127.043593|37.463635
하나로클럽|옥동점|052-228-8900|울산 남구 신정동 1631번지|울산광역시 남구 동산로82번길 5-2|129.305053|35.535484
하나로클럽|용산점|02-2077-2800|서울 용산구 한강로2가 15-19|서울특별시 용산구 청파로 122|126.964917|37.533324
하나로클럽|용호점|051-621-3200|부산 남구 용호동 541-18|부산광역시 남구 용호로 228|129.110574|35.111872
하나로클럽|울산점|052-210-8800|울산 북구 진장동 282-1|울산광역시 북구 진장유통로 90|129.356687|35.568452
하나로클럽|원주원예농협|033-749-8888|강원 원주시 단계동 803-2|강원 원주시 무실로 182|127.938601|37.340877
하나로클럽|자갈치점|051-250-7700|부산 중구 남포동6가 1|부산광역시 중구 구덕로 73|129.028136|35.097568
하나로클럽|전주점|063-210-4545|전북 전주시 덕진구 여의동 850|전라북도 전주시 덕진구 비석날로 20|127.081236|35.851655
하나로클럽|주례점|051-325-8585|부산 사상구 주례2동 55-139번지|부산광역시 사상구 냉정로 120|129.002470|35.150136
하나로클럽|창동점|02-3499-6000|서울 도봉구 창1동 1-10|서울특별시 도봉구 마들로11길 20|127.051662|37.654933
하나로클럽|창원점|055-265-8088|경남 창원시 의창구 봉곡동 40|경상남도 창원시 의창구 지귀로12번길 31|128.652291|35.243219
하나로클럽|청주점|043-290-0114|충북 청주시 상당구 방서동 118|충청북도 청주시 상당구 무농정로 32|127.507370|36.604780
하나로클럽|파주점|031-943-9595|경기 파주시 조리읍 장곡리 463-5|경기도 파주시 통일로 53|126.835441|37.731132
하나로클럽|포항점|054-230-8061|경북 포항시 북구 양덕동 1473|경상북도 포항시 북구 양덕동 장량로 171번지|129.387786|36.072966
