##NAME|SUBNAME|ID|TELNUM|ADDR|NEWADDR|ETCADDR|MTYPE|XCOORD|YCOORD@@LF아울렛
LF|현대아울렛대구점TNGT|1399954|053-430-2306|대구 동구 신천동 294-5|대구 동구 동대구로 454|대백아울렛 5층|아울렛|128.6265078|35.8708269
LF|현대아울렛대구/블루라운지|1428622|053-430-2301|대구 동구 신천동 294-5|대구 동구 동대구로 454|5층|아울렛||
LF|현대아울렛/대구TNGT|1433400||대구 동구 신천동 294-5|대구 동구 동대구로 454|5층|아울렛||
LF|현대시티아울렛동대문ML|52558|02-2283-2640|서울 중구 을지로6가 17-2|서울 중구 장충단로13길 20|현대시티타워 6F|아울렛||
LF|현대송파마에스트로|4628|02-2673-2445|서울특별시 송파구 문정동 634 가든파이브라이프|서울특별시 송파구 충민로 66|(문정동, 가든파이브라이프)|아울렛|127.1250988|37.4775519
LF|현대송도아울렛이자벨마랑|4113|032-727-2148|인천광역시 연수구 송도동 168-1 현대프리미엄 아울렛 송도점|인천광역시 연수구 송도국제대로 123|(송도동, 현대프리미엄 아울렛 송도점) 1층|아울렛|126.6585646|37.3823849
LF|현대송도아울렛/라움|4112|032-727-2248|인천광역시 연수구 송도동 168-1 현대프리미엄 아울렛 송도점|인천광역시 연수구 송도국제대로 123|(송도동, 현대프리미엄 아울렛 송도점)|아울렛|126.6585646|37.3823849
LF|현대김포아웃렛/라움에디션|4493|031-8048-2126|경기도 김포시 고촌읍 전호리 654 현대프리미엄아울렛|경기도 김포시 아라육로152번길 100|(고촌읍, 현대프리미엄아울렛)|아울렛|126.7856904|37.5994685
LF|현대김포아울렛/앳코너|783592||경기 김포시 고촌읍 전호리 654|경기 김포시 고촌읍 아라육로152번길 100|F동 1층 앳코너|아울렛||
LF|현대김포아울렛/레오나드|3938|031-8048-2208|경기도 김포시 고촌읍 전호리 654 현대프리미엄아울렛|경기도 김포시 아라육로152번길 100|(고촌읍, 현대프리미엄아울렛)|아울렛|126.7856904|37.5994685
LF|현대김포아울렛/라움|3931|031-8048-2126|경기도 김포시 고촌읍 전호리 654 현대프리미엄아울렛|경기도 김포시 아라육로152번길 100|(고촌읍, 현대프리미엄아울렛)|아울렛|126.7856904|37.5994685
LF|현대가산TNGT|1586296|02-2136-9870|서울 금천구 가산동 60-8|서울 금천구 디지털로10길 9|현대아울렛 가산점 4층|아울렛|126.889199|37.4776197
LF|행복한세상TNGT|1739192|02-6678-3348|서울 양천구 목동 917-6|서울 양천구 목동동로 309|행복한세상백화점 3층|아울렛|126.8760174|37.5291398
LF|파주프리미엄아울렛/라움|4712|031-8071-7174|경기도 파주시 탄현면 법흥리 1790-8 파주프리미엄아울렛|경기도 파주시 필승로 200|(탄현면, 파주프리미엄아울렛)|아울렛|126.6962603|37.7694427
LF|코엑스TNGT|1581518|02-551-1577|서울 강남구 삼성동 159|서울 강남구 영동대로 513|코엑스몰 F102|아울렛|127.0592041|37.5117731
LF|춘천M/TNGT|1576740|033-255-1543|강원 춘천시 조양동 34|강원 춘천시 금강로 68-3|M백화점 1층|아울렛|127.7287065|37.8789373
LF|청주IC아울렛|1069|043-234-7283|충청북도 청주시 흥덕구 석소동 184-1|충청북도 청주시 흥덕구 가로수로 692-6|(석소동)|아울렛|127.3764009|36.6222216
LF|청원아울렛|2492|043-285-4500|충북 청주시 서원구 남이면 수대리 23-5|충북 청주시 서원구 남이면 수대1길 7| |아울렛|127.4537235|36.5751256
LF|천안모다아울렛TNGT|1571962|041-904-6946|충남 천안시 서북구 불당동 1289|충남 천안시 서북구 공원로 196|펜타포트 2층|아울렛|127.1014325|36.7984465
LF|진주정촌/질스포츠|4701|055-753-5756|경상남도 진주시 정촌면 예하리 1277-13|경상남도 진주시 삼일로105번길 19|(정촌면)|아울렛|128.0986663|35.1309018
LF|제주도남종합아울렛|4046|064-726-1972|제주특별자치도 제주시 도남동 1035|제주특별자치도 제주시 연삼로 265|(도남동)|아울렛|126.5208299|33.4924768
LF|전주효자아울렛|2489|063-222-0080|전북 전주시 완산구 효자동1가 549-8|전라북도 전주시 완산구 백제대로 139|(효자동1가)|아울렛|127.1230474|35.8052525
LF|일산마두아울렛|2568|031-932-7017|경기 고양시 일산동구 장항동 896|경기도 고양시 일산동구 중앙로 1167|(장항동)|아울렛|126.7778579|37.6510414
