##NAME|SUBNAME|TELNUM|ADDR|NEWADDR|OT|OFFDATE|SUBSTORE@@롯데마트
롯데마트|강변점|02-3424-2500|서울 광진구 구의3동 546|서울특별시 광진구 광나루로 56길 85|10:00~23:00|매월 둘째, 넷째주 일요일 (  06/09, 06/23 )|롯데리아;레드페이스,임페리얼,콜핑;LG화장품,네이처리퍼블릭,더페이스샵,비욘드,아모레퍼시픽;중앙안경;월드크린;보네스뻬;도와드리겠습니다;정관장
롯데마트|구로점|02-2639-2500|서울특별시 구로구 구로동 636-89|서울특별시 구로구 경인로 482|10:00~23:00|매월 둘째, 넷째주 일요일 (  06/09, 06/23 )|하이마트;키덜트매니아,토이저러스;문화센터;바운스트램폴린파크;FOODHOUSE,두끼떡볶이,롯데리아,명동칼국수;EDIYA,오가다;It-Street,T.E,리틀밥독,씨크엠,알퐁소,앤소니,에스콰이어아울렛,일루프,제너럴리퍼블릭(남성복SPA),해피랜드;LG(수려한,이자녹스),네이처리퍼블릭,데페이스샵,비욘드,아모레,이니스프리;네일샵(네일아트);박승철헤어스튜디오
롯데마트|김포공항점|02-6124-2500|서울 강서구 방화동 886|서울시 강서구 하늘길 38|10:00~23:00|매월 둘째, 넷째주 일요일 (  06/09, 06/23 )|애플샵,하이마트;토이저러스;바르다김선생,죠스떡볶이,천포면당;더벤티;ASKOS,RILARILA,댑코리아,디어베이비,쌤쏘나이트,알로앤루,엔플러스,엘칸토,일루프,트윈키즈;LG화장품,더샘,더페이스샵,비욘드,아모레,이니스프리;펫가든애견미용/호텔;스카이약국;시호비전;스마트자전거
롯데마트|삼양점|02-2248-2500|서울 강북구 미아동 1359|서울특별시 강북구 삼양로 247|10:00~23:00|매월 둘째, 넷째주 일요일 (  06/09, 06/23 )|하이마트;롯데리아;씨저스,알퐁소,예쎄,제임스딘;LG화장품,더페이스샵,잇츠스킨;이철헤어커커;대지약국;미래소아청소년과의원;블링블링스팀세차;안경매니져;보네스뻬
롯데마트|서울역점|02-390-2500|서울 중구 봉래동2가 122|서울 중구 청파로 426 |10:00~24:00|매월 둘째, 넷째주 일요일 (  06/09, 06/23 )|하이마트;서울역푸드코트칙칙쿡쿡;K-SWISS,디어베이비(유아),런던포그(남성의류),레드페이스(스포츠),로또(스포츠),르까프,마운티아(스포츠),모노블랙(아동),모이몰론,무인양품(금,토10:00~23:00),브랑누아(슈즈),블랙팩토리(POP-UPStore),수비비안(언더웨어),슈마커(스포츠),아메리칸투어리스트(잡화),에어워크(아동),오스틴리드(남성의류),유니클로,잼플라워(귀금속),제임스딘(언더웨어),콜핑,탑텐,트레몰로(남성의류),프로스펙스(스포츠),해피랜드(유아),행텐키즈(아동),휠라티바(언더웨어);LG화장품(이자녹스,수려한수),네이쳐리퍼블릭,더샘,더페이스샵,미샤,비욘드,아모레퍼시픽(아이오페,마몽드),이니스프리,토니모리;골드네일(철도청);약국(한화역사);GS칼텍스경정비(한화역사);노아안경점(철도청);(주)월드크린(한화역사);한국후지필름사진관(철도청)
롯데마트|송파점|02-2295-2500|서울 송파구 문정동 150-2|서울 송파구 중대로 80 |10:00~23:00|매월 둘째, 넷째주 일요일 (  06/09, 06/23 )|하이마트,하이마트;문화센터;기소야,두레,포원(베트남쌀국수);씨엔모아;롯데리아;엔제리너스;크리스피크림도너츠;MUJI(무인양품),N+키즈,PAT,STCO,UGIZ,WATCHPARK,기어엑스,꼼빠니아,데스틸,디어베이비,라임,라티움,런던포그,레노마(셔츠),레드페이스,로또,리스트,리틀밥독,마리끌레르,모이몰른,수비비안,쉬즈미스,스켈리도필라테스,아레나,아메리칸투어리스트,애녹,에스콰이어,엘칸토,올포유,이헌영,임페리얼,제니아(구두),조이앤마리오,지센,체이스컬트,칼라풀,캐리스노트,캠브리지코오롱,크로커다일레이디,클라이드,투스카로라,팜스프링,프리미에팜,행텐주니어,허시파피,휠라티바;네이쳐리퍼블릭,더바디샵,더샘,더페이스샵,미샤,스킨푸드,아모레(아이오페,마몽드,한율),엘지화장품,올리브영,이니스프리;박준뷰티랩
롯데마트|잠실점|02-411-8025|서울 송파구 잠실동 40-1|서울 송파구 올림픽로 240 롯데마트 잠실점|10:00~23:00|매월 둘째, 넷째주 일요일 (  06/09, 06/23 )|하이마트;토이저러스;키즈카페;히코코;AMERICANTOURISTER,Ansony,CLRIDE.N,GSGM(체이스컬트등),N+,NII,PAT,SPASSO(스파소),STCO,TE,TREMOLO(트레몰로),UGIZ,emc학생복,秀비비안,갭키즈,니콜밀러,더셔츠스튜디오,런던포그,리트머스,릴라릴라,명품샵(라프리마),무인양품(무지),뱅뱅,브랑누아(주띠),빌트모아,수영복,에드혹,에스콰이아,엘칸토,엠할리데이,유니크에디션,유니클로,인터클루,잠뱅이,제너럴리퍼블릭(파크랜드),제임스딘,크로커다일레이디,타임존(시계),탑텐,프로메이드,프리미에팜,피가로명품시계,행텐;It'SSKIN,LG화장품(수려한,이자녹스,케어존),네이쳐리퍼블릭,더샘,더페이스샵,미샤,비욘드,아모레(마몽드/아이오페/한율),엔프라니/홀리카홀리카,올리브영,이니스프리,토니모리;가인치과(병원사정에따라영업시간변동),연피부과(병원사정에따라영업시간변동),홍지희내과(병원사정에따라영업시간변동),휴아이안과(병원사정에따라영업시간변동);아이프리안경;블럭버스;롯데JTB여행사
롯데마트|서초점|02-918-2500|서울 서초구 서초동 1498-5|서울 서초구 서초대로 38길12 |10:00~23:00|매월 둘째, 넷째주 일요일 (  06/09, 06/23 )|폴바셋;무인양품,보나핏〔언더/이너웨어〕,슈즈멀티샵;네이처리퍼블릭,미샤,에이프릴스킨,이니스프리,토니모리;약국;스톤오븐39[베이커리];교환/환불/유모차대여/스마트픽업;물품보관소;유아휴게실;근거리무료배송(서초동,방배동,반포동);애완용품매장,토이박스〔완구〕
롯데마트|중계점|02-2092-2500|서울 노원구 중계동 361|서울 노원구 노원로 330 |10:00~23:00|매월 둘째, 넷째주 일요일 (  06/09, 06/23 )|하이마트;장난감;문화센터;키즈카페;스무디킹,푸드코트;바르미샤브샤브n칼국수;롯데리아,퀴즈노스서브;카페더테이블해리스;AIRWALK(수영복),JCB,댑코리아,더시크엠,모노블랙,소이,아메리카투어리스트,야나기,워치파크(시계),유니클로,제임스딘,준보석젬플라워,탈렌트키즈,파크랜드;LG비욘드,LG화장품,네이처리퍼블릭,더페이스샵,아모레퍼시픽,올리브영,토니모리
롯데마트|청량리점|02-3298-2500|서울 동대문구 전농동 591-53|서울 동대문구 왕산로 214 |10:00~23:00|매월 둘째, 넷째주 일요일 (  06/09, 06/23 )|가전제품;완구;ABC마트,디어베이비,리틀밥독,모노블랙,바니플랫,알로앤루,잇스트리트(It.street),테(TE);LG,네이처리퍼블릭,더페이스샵,스킨푸드,아모레퍼시픽,잇츠스킨;뚜레쥬르;도와드리겠습니다;유아휴게실;롯데멤버스센터;후지필름;해빗
