##NAME|SUBNAME|TELNUM|NEWADDR|FEAT|MTYPE@@NC아울렛
뉴코아아울렛|강남점|02-530-5000|서울 서초구 잠원로 51 (잠원동,뉴코아백화점)|킴스클럽|아울렛
2001아울렛|구로점|02-2064-2001|서울특별시 구로구 중앙로 1길 36||아울렛
2001아울렛|중계점|02-948-2001|서울시 노원구 동일로204가길 46(중계동) 2001아울렛중계점|킴스클럽|아울렛
2001아울렛|천호점|02-426-2001|서울특별시 강동구 구천면로 189|킴스클럽|아울렛
NC뉴코아몰|강서점|02-2667-9000|서울 강서구 강서로56길 17 NC백화점 강서점 (등촌동)||아울렛
NC뉴코아몰|구로점(준비중)|준비중|서울특별시 구로구 구로중앙로 152||아울렛
NC뉴코아몰|불광점|02-3417-2001|서울특별시은평구 불광로 20||아울렛
NC뉴코아몰|송파점|02-2157-5000|서울시 송파구 충민로 66||아울렛
뉴코아아울렛|광명점|02-3397-2500|경기 광명시 하안로287번길 8 (하안동,뉴코아아울렛)|킴스클럽|아울렛
뉴코아아울렛|동수원점|031-231-6000|경기도 수원시 팔달구 인계로 154|킴스클럽|아울렛
뉴코아아울렛|모란점|031-729-1500|경기도 성남시 중원구 성남대로 1136||아울렛
뉴코아아울렛|부천점|032-624-6000|경기도 부천시 송내대로 239|킴스클럽|아울렛
뉴코아아울렛|산본점|031-390-5000|경기도 군포시 번영로 504|킴스클럽|아울렛
뉴코아아울렛|안산점|031-8040-8500|경기도 안산시 단원구 당곡로 20||아울렛
뉴코아아울렛|인천논현점|032-454-8000|인천광역시 남동구 청능대로 596 푸르지오시티||아울렛
뉴코아아울렛|인천점|032-430-5000|인천광역시 남동구 인하로 485|킴스클럽|아울렛
뉴코아아울렛|평촌점|031-380-7777|경기도 안양시 동안구 동안로 119|킴스클럽|아울렛
뉴코아아울렛|평택점|031-650-6000|경기도 평택시 경기대로 279|킴스클럽|아울렛
뉴코아아울렛|일산점|031-900-5000|경기도 고양시 일산동구 중앙로 1206|킴스클럽|아울렛
2001아울렛|철산점|02-2681-2001|경기도 광명시 철산로 4|킴스클럽|아울렛
2001아울렛|부평점|032-573-2001|인천 부평구 경원대로 1277 (산곡동)|킴스클럽|아울렛
2001아울렛|수원점|031-227-2001|경기도 수원시 팔달구 중부대로 34번길 15|킴스클럽|아울렛
2001아울렛|안양점|031-449-2001|경기도 안양시 만안구 안양로 275|킴스클럽|아울렛
2001아울렛|분당점|031-786-2001|경기도 성남시 분당구 미금일로 154번길 20|킴스클럽|아울렛
NC뉴코아몰|고잔점|031-405-2001|경기도 안산시 단원구 광덕대로 194||아울렛
NC뉴코아몰|야탑점|031-780-3000|경기도 성남시 분당구 야탑로 81번길 11|킴스클럽|아울렛
NC뉴코아몰|큐브/커넬워크|032-723-6300|인천광역시 연수구 아트센터대로 87 커낼워크 D4||아울렛
NC뉴코아몰|수원터미널점|031-8065-3600|경기도 수원시 권선구 경수대로 270||아울렛
NC뉴코아몰|이천점|031-8010-8400|경기도 이천시 영창로 165||아울렛
뉴코아아울렛|괴정점|051-209-5000|부산광역시 사하구 사하로 190|킴스클럽|아울렛
뉴코아아울렛|덕천점|051-366-2000|부산광역시 북구 만덕대로 23||아울렛
뉴코아아울렛|울산성남점|052-210-5000|울산광역시 중구 시계탑거리 20||아울렛
뉴코아아울렛|창원점|055-270-7000|경남 창원시 의창구 창원대로 397번길 6||아울렛
뉴코아아울렛|울산점|052-228-5000|울산광역시 남구 삼산로 217||아울렛
NC뉴코아몰|광주역점|062-510-7000|광주광역시 북구 경열로 249||아울렛
NC뉴코아몰|중앙로역점|042-718-2400|대전광역시 중구 중앙로 141||아울렛
NC뉴코아몰|부산대점|051-509-7000|부산광역시 금정구 부산대학로 63번길 2|킴스클럽|아울렛
NC뉴코아몰|엑스코점|053-662-9000|대구광역시 북구 유통단지로14길 22 NC아울렛||아울렛
NC뉴코아몰|해운대점|051-862-2001|부산광역시 해운대구 해운대로 813||아울렛
NC뉴코아몰|전주점|063-710-5001|전라북도 전주시 완산구 전주객사5길 35||아울렛
NC뉴코아몰|충장점|062-718-9331~3|광주광역시 동구 중앙로 163||아울렛
NC뉴코아몰|순천점|061-720-5000|전남 순천시 비봉2길 22|킴스클럽|아울렛
NC뉴코아몰|서면점|051-794-7000|부산광역시 부산진구 동천로 92(디씨티) NC서면점|킴스클럽|아울렛
NC뉴코아몰|경산점|053-718-3500|경상북도 경산시 중앙로 39NC아울렛 경산점||아울렛
NC뉴코아몰|청주점|043-716-6000|충북 청주시 흥덕구 2순환로 1233 NC청주점 (가경동,드림플러스)||아울렛
동아아울렛|쇼핑점|1577-0111|대구광역시 중구 달구벌대로 2085 동아백화점쇼핑점|킴스클럽|아울렛
동아아울렛|수성점|1577-0111|대구 수성구 지범로 191||아울렛
동아아울렛|구미점|054-459-0221|경북 구미시 송원동로 28|킴스클럽|아울렛
동아아울렛|본점|053-429-4385|대구광역시 중구 경상감영길 171 동아아울렛본점||아울렛
동아아울렛|강북점|053-320-3300|대구 북구 칠곡중앙대로 416|킴스클럽|아울렛
동아아울렛|마트수성점|053-754-2122|대구광역시 수성구 수성로 393||아울렛
