##NAME|SUBNAME|ID|TELNUM|NEWADDR|OWNER|SOURCE2@@회계사
가교회계법인||제187호|569-9808|서울특별시 강남구 삼성로95길 6,4층(삼성동,삼혜빌딩) (우편번호 06157)|강효식|한국공인회계사회
가립회계법인||제103호|501-1202|서울특별시 강남구 강남대로 542,7층(논현동,영풍빌딩) (우편번호 06110)|박개성|한국공인회계사회
가립회계법인|분사무소|제103호|053-603-6300/9|대구광역시 중구 동덕로 61,3층(대봉동,선모빌딩) (우편번호 41954)|박개성|한국공인회계사회
가립회계법인|분실|제103호|501-1849|서울특별시 강남구 역삼로 112,4층(역삼동,밀브리지홀) (우편번호 06252)|박개성|한국공인회계사회
가율회계법인||제194호|3444-3912|서울특별시 강남구 역삼로7길 11,4층(역삼동,조선빌딩) (우편번호 06243)|고방선|한국공인회계사회
가율회계법인|분사무소|제194호|031-237-3079|경기도 화성시 효행로 1056,803호(병점동,탑프라자) (우편번호 18405)|고방선|한국공인회계사회
가율회계법인|분사무소|제194호|041-632-3598|충청남도 홍성군 홍성읍 법원로 19,4-5층(홍성읍,우일빌딩) (우편번호 32226)|고방선|한국공인회계사회
가율회계법인|분사무소|제194호|041-415-0110|충청남도 천안시 서북구 검은들1길 9(불당동,명품블라스타) , 명품블라스타 602호 (우편번호 31163)|고방선|한국공인회계사회
가은회계법인||제242호|555-4684|서울특별시 서초구 서초대로 253(서초동,지천빌딩) , 5층 (우편번호 06595)|최성문|한국공인회계사회
가은회계법인|분사무소|제242호|070-8797-7987|서울특별시 송파구 법원로11길 11,13층 1301호, 1302호(문정동,문정현대지식산업센터) (우편번호 05836)|최성문|한국공인회계사회
가은회계법인|분실|제242호|02-567-8252|서울특별시 강남구 논현로94길 30,3층(역삼동,효빌딩) (우편번호 06141)|최성문|한국공인회계사회
가현회계법인||제244호|6429-7000|서울특별시 강남구 언주로86길 5,12층(역삼동,육성빌딩) (우편번호 06210)|최승근|한국공인회계사회
건민회계법인||제243호|031-436-1114|경기도 군포시 고산로 166(당정동,SK 벤티움) , SK 벤티움 101동 321호 (우편번호 15850)|장문원|한국공인회계사회
건민회계법인|분실|제243호|070-7092-0511|경기도 부천시 원미구 중동로254번길 104,602호(중동,호정프라자) (우편번호 14548)|장문원|한국공인회계사회
건민회계법인|분사무소|제243호|041-522-3416|충청남도 천안시 동남구 버들로 123(원성동,버드타운) , 3층 (우편번호 31126)|장문원|한국공인회계사회
경신회계법인||제225호|053-721-7770|대구광역시 달서구 달구벌대로 1680(두류동,감삼빌딩) , 4층 (우편번호 42645)|안경준,구태우|한국공인회계사회
경신회계법인|분사무소|제225호|051-911-3080|부산광역시 해운대구 센텀서로 30,1708호(우동,KNN방송국빌딩) (우편번호 48058)|안경준,구태우|한국공인회계사회
경신회계법인|분실|제225호|053-526-3334|대구광역시 서구 통학로 53(내당동) , 4층 (우편번호 41861)|안경준,구태우|한국공인회계사회
광교회계법인||제159호|6952-0550|서울특별시 서초구 남부순환로 2145(방배동,대화빌딩) , 5층 (우편번호 06699)|하헌건,박정규,황용현|한국공인회계사회
광교회계법인|분사무소|제159호|2101-3777|서울특별시 구로구 경인로53길 15,A-407호,305-1호,1002-1(구로동,중앙유통단지업무) (우편번호 08217)|하헌건,박정규,황용현|한국공인회계사회
나래회계법인||제196호|859-5925|서울특별시 금천구 서부샛길 648,703호(가산동,대륭테크노타워6차) (우편번호 08504)|서민호|한국공인회계사회
나래회계법인|분사무소|제196호|465-6571|경기도 하남시 미사강변중앙로 157,2층 208-2호(망월동,리버테라스) (우편번호 12913)|서민호|한국공인회계사회
나래회계법인|분사무소|제196호|568-0460|서울특별시 금천구 가산디지털1로 196,1102호(가산동,에이스테크노타워10차) (우편번호 08502)|서민호|한국공인회계사회
나우회계법인||제221호|548-5211|서울특별시 강남구 학동로 158,5층(논현동,율암빌딩) (우편번호 06112)|고창로|한국공인회계사회
나우회계법인|분사무소|제221호|6713-0661|서울특별시 강남구 논현로 726(논현동,아령빌딩) , 3층 (우편번호 06051)|고창로|한국공인회계사회
남경회계법인||제227호|051-665-2000|부산광역시 부산진구 중앙대로 627,805호(범천동,삼비빌딩) (우편번호 47351)|양한수|한국공인회계사회
내일회계법인||제252호|051-710-1230|부산광역시 해운대구 센텀중앙로 78,1608호(우동,센텀그린타워) (우편번호 48059)|최규진,김대일|한국공인회계사회
내일회계법인|분사무소|제252호|051-715-0100|부산광역시 금정구 부곡로 140,4층(부곡동,금정프라자) (우편번호 46271)|최규진,김대일|한국공인회계사회
다산회계법인||제100호|531-7400|서울특별시 강남구 역삼로98길 23(대치동,일동빌딩) (우편번호 06188)|김석호,이기화|한국공인회계사회
다산회계법인|분실|제100호|531-7500|서울특별시 강남구 영동대로 333(대치동) , 동원빌딩 3층 (우편번호 06188)|김석호,이기화|한국공인회계사회
다율회계법인||제294호|543-9838|서울특별시 강남구 도산대로17길 4,4층(신사동,가림빌딩) (우편번호 06037)|이호현|한국공인회계사회
다율회계법인|분사무소|제294호|553-4371|서울특별시 강남구 논현로 503,18층 3호(역삼동,송촌빌딩) (우편번호 06132)|이호현|한국공인회계사회
다율회계법인|분사무소|제294호|6011-5511|서울특별시 동작구 시흥대로 602(신대방동,프레콘빌딩) , 604호 (우편번호 07074)|이호현|한국공인회계사회
다한회계법인||제241호|761-7296|서울특별시 영등포구 의사당대로1길 25,902호(여의도동,하남빌딩) (우편번호 07333)|황중순|한국공인회계사회
다한회계법인|분사무소|제241호|032-851-3350|인천광역시 연수구 컨벤시아대로 81,4층 430호(송도동,드림시티) (우편번호 21995)|황중순|한국공인회계사회
다한회계법인|분사무소|제241호|031-701-8886|경기도 성남시 분당구 성남대로 912,815호(야탑동,분당BYC빌딩) (우편번호 13506)|황중순|한국공인회계사회
다한회계법인|분사무소|제241호|847-7690|서울특별시 금천구 디지털로9길 32,B동 2001호,2002호(가산동) , 갑을그레이트밸리 (우편번호 08512)|황중순|한국공인회계사회
대경회계법인||제199호|053-256-2600|대구광역시 중구 동덕로 82,2-5층(대봉동,수경빌딩) (우편번호 41951)|이균발,손원조|한국공인회계사회
대경회계법인|분사무소|제199호|070-7430-7221|대구광역시 북구 노원로 77,501호(노원동3가,한국로봇산업진흥원 본관) (우편번호 41496)|이균발,손원조|한국공인회계사회
대교회계법인||제235호|031-233-0055|경기도 수원시 영통구 광교로 105,603호(이의동,경기알앤디비센터) (우편번호 16229)|김희호|한국공인회계사회
대명회계법인||제163호|2078-5500|서울특별시 영등포구 국제금융로6길 7,11층(여의도동,한양증권빌딩) (우편번호 07330)|안철희|한국공인회계사회
대성삼경회계법인||제111호|552-4611|서울특별시 강남구 영동대로 333(대치동,동원빌딩) , 2층 (우편번호 06188)|박광명|한국공인회계사회
대신회계법인||제191호|055-281-3296|경상남도 창원시 성산구 상남로 71,6층(상남동,창원코아) (우편번호 51504)|박용호|한국공인회계사회
대영회계법인||제208호|517-9755|서울특별시 강남구 테헤란로8길 41,1층(역삼동,뉴서울빌딩) (우편번호 06239)|신상규,김인상|한국공인회계사회
대영회계법인|분사무소|제208호|032-427-3210|인천광역시 남동구 호구포로 220,1103호(논현동,명진프라자빌딩) (우편번호 21655)|신상규,김인상|한국공인회계사회
대영회계법인|분사무소|제208호|6337-0864|서울특별시 영등포구 여의나루로 71,903호(여의도동,동화빌딩) (우편번호 07327)|신상규,김인상|한국공인회계사회
대주회계법인||제87호|568-7683/4|서울특별시 강남구 남부순환로 2913,3층(대치동,동하빌딩) (우편번호 06280)|권장시,최문원|한국공인회계사회
대주회계법인|분사무소|제87호|051-469-9292|부산광역시 동구 조방로 14,706호(범일동,동일타워) (우편번호 48741)|권장시,최문원|한국공인회계사회
