##NAME|SUBNAME|ID|TELNUM|NEWADDR|TYPE@@전자랜드
전자랜드|G7스퀘어점|225|054-451-8680|경상북도 구미시 야은로 290-7(봉곡동) 야은로 296 G7스퀘어몰 지하 1층|IN샵
전자랜드|강릉점|116|033-650-7777|강원도 강릉시 송정동 821-14|파워센터
전자랜드|검단점|220|032-569-6992|인천광역시 서구 서곶로 831(당하동)|파워센터
전자랜드|경기광주점|154|031-798-6990|경기도 광주시 이배재로 24(탄벌동)|파워센터
전자랜드|경주점|216|054-744-9380|경상북도 경주시 산업로 4364(용강동)|프라이스킹
전자랜드|고현점|31|055-638-0058|경상남도 거제시 고현동 979번지|프라이스킹
전자랜드|공주점|132|041-858-9393|충청남도 공주시 신관동 586-5|프라이스킹
전자랜드|광양점|214|061-795-9326|전라남도 광양시 금호로 26(금호동) 몰오브광양 쇼핑몰 1층|IN샵
전자랜드|광주수완하나로점|223|062-531-6274|광주광역시 광산구 임방울대로 261(신가동) 농수산물유통센터 2층|IN샵
전자랜드|광주하남점|217|062-531-6523|광주광역시 광산구 용아로 401(하남동)|파워센터
전자랜드|G7스퀘어점|225|054-451-8680|경상북도 구미시 야은로 290-7(봉곡동) 야은로 296 G7스퀘어몰 지하 1층|IN샵
전자랜드|강릉점|116|033-650-7777|강원도 강릉시 송정동 821-14|파워센터
전자랜드|검단점|220|032-569-6992|인천광역시 서구 서곶로 831(당하동)|파워센터
전자랜드|경기광주점|154|031-798-6990|경기도 광주시 이배재로 24(탄벌동)|파워센터
전자랜드|경주점|216|054-744-9380|경상북도 경주시 산업로 4364(용강동)|프라이스킹
전자랜드|고현점|31|055-638-0058|경상남도 거제시 고현동 979번지|프라이스킹
전자랜드|공주점|132|041-858-9393|충청남도 공주시 신관동 586-5|프라이스킹
전자랜드|광양점|214|061-795-9326|전라남도 광양시 금호로 26(금호동) 몰오브광양 쇼핑몰 1층|IN샵
전자랜드|광주수완하나로점|223|062-531-6274|광주광역시 광산구 임방울대로 261(신가동) 농수산물유통센터 2층|IN샵
전자랜드|광주하남점|217|062-531-6523|광주광역시 광산구 용아로 401(하남동)|파워센터
전자랜드|G7스퀘어점|225|054-451-8680|경상북도 구미시 야은로 290-7(봉곡동) 야은로 296 G7스퀘어몰 지하 1층|IN샵
전자랜드|강릉점|116|033-650-7777|강원도 강릉시 송정동 821-14|파워센터
전자랜드|검단점|220|032-569-6992|인천광역시 서구 서곶로 831(당하동)|파워센터
전자랜드|경기광주점|154|031-798-6990|경기도 광주시 이배재로 24(탄벌동)|파워센터
전자랜드|경주점|216|054-744-9380|경상북도 경주시 산업로 4364(용강동)|프라이스킹
전자랜드|고현점|31|055-638-0058|경상남도 거제시 고현동 979번지|프라이스킹
