##NAME|SUBNAME|TELNUM|NEWADDR|FEAT|XCOORD|YCOORD@@세븐일레븐
세븐일레븐|광희본점||서울특별시 중구 마른내로 146  1층1호|24시간;카페;의약품;예약주문;ATM|127.00417434|37.564557351
세븐일레븐|광희이비스점||서울특별시 중구 광희동2가 퇴계로 330-1|24시간;카페;의약품;예약주문;국제 특송 서비스;시디;스마트픽|127.00835317|37.564153483
세븐일레븐|광희재형점||서울특별시 중구 광희동2가 퇴계로 327|24시간;카페;의약품;예약주문;국제 특송 서비스;시디;스마트픽|127.007991|37.564477867
세븐일레븐|남대문본점||서울특별시 중구 세종대로 11 (남대문로5가)|24시간;카페;베이커리;의약품;토토;예약주문;ATM;국제 특송 서비스;스마트픽|126.97310902|37.558196929
세븐일레븐|남대문시장점||서울특별시 중구 남대문로4가 20-4 1층|24시간;카페;의약품;예약주문;국제 특송 서비스;스마트픽|126.97676622|37.560464614
세븐일레븐|남대문점||서울특별시 중구 세종대로 30  1층 101호(남대문로5가, 신남문빌딩)|카페;의약품;예약주문;국제 특송 서비스;스마트픽|126.9750328|37.558914546
세븐일레븐|남대문카페점||서울특별시 중구 남대문시장길 73 제왕빌딩 (회현동1가)|24시간;카페;군고구마;의약품;예약주문;ATM;국제 특송 서비스;스마트픽|126.97999856|37.560850833
세븐일레븐|남산2호점||서울특별시 중구 소파로 142 (예장동)|24시간;카페;의약품;예약주문;국제 특송 서비스;스마트픽|126.98824745|37.559442783
세븐일레븐|남산센트럴자이점||서울특별시 중구 퇴계로 235 남산센트럴자이|카페;의약품;예약주문;국제 특송 서비스;스마트픽|126.99776801|37.56254638
세븐일레븐|남산쌍용점||서울특별시 중구 소공로 46 쌍용남산플래티넘 비 102호 (회현동2가)|24시간;카페;의약품;예약주문;ATM;국제 특송 서비스;스마트픽|126.98321777|37.559402531
세븐일레븐|동국대신공학관점||서울특별시 중구 필동로1길 18  1층 (필동3가, 잇팩빌딩|24시간;카페;의약품;예약주문;국제 특송 서비스;스마트픽|126.99707096|37.558441423
세븐일레븐|동국대점||서울특별시 중구 서애로 2|24시간;카페;의약품;토토;예약주문;무인택배접수;ATM;국제 특송 서비스;스마트픽|126.99829773|37.561872443
세븐일레븐|동국대제일병원점||서울특별시 중구 서애로1길 12 (필동3가)|예약주문;국제 특송 서비스;시디;스마트픽|126.99872331|37.560935412
세븐일레븐|동대문센터점||서울특별시 중구 퇴계로73길 15 대보빌딩  1층|카페;치킨;의약품;국제 특송 서비스;스마트픽|127.01388153|37.565929727
