##NAME|SUBNAME|TELNUM|NEWADDR|FEAT|XCOORD|YCOORD@@이마트24
이마트24|(주)이마트24서비스|02-6916-1500|서울특별시 성동구 광나루로 310 3층 303호|||
이마트24|가능대진점|031-826-5652|경기도 의정부시 신촌로 63번길 21|원두커피;택배;POSA||
이마트24|가능점|02-6916-1500|경기도 의정부시 평화로 622 1층|원두커피;택배;POSA;원두커피||
이마트24|가덕도점|051-941-9245|부산광역시 강서구 가덕해안로 753|원두커피;ATM;스포츠토토||
이마트24|가락사랑점|02-6916-1500|서울특별시 송파구 송파대로30길 8|24시간;의약품;ATM;POSA||
이마트24|가락으뜸점|02-6916-1500|서울특별시 송파구 송이로24길 3|||
이마트24|가리봉점|02-857-7646|서울특별시 구로구  디지털로 230|ATM||
이마트24|가산남성프라자점|02-6916-1500|서울특별시 금천구 디지털로 130 101호|||
이마트24|가산대명벨리온점|02-6916-1500|서울특별시 금천구 가산디지털2로 127-33 106호|24시간;원두커피;POSA;원두커피||
이마트24|가산루벤스점|070-7701-9407|서울특별시 금천구 가산디지털1로 1 1층|원두커피;택배;스포츠토토;POSA;원두커피||
이마트24|가산스카이밸리점|02-2067-1287|서울특별시 금천구 가산디지털1로 142|24시간;원두커피;택배;POSA;24시간;원두커피||
이마트24|가산지웰점|02-6083-9085|서울특별시 금천구 가산로9길 12-8|원두커피;택배;POSA;원두커피;스포츠토토||
이마트24|가산GBC점|02-3289-9090|서울특별시 금천구 가산디지털1로 165(가산동) 101호|택배;POSA||
이마트24|가산SKV1점|02-6916-1500|서울특별시 금천구 가산디지털1로 171 V1센터 126호|원두커피;택배;POSA;원두커피;스포츠토토||
이마트24|가야공원점|051-893-0124|부산광역시 부산진구 엄광로 131|||
이마트24|가야동의대점|051-807-8080|부산광역시 부산진구 엄광로 170|원두커피;택배;POSA;원두커피||
이마트24|가야본점|051-893-2000|부산광역시 부산진구 대학로36번길57|24시간;원두커피;의약품;택배;ATM;POSA;원두커피;스포츠토토||
이마트24|가야초원점|051-891-9429|부산광역시 부산진구 엄광로 225|원두커피;택배;POSA||
이마트24|가양8단지점|02-2668-8760|서울특별시 강서구 허준로 176|24시간;원두커피;택배;POSA;원두커피||
이마트24|가양역점|02-3663-2245|서울특별시 강서구 양천로57길 10-11(가양동)|24시간;원두커피;의약품;택배;POSA||
이마트24|가운리슈빌점|02-6916-1500|경기도 남양주시 경춘로 364|원두커피;POSA;원두커피||
이마트24|가음꿈에그린점|02-6916-1500|경상남도 창원시 성산구 원이대로878번길 9|택배;POSA;원두커피||
이마트24|가정베르디움점|02-6916-1500|인천광역시 서구 봉오대로 136 가정동 120-50 호반베르디움더센트럴 아파트 상가 115동 107호|택배;POSA||
이마트24|가정휴먼시아점|032-567-7759|인천광역시 서구  봉오재3로 14 가정동 가정엘에이치3단지상가|24시간;원두커피;의약품;택배;POSA||
이마트24|가좌학산점|02-6916-1500|인천광역시 서구 백범로 884|원두커피;택배;POSA;원두커피||
이마트24|가천대기숙사점|031-721-6065|경기도 성남시 수정구 성남대로 1342 제2기숙사B1층|||
이마트24|가천대길병원점|02-6916-1500|인천광역시 남동구 남동대로 773|원두커피||
이마트24|가평가화로점|070-7702-9052|경기도 가평군 가평읍 가화로 228|원두커피;택배;POSA;원두커피||
이마트24|가평리버점|070-7700-1511|경기도 가평군 설악면 유명로 2320|원두커피;택배;ATM;POSA;스포츠토토||
이마트24|가평매그놀리아점|02-6916-1500|경기도 가평군 설악면 미사리로 189|원두커피;택배;POSA;원두커피||
이마트24|가평뮤직빌리지점|031-581-3087|경기도 가평군 가평읍 석봉로 73-1|원두커피;택배;POSA;원두커피||
이마트24|가평역점|070-7701-5431|경기도 가평군 가평읍 문화로 13-27 1층|원두커피;택배;POSA;원두커피||
이마트24|가평중앙점|031-581-7339|경기도 가평군 가평읍 석봉로 129 1층|택배;POSA;원두커피||
이마트24|가평현리점|070-7700-8689|경기도 가평군 조종면 청군로 1229|원두커피;택배;POSA;원두커피||
이마트24|간석남동대로점|032-425-1080|인천광역시 남동구 남동대로 931|||
이마트24|간석남동대로점|032-425-1080|인천광역시 남동구 남동대로 931|24시간;원두커피;의약품;택배;ATM;POSA;원두커피||
이마트24|간석래미안점|032-464-4248|인천광역시 남동구 남동대로 860 상가5동 105호|24시간;원두커피;의약품;택배;POSA;원두커피||
이마트24|간석석정로점|02-6916-1500|인천광역시 남동구 석정로 497번길 78|ATM||
이마트24|간석오거리점|02-6916-1500|인천광역시 남동구 경인로 644번길 8|24시간;원두커피;의약품;택배;ATM||
이마트24|간석오피앙점|02-6916-1500|인천광역시 남동구 경인로 611|||
