##NAME|SUBNAME|TELNUM|ADDR|COST|FEAT|SOURCE2@@고시원
피렌체하우스|잠실점|010-3833-2693|서울 송파구 잠실동 189-15|43(보증금20만원)~45||고시원닷넷
잠실/무지개/원룸텔||010-4623-7711|서울 송파구 방이동 68-3|40~60||고시원닷넷
연신빌/고시텔||02-382-1163|서울 은평구 갈현동 401-15|24~30||고시원닷넷
렌탈하우스/쉼||051-806-8686|부산 부산진구 부전2동 168-154 제이타워|40~41||고시원닷넷
코지리빙텔|한양대점|02-2296-3335|서울시 성동구 행당동 229-4번지|30~43|왕십리역점|고시원닷넷
자이리빙텔||02-845-3088|서울 영등포구 대림2동 858-37 새봄빌딩 2층 자이리빙텔|25~45||고시원닷넷
두리웰빙고시텔||031-898-6920|경기도 수원시 팔달구 인계동 1038-16|20~35||고시원닷넷
상동고시텔||032-322-5890|경기도 부천시 원미구 상동 532-17 중앙프라자 8층|35~40||고시원닷넷
드림빌/원룸텔||031-402-2400|경기도 안산시 고잔동 727-2 현대타운 3층|30~45||고시원닷넷
파랑새정원||02-796-3119|서울 특별시 용산구 남영동 5-1 (구) 성일고시원|25~35||고시원닷넷
더샵고시텔||032-655-9797|경기도 부천시 원미 심곡동 381-1|20~40||고시원닷넷
메르디앙리빙텔|죽전점|031-305-5999|경기도 용인시 수지구 죽전동 1260-1|29~37||고시원닷넷
애뉴빌/하우스||010-2259-7055|서울 광진구 화양동 508-2 3층|35~50||고시원닷넷
드림하우스빌||032-326-7997|경기도 부천시 원미구 상동 532-16 세진프라자|35~50||고시원닷넷
소호리빙텔|면목점|02-435-6655|서울 중랑구 면목1동 502-33 4층 소호리빙텔 면목점 고시원|29~43||고시원닷넷
미래를꿈꾸는사람들||054-975-6050|경북 칠곡군 동명면 기성리 124 (대구시)|27~45||고시원닷넷
리빙하우스||02-2678-3200|서울시 영등포구 당산동 4가 32-107번지|28~70||고시원닷넷
멀티하우스|연대점|02-3147-1013|서울 서대문구 창천동 31-21 번지 , 1,2,3,4,층 전건물|30~45||고시원닷넷
메트로레지던스|면목점|02-433-6789|서울시 중랑구 면목동 359-15 2층|32~43||고시원닷넷
성창원룸텔||02-886-1210|서울 관악구 봉천동 47-2|30~||고시원닷넷
한빛고시텔||02-3275-2313|서울시 용산구 원효로1가 48-16|27~35||고시원닷넷
로하스위드텔||031-563-9121|경기도 구리시 수택동 849-1|38~45||고시원닷넷
클린하우스||02-2051-2701|서울시 강남구 역삼동 620-12|40~50||고시원닷넷
이화고시텔||02-392-7775|서울시 서대문구 대현동 56-75. 이화고시텔.(우편번호: 120-808)|15~24|여성전용|고시원닷넷
도곡레지던스||02-571-2580|서울시 강남구 도곡동 947-17|35~55||고시원닷넷
아이원/원룸텔&고시텔||031-701-1160|경기도 성남시 분당 야탑동(장미마을) 366-5 시그마호텔 2층|30~||고시원닷넷
코코리빙텔역삼점||02-554-5515|서울 강남구 역삼2동 722-7|25~40||고시원닷넷
메르디앙리빙텔||02-812-5552|서울 동작구 노량진1동 50-2|30~50|신설|고시원닷넷
ceo원룸고시텔||02-501-8142|서울 강남구 삼성동 166-6 4층|27~45||고시원닷넷
베스텔고시원||02-6081-5589|서울 강남구 신사동 664-3 재향빌딩3층/압구정로데오거리|28~33||고시원닷넷
한림고시원||032-328-5570|경기도 부천시 원미 상동 545-9|10~25||고시원닷넷
동산원룸하우스||031-408-2828|경기도 안산시 이동 715-1 세종프라자 3층 전관|30~40||고시원닷넷
게스트하우스||02-832-4136|서울시 영등포구 신길1동 95-152번지|35~50||고시원닷넷
리빙파크원룸텔|답십리점|02-2214-1190|서울 성동구 용답동 225-14|34~55||고시원닷넷
노블원룸텔||02-392-4154|서울 서대문구 충정로2가 26|38~||고시원닷넷
클린원룸텔||02-521-3317|서울특별시 서초구 서초동 1668-6번지 2-4층 클린원룸텔|40~65||고시원닷넷
보보레지던스|개포점|02-579-0015|서울 강남구 개포2동 171-14번지 (강남구 개포동)|30~45||고시원닷넷
파크원룸텔||02-3431-8006|서울시 송파구 방이2동 71번지 호수빌딩 3층|26~45||고시원닷넷
e~고시텔||02-2068-6779|서울 영등포구 영등포동6가 67-1-윤성타워3층|24~36||고시원닷넷
골든벨/리빙텔||02-815-1509|서울 동작구 대방동 389-10|30~39||고시원닷넷
싱글하우스|한성대점|02-764-0167|서울 성북구 삼선동1가 130번지 3,4층 싱글하우스 한성대점|33~48||고시원닷넷
BEST/HOUSE|숭실대점|02-821-2205|서울 동작구 상도동 506-75|30~55||고시원닷넷
마이홈리빙텔||02-2068-6600|서울시 영등포구 영등포동 3가 1-2|24~40||고시원닷넷
CU리빙텔||010-5689-0980|부산 사상구 괘법동 523-7|35~35||고시원닷넷
형설고시원||02-826-8154|서울 동작구 노량진동 247-4 형설고시원|28~34||고시원닷넷
오렌지원룸텔||031-262-0322|경기도 용인시 수지구 풍덕천동 710-2 (풍덕천로139번길 10-6)|30~42||고시원닷넷
다은/웰빙텔||031-491-0318|경기도 시흥시 거모동 1659-20|20~50||고시원닷넷
아톰빌리지||02-364-3232|서울시 마포구 아현동 282-1 새한빌딩 2층|22~30|남성전용|고시원닷넷
유진시티빌-여성고시원||02-923-3200|서울 성북구 동선동3가 190-3  5통4반|25~40||고시원닷넷
웰빙텔|건대점|02-461-9297|서울 광진구 화양동 18-3|15~50||고시원닷넷
늘푸른고시원||02-841-8946|서울 영등포구 신길6동 1572번지|15~30||고시원닷넷
쉐르빌리빙텔|죽전점|031-889-3331|경기도 용인시 수지구 죽전동 1189-4 테마V샤르망 5층|23~38|단대점|고시원닷넷
비버하우스||02-543-2055|서울 강남구 논현동 242-50 비버하우스|45~60||고시원닷넷
심플하우스|산본역점|031-392-3301|경기도 군포시 산본동 1140 동원프라자 6층|38~55||고시원닷넷
우리들고시텔||032-345-9238|경기도 부천시 소사구 괴안동 126-1|21~25||고시원닷넷
우리원룸텔||010-2629-3303|서울시 중구 을지로4가 광덕빌딩 302-1 3층|25~40||고시원닷넷
소호리빙텔|노량진점|02-826-5006|서울 동작구 노량진동 231-111|29~40||고시원닷넷
구로한샘고시원||02-858-7500|서울시 구로구 구로3동 1126-16 구로디지털단지 6번출구|20~30||고시원닷넷
풀하우스리빙텔|연대서강대점|02-333-3325|서울 마포구 노고산동  54-1|35~47||고시원닷넷
현대/사이버고시원||032-885-5008|인천시 남구 도화2동 80-97 새한빌딩 3,4층 현대사이버고시원|18~30||고시원닷넷
삼성고시텔||031-366-2522|경기도 화성시 향남읍   행정리 487-2 삼성프라자빌딩 6층|30~40||고시원닷넷
리치하우스/원룸텔||02-822-0888|서울 동작구 대방동 23-147|40~55||고시원닷넷
이삭고시원||02-498-4666|서울 광진구 화양동 111-161 3층 이삭고시원|10~26||고시원닷넷
세종원룸텔||02-461-1128|서울시 광진구 군자동 346-22 장안빌딩 4층|28~50||고시원닷넷
싱글하우스|건대,성수점|02-464-0101|서울시 성동구 성수2가 3동 279-42|15~55||고시원닷넷
하이빌원룸텔||02-470-8522|서울시 강동구 성내3동 417-2 (도로명 : 풍성로 204)|28~45||고시원닷넷
심플하우스|강남뱅뱅사거리점|02-521-2230|서울 서초구 서초동 1341-2|40~70||고시원닷넷
비버하우스화곡점||02-2601-6888|서울 강서구 화곡동 346-2번지 형제빌딩3층|32~48|신설|고시원닷넷
오투원룸텔|회기역점|02-963-6778|서울시 동대문구 휘경동 183-143|27~55||고시원닷넷
오투리빙텔||02-988-4415|서울 강북구 미아동 791-563번지 4층 오투리빙텔|30~50||고시원닷넷
상록고시원||02-2603-9443|서울시 양천구 신정동 880-8|16~다양||고시원닷넷
파인하우스|양재점|02-572-8959|서울시 강남구 도곡동 951-15|-~||고시원닷넷
디지털레지던스||02-852-8300|서울 구로구 구로3동 1130-8호 디지털레지던스|29~40||고시원닷넷
신풍고시텔||02-833-2818|서울시 영등포구 신길5동 424-3|20~29||고시원닷넷
다라원룸텔||02-461-2114|서울 광진구 중곡1동 648-23 다라오피스텔|30~40||고시원닷넷
코쿤하우스|아현점|02-363-0350|서울시 서대문구 북아현1동 121-21|25~29||고시원닷넷
삼성탑/고시원&독서실||02-511-8099|서울시 강남구 삼성동 삼성탑 빌딩 2~5층|23~35||고시원닷넷
심플하우스|미아역점|02-945-1034|서울 강북구 미아동 322-1|32~50||고시원닷넷
코코고시텔||031-565-4242|경기도 구리시 수택동 377-8 (안골로57번길 28)|18~30||고시원닷넷
리빙캐슬|신당역점|02-2231-1335|서울 중구 신당동 133-34 2~3층|32~42||고시원닷넷
하이리빙텔||02-2672-1254|서울시 영등포구 영등포동3가 23-9번지|30~38||고시원닷넷
휴레지던스|이대점|02-362-0848|서울시 서대문구 대현동 104-48번지 301호|28~40|여성전용|고시원닷넷
비바레지던스||02-489-1030|서울 송파구 풍납동 402-3 J빌딩 5층|37~60||고시원닷넷
프리첼고시원||02-821-2038|서울시 동작구 신대방 2동 351-5 3층|16,19,21,23,~26|신대방삼거리역|고시원닷넷
동명고시텔||02-903-4988|서울 강북구 수유3동 2-5호|20~28||고시원닷넷
리더스고시텔||02-995-0705|서울 강북구 수유동 2-4  수유역 5번출구 2분|20~28||고시원닷넷
오렌지레지던스||02-323-3181|서울시 마포구 서교동 374-10 (양화로 99)|35~65||고시원닷넷
휴앤아이암사점||02-481-9001|서울시 강동구 암사동 504-37|28~45||고시원닷넷
아이비하우스||02-308-0363|서울시 서대문구 북가좌동 333-8|32~43||고시원닷넷
21세기원룸텔고시원||02-521-7521|서울 서초구 방배동 982-2   2층 나호|21~40||고시원닷넷
보보멤버스텔|서초점|02-523-9926|서울특별시 서초구 서초3동 1462-1|30~55||고시원닷넷
코오롱/고시텔||02-953-5454|서울 성북구 삼선동4가 코오롱아파트 코오롱상가 3층|15~28||고시원닷넷
산호웰빙텔||02-921-2177|서울 성북구 동선동4가 294번지 4~5+옥상층|26~45||고시원닷넷
안암빌고시텔||02-922-1114|서울 성북구 성북동 안암동5가 134-2|23~32||고시원닷넷
비전원룸텔|명동점|02-752-1015|서울시 중구 남산동3가 19-3번지(퇴계로22길 11-8)|18~53||고시원닷넷
모던리빙텔|창동역점|02-990-1009|서울시 도봉구 창동6번지 콤마빌딩 6층(노원구)|30~55||고시원닷넷
배꽃원룸텔||02-312-7300|서울시 서대문구 대현동 54-5호watsons매장4f|40~45|여성전용|고시원닷넷
새롬리빙하우스||02-359-6400|서울 은평구 역촌동 43-4  새롬리빙하우스|32~50|본관|고시원닷넷
심플하우스|신설동역점|02-929-9611|서울시 종로구 숭인동 1263번지 (도로명 : 종로 409)|-~||고시원닷넷
휴/그린빌/리빙텔||031-979-5525|경기도 고양시 덕양 행신동 712 골드프라자 5층|33~45||고시원닷넷
파크리빙텔||02-875-4664|서울시 관악구 신림동 1425-23|20~38|풀옵션|고시원닷넷
행신리빙텔||031-971-3008|경기도 고양시 덕양구 행신동 757-2 행신프라자 상가 6층|33~40||고시원닷넷
휴먼빌레지던스||02-3394-8077|서울시 동대문구 장안동 345-18번지|30~40||고시원닷넷
드림타운고시원||032-666-3566|경기도 부천시 원미구 심곡동 378-23|18~28||고시원닷넷
코코레지던스|목동점|02-2695-8114|서울 양천구 신정4동 905-2 해풍빌딩 5층|22~30||고시원닷넷
동양리빙텔||032-522-1006|인천 부평구 부평6동 605-32 동양리빙텔|22~36||고시원닷넷
아인스원룸텔||02-6414-0043|서울시 관악구 신림동 1427-3|35~48||고시원닷넷
삼성리빙텔||031-751-5558|경기도 성남시 수정구 수진동 1-5  (수정남로 75 하이코랜드빌)|25~45||고시원닷넷
4U/고시텔||02-821-0908|서울시 동작구 노량진동 310-116|29~37||고시원닷넷
리빙파크원룸텔|경찰병원역점|02-401-1152|서울시 송파구 가락동 72-6번지 삼복빌딩 4, 5층|40~50||고시원닷넷
에이플러스고시텔||02-812-2614|서울시 동작구 노량진2동 244-80 (노량진로 8길 50)|35~70||고시원닷넷
베스트리빙텔|서초점|02-584-8919|서울시 서초구 서초동 1523-5 /2층|30~40||고시원닷넷
심플하우스||02-2642-4460|서울 강서구 화곡4동 800-1 삼정빌딩2,3층|다양~해요||고시원닷넷
희망고시원||010-2571-5337|서울 노원구 공릉2동 441-151|18~35||고시원닷넷
강리빙텔||02-483-1520|서울시 강동구 천호3동 163-13|30~55||고시원닷넷
대명원룸텔||031-444-0508|경기도 안양시 만안구 안양동 627-149, 3층|25~||고시원닷넷
스위트하우스||02-3143-2360|서울시 서대문구 연희동 48-2 (연희로14길 23)|25~35||고시원닷넷
라움하우스||010-7757-4725|경기 성남시 분당구 야탑동 360-3 (도로명 : 장미로 86)|-~||고시원닷넷
SM리빙고시텔||02-900-9784|서울 강북구 번1동 448-13 3층 Sm리빙텔|35~50||고시원닷넷
탑레지던스||02-2672-6777|서울 영등포구 영등포동6가 74-1|27~40||고시원닷넷
소호리빙텔월곡||02-909-5383|서울시 성북구 하월곡2동 49-3 태화빌딩 4층|23~33|동덕여대|고시원닷넷
리빙고시텔||010-3014-7159|서울 강동구 명일동 346-6 3층 리빙고시텔|25~40||고시원닷넷
예가고시텔||031-826-1659|경기도 의정부시 의정부동 505-2|26~33||고시원닷넷
해피룸고시텔||031-441-5138|경기도 안양시 만안구 장내로 123 (3층,4층)|20~35||고시원닷넷
가윤원룸텔||02-403-7879|서울시 송파구 가락동 124-4번지 2층|-~|남성전용|고시원닷넷
가리봉고시텔/소호원룸텔||02-867-1070|서울시 구로구 가리봉동 136-78. 79|38~50||고시원닷넷
양지홈고시원||010-2488-9981|부산 부산진구 개금동 177-176번지 양지홈|30~35||고시원닷넷
성문고시원||02-742-1977|서울 종로구 숭인동 183-9 정우빌딩 5층|27~38||고시원닷넷
토마토원룸텔|방이점|02-424-8885|서울시 송파구 방이동 69-9(오금로 13길 14)|-~||고시원닷넷
스토리하우스|신당점|02-2233-7898|서울 중구 흥인동 109번지 2~4층|45~65||고시원닷넷
삼성원룸텔||010-6672-7361|경기도 부천시 원미구 역곡동 80-5|-~||고시원닷넷
양재고시원||02-577-0273|서울 서초구 양재동 327-6 홍광빌딩 2층|27~34||고시원닷넷
싱글하우스고시텔||02-885-5551|서울시 관악구 봉천동 891-10호|25~35||고시원닷넷
애플원룸텔||02-566-1288|서울 강남구 역삼동 723-17번지 3층 애플원룸텔 역삼점|45~60||고시원닷넷
파크빌원룸텔||02-409-8285|서울시 송파구 가락동 57-7|-~||고시원닷넷
심플하우스|양재역점|02-577-9611|서울시 서초구 양재동 2-45 번지|40~70||고시원닷넷
코지리빙텔||02-523-2245|서울시 서초구 방배3동 529-3번지|26~35||고시원닷넷
올리브하우스||02-741-7787|서울 종로구 숭인동 56-38 동원빌딩 5층 올리브하우스|33~38||고시원닷넷
미진원룸텔||031-555-1536|경기도 구리시 수택동 380-20|35~55||고시원닷넷
하나레지던스||010-2254-4351|서울시 마포구 신수동 22-35 (백범로 76 하나테크노빌 2층)|-~||고시원닷넷
외대여성전용원룸텔||02-968-8855|서울 동대문구 이문동 324-10 (이문동 324-10)|30~45||고시원닷넷
스위트하우스||02-485-0388|서울 강동구 성내동 423-3 2층 스위트하우스|38~60||고시원닷넷
베스트고시텔||031-721-8171|경기도 성남시 분당구 성남동 3381 (광명로32번길 8)|22~24||고시원닷넷
클린원룸텔|강남점|02-515-0811|서울시 강남구 논현동 235-4|40~60||고시원닷넷
현대리빙텔||032-612-2242|경기도 부천시 원미구 심곡2동 172-1 현대리빙텔|30~35||고시원닷넷
예성웰빙텔||02-838-2771|서울시 구로구 구로4동 731-1 2층|30~50||고시원닷넷
풀하우스|아현점|02-6414-1442|서울시 마포구 아현동 275-2|30~50||고시원닷넷
게스트고시원||02-2263-6033|서울 종로구 종로5가 231-9|26~40||고시원닷넷
심플하우스|잠실점|02-2202-5889|서울 송파구 삼전동 29-7|40~70||고시원닷넷
분당레지던스2||010-5337-8658|경기도 성남시 분당 이매동(이매촌) 105-2번지 이매상가 3층 분당레지던스|~||고시원닷넷
삼성원룸텔||031-411-2111|경기도 안산시 초지동 743-1 비전타운 2층|26~32||고시원닷넷
현대고시텔||031-211-8146|경기도 수원시 팔달구 우만 2동 81-6, 7층 ( 중부대로 249, 7층)|18~25||고시원닷넷
