##NAME|SUBNAME|TELNUM|ADDR|WEBSITE|FEAT@@호텔야자
BROWN DOT|월곶점|0503-5052-1396|경기 시흥시 월곶동 1007-5|https://www.yanolja.com/motel/1000101746|주차가능
NO.25|일산행신점|0503-5050-0506|경기 고양시 덕양구 행신동 945-2|https://www.yanolja.com/motel/1000105291|주차가능
호텔야자|평택역점|0503-5052-0765|경기 평택시 평택동 294-5|https://www.yanolja.com/motel/1000099664|주차가능
NO.25|이천터미널점|0503-5052-0892|경기 이천시 창전동 165-1|https://www.yanolja.com/motel/1000102852|주차가능
NO.25|양주송추점|0503-5050-4383|경기 양주시 장흥면 부곡리 477-10|https://www.yanolja.com/motel/3020503|주차가능
NO.25|안산점|0503-5051-9937|경기 안산시 단원구 고잔동 539-3|https://www.yanolja.com/motel/1000099770|주차가능
NO.25|수원경기대점|0503-5052-0774|경기 수원시 장안구 연무동 14-8|https://www.yanolja.com/motel/1000100075|주차가능
NO.25|송탄점|0503-5052-0630|경기 평택시 신장동 299-5|https://www.yanolja.com/motel/1000101685|주차가능
NO.25|남양주북한강점|0503-5052-0838|경기 남양주시 화도읍 금남리 440-2|https://www.yanolja.com/motel/1000103668|주차가능
NO.25|남양주별내점|0503-5051-9137|경기 남양주시 별내면 청학리 494-8|https://www.yanolja.com/motel/3018567|주차가능
BROWN DOT|송탄/평택점|0503-5052-0543|경기 평택시 신장동 320-40|https://www.yanolja.com/motel/1000100113|주차가능
호텔야자|하남시청점|031-792-0018|경기 하남시 신장동 524-13|https://www.yanolja.com/motel/3016074|주차가능
얌모텔|이천설봉호수점|0503-5051-8410|경기 이천시 관고동 236-2|https://www.yanolja.com/motel/3016665|주차가능
호텔야자|곤지암점|0503-5051-8343|경기 광주시 곤지암읍 곤지암리 220-4|https://www.yanolja.com/motel/3016066|주차가능
얌모텔|신흥역점|0503-5051-7093|경기 성남시 수정구 신흥동 2530|http://www.yanolja.com/places/3013448|
얌모텔|파주금촌점|0503-5051-5986|경기 파주시 금촌동 65-23|https://www.yanolja.com/places/3010541|주차가능
호텔야자|이천터미널점|0503-5051-5793|경기 이천시 창전동 464 -7|https://www.yanolja.com/places/3009669|주차가능
호텔야자|화정역점|0503-5050-3577|경기 고양시 덕양구 화정동 980-1|https://www.yanolja.com/places/3000350|
호텔야자|산본역점|0503-5051-4822|경기 군포시 산본동 1142-1 &#40;8층&#41;|https://www.yanolja.com/places/1020338|주차가능
호텔야자|위례점|0503-5051-5710|경기 성남시 수정구 창곡동 561-2 9층, 10층|https://www.yanolja.com/places/3009328|주차가능
