##NAME|SUBNAME|TELNUM|CAT|ADDR|NEWADDR|KATECX|KATECY@@K게스트하우스
K게스트하우스|남대문||숙박>게스트하우스|서울특별시 중구 북창동 20-1|서울특별시 중구 남대문로1길 31 3~4층|309840|551632
K게스트하우스|명동2호점||숙박>게스트하우스|서울특별시 중구 충무로2가 12-17|서울특별시 중구 명동8가길 33|310694|551556
K게스트하우스|인사동2호점||숙박>게스트하우스|서울특별시 종로구 관철동 43-15|서울특별시 종로구 종로8길 15 4 F|310454|552401
K게스트하우스|명동4호점||숙박>게스트하우스|서울특별시 중구 명동2가 52-7 4~6층|서울특별시 중구 명동8길 36 4~6층|310501|551590
K게스트하우스|명동1호점||숙박>기타숙박업|서울특별시 중구 충무로1가 25-50|서울특별시 중구 퇴계로 103|310364|551451
K게스트하우스|동대문1호점||숙박>게스트하우스|서울특별시 중구 오장동 139-3|서울특별시 중구 동호로 345|312032|551918
K게스트하우스|동대문프리미엄2|02-771-1515|숙박>여관|서울특별시 중구 장충동1가 23|서울특별시 중구 퇴계로60길 11 1층|312434|551716
K게스트하우스|동대문5호점||숙박>게스트하우스|서울특별시 중구 광희동1가 182-20|서울특별시 중구 장충단로 229-9|312463|551927
K게스트하우스|동대문프리미엄점||숙박>호스텔|서울특별시 중구 광희동2가 360|서울특별시 중구 장충단로 213|312454|551741
K게스트하우스|신촌2호점|02-334-5652|숙박>게스트하우스|서울특별시 마포구 노고산동 57-44|서울특별시 마포구 신촌로18길 21|306090|550796
K게스트하우스|동대문4호점|02-2297-0078|숙박>게스트하우스|서울특별시 성동구 하왕십리동 956-2|서울특별시 성동구 왕십리로 353|314561|551713
K게스트하우스|인천공항1호점|032-746-0632|숙박>게스트하우스|인천광역시 중구 운서동 3112-9|인천광역시 중구 흰바위로92번길 5-18|267023|544129
K게스트하우스|서면1호점||숙박>게스트하우스|부산광역시 부산진구 부전동 232-16|부산광역시 부산진구 신천대로62번길 44|496646|284277
K게스트하우스|프리미엄남포||숙박>게스트하우스|부산광역시 중구 남포동2가 36-22|부산광역시 중구 남포길 40-2|494386|278197
K게스트하우스|광안리점||숙박>게스트하우스|부산광역시 수영구 남천동 5-4|부산광역시 수영구 남천동로108번길 46|501672|283659
K게스트하우스|부산역1호점||숙박>게스트하우스|부산광역시 동구 초량동 1194-9|부산광역시 동구 중앙대로236번길 7-5|495213|280427
K게스트하우스|해운대1호점||숙박>게스트하우스|부산광역시 해운대구 우동 540-8|부산광역시 해운대구 구남로8번길 17 지엠타워 3,4층|505728|285470
K게스트하우스||033-646-9966|숙박>게스트하우스|강원도 강릉시 성남동 110-10 K게스트하우스|강원도 강릉시 중앙시장3길 23 K게스트하우스|479269|572532
