##NAME|SUBNAME|TELNUM|ADDR|WEBSITE|FEAT@@얌모텔
얌모텔|이천설봉호수점|0503-5051-8410|경기 이천시 관고동 236-2|https://www.yanolja.com/motel/3016665|주차가능
얌모텔|신흥역점|0503-5051-7093|경기 성남시 수정구 신흥동 2530|http://www.yanolja.com/places/3013448|
얌모텔|파주금촌점|0503-5051-5986|경기 파주시 금촌동 65-23|https://www.yanolja.com/places/3010541|주차가능
얌모텔|부천역점|0503-5051-5750|경기 부천시 심곡동 396-10|https://www.yanolja.com/places/3009476|주차가능
얌모텔|의왕역점|0503-5051-5519|경기 의왕시 삼동 192-432|https://www.yanolja.com/places/3008378|주차가능
얌모텔|오산역점|0503-5051-5497|경기 오산시 원동 770-5|https://www.yanolja.com/places/3008269|
얌모텔|수원인계점|0503-5051-5184|경기 수원시 팔달구 인계동 952-22|https://www.yanolja.com/places/3002067|주차가능
얌모텔|구리수택점|0503-5051-5006|경기 구리시 수택동 426-26|http://www.yanolja.com/places/3000355|주차가능
얌모텔|산본역점|0503-5050-0268|경기 군포시 산본동 1129 &#40;6F~7F&#41;|https://www.yanolja.com/places/24110|
얌모텔|동광주점&#40;각화동&#41;|0503-5052-0943|광주 북구 각화동 503-47|https://www.yanolja.com/motel/3020358|주차가능
얌모텔|광주구시청점|0503-5051-4978|광주 동구 학동 95-7|https://www.yanolja.com/motel/3018429|주차가능
얌모텔|광주금호점|0503-5051-6031|광주 서구 금호동 763-2|http://www.yanolja.com/places/3010714|주차가능
얌모텔|대전터미널점|0503-5051-8318|대전 동구 용전동 68-4|https://www.yanolja.com/motel/1009115|주차가능
얌모텔|대전유성온천점|0503-5051-7194|대전 유성구 봉명동 440-12|https://www.yanolja.com/places/3013789|주차가능
얌모텔|대전용문역점|0503-5051-6129|대전 서구 용문동 590-5|http://www.yanolja.com/places/3011049|주차가능
얌모텔|하단점|0503-5051-5805|부산 사하구 하단동 515-28|https://www.yanolja.com/places/3009724|주차가능
얌모텔|부산송도점|0503-5051-5820|부산 서구 암남동 351-2|https://www.yanolja.com/places/3009784|주차가능
얌모텔|해운대점|0503-5051-5124|부산 해운대구 우동 644-14|https://www.yanolja.com/places/3001884|주차가능
얌모텔|방이점|0503-5051-5132|서울 송파구 방이동 42|https://www.yanolja.com/places/3001896|주차가능
얌모텔|구의역점|0503-5050-2179|서울 광진구 구의동 246-13|https://www.yanolja.com/places/100056|주차가능
얌모텔|고려대점|0503-5050-1858|서울 동대문구 제기동 67-209|https://www.yanolja.com/places/27457|
얌모텔|서래마을점|0503-5050-0623|서울 서초구 반포동 94-7|https://www.yanolja.com/places/24965|
얌모텔|울산삼산점|0503-5051-4885|울산 남구 삼산동 1638-11|https://www.yanolja.com/places/1020520|주차가능
얌모텔|동암역점|0503-5051-5380|인천 부평구 십정동 408-18|https://www.yanolja.com/places/3007071|주차가능
얌모텔|부평문화의거리점|0503-5051-5934|인천 부평구 부평동 201-53|https://www.yanolja.com/places/3010295|
얌모텔|부평역점|0503-5051-5303|인천 부평구 부평동 551-2|https://www.yanolja.com/places/3002395|주차가능
얌모텔|인천검단점|032-561-3595|인천 서구 마전동 979-6|https://www.yanolja.com/places/25500|
얌모텔|청주터미널점|0503-5051-8087|충북 청주시 흥덕구 가경동 1009|https://www.yanolja.com/motel/3015381|주차가능
얌모텔|충북대점|0503-5051-5802|충북 청주시 흥덕구 복대동 871-3|https://www.yanolja.com/places/3009714|주차가능
