##NAME|SUBNAME|TELNUM|NEWADDR|FEAT|OT@@폴더
폴더|신림포도몰점|02-871-9334|서울특별시 관악구 신림로 330 포도몰 5층 폴더||월~목,일11:00~22:00 금,토11:00~22:30
폴더|안산중앙점|031-402-4876|안산시 단원구 고잔로 88, 1층 101호~104호 폴더||11:00~22:30
폴더|충주점|043-851-9704|충청북도 충주시 성서3길 16, 1층 폴더||11:00~22:00
폴더|부산광복2호점|051-231-9625|부산광역시 중구 광복로 82, 1~3층 폴더 (광복동1가)||11:00~22:30
폴더|청주점|043-221-3842|충청북도 청주시 상당구 성안로 41 (남문로2가) 1층 폴더||10:30~22:30
폴더|신제주점|064-711-0934|제주도 제주시 신광로 55(연동) 1층 폴더||10:30~22:00
폴더|신림포도몰점|02-871-9334|서울특별시 관악구 신림로 330 포도몰 5층 폴더||월~목,일11:00~22:00 금,토11:00~22:30
폴더|안산중앙점|031-402-4876|안산시 단원구 고잔로 88, 1층 101호~104호 폴더||11:00~22:30
폴더|충주점|043-851-9704|충청북도 충주시 성서3길 16, 1층 폴더||11:00~22:00
폴더|부산광복2호점|051-231-9625|부산광역시 중구 광복로 82, 1~3층 폴더 (광복동1가)||11:00~22:30
폴더|청주점|043-221-3842|충청북도 청주시 상당구 성안로 41 (남문로2가) 1층 폴더||10:30~22:30
폴더|신제주점|064-711-0934|제주도 제주시 신광로 55(연동) 1층 폴더||10:30~22:00
폴더|신림포도몰점|02-871-9334|서울특별시 관악구 신림로 330 포도몰 5층 폴더||월~목,일11:00~22:00 금,토11:00~22:30
폴더|안산중앙점|031-402-4876|안산시 단원구 고잔로 88, 1층 101호~104호 폴더||11:00~22:30
폴더|충주점|043-851-9704|충청북도 충주시 성서3길 16, 1층 폴더||11:00~22:00
폴더|부산광복2호점|051-231-9625|부산광역시 중구 광복로 82, 1~3층 폴더 (광복동1가)||11:00~22:30
폴더|청주점|043-221-3842|충청북도 청주시 상당구 성안로 41 (남문로2가) 1층 폴더||10:30~22:30
폴더|신제주점|064-711-0934|제주도 제주시 신광로 55(연동) 1층 폴더||10:30~22:00
폴더|신림포도몰점|02-871-9334|서울특별시 관악구 신림로 330 포도몰 5층 폴더||월~목,일11:00~22:00 금,토11:00~22:30
폴더|안산중앙점|031-402-4876|안산시 단원구 고잔로 88, 1층 101호~104호 폴더||11:00~22:30
폴더|충주점|043-851-9704|충청북도 충주시 성서3길 16, 1층 폴더||11:00~22:00
폴더|부산광복2호점|051-231-9625|부산광역시 중구 광복로 82, 1~3층 폴더 (광복동1가)||11:00~22:30
폴더|청주점|043-221-3842|충청북도 청주시 상당구 성안로 41 (남문로2가) 1층 폴더||10:30~22:30
폴더|신제주점|064-711-0934|제주도 제주시 신광로 55(연동) 1층 폴더||10:30~22:00
폴더|신림포도몰점|02-871-9334|서울특별시 관악구 신림로 330 포도몰 5층 폴더||월~목,일11:00~22:00 금,토11:00~22:30
폴더|안산중앙점|031-402-4876|안산시 단원구 고잔로 88, 1층 101호~104호 폴더||11:00~22:30
폴더|충주점|043-851-9704|충청북도 충주시 성서3길 16, 1층 폴더||11:00~22:00
폴더|부산광복2호점|051-231-9625|부산광역시 중구 광복로 82, 1~3층 폴더 (광복동1가)||11:00~22:30
폴더|청주점|043-221-3842|충청북도 청주시 상당구 성안로 41 (남문로2가) 1층 폴더||10:30~22:30
폴더|신제주점|064-711-0934|제주도 제주시 신광로 55(연동) 1층 폴더||10:30~22:00
폴더|신림포도몰점|02-871-9334|서울특별시 관악구 신림로 330 포도몰 5층 폴더||월~목,일11:00~22:00 금,토11:00~22:30
폴더|안산중앙점|031-402-4876|안산시 단원구 고잔로 88, 1층 101호~104호 폴더||11:00~22:30
폴더|충주점|043-851-9704|충청북도 충주시 성서3길 16, 1층 폴더||11:00~22:00
폴더|부산광복2호점|051-231-9625|부산광역시 중구 광복로 82, 1~3층 폴더 (광복동1가)||11:00~22:30
폴더|청주점|043-221-3842|충청북도 청주시 상당구 성안로 41 (남문로2가) 1층 폴더||10:30~22:30
폴더|신제주점|064-711-0934|제주도 제주시 신광로 55(연동) 1층 폴더||10:30~22:00
폴더|신림포도몰점|02-871-9334|서울특별시 관악구 신림로 330 포도몰 5층 폴더||월~목,일11:00~22:00 금,토11:00~22:30
폴더|안산중앙점|031-402-4876|안산시 단원구 고잔로 88, 1층 101호~104호 폴더||11:00~22:30
폴더|충주점|043-851-9704|충청북도 충주시 성서3길 16, 1층 폴더||11:00~22:00
폴더|부산광복2호점|051-231-9625|부산광역시 중구 광복로 82, 1~3층 폴더 (광복동1가)||11:00~22:30
폴더|청주점|043-221-3842|충청북도 청주시 상당구 성안로 41 (남문로2가) 1층 폴더||10:30~22:30
폴더|신제주점|064-711-0934|제주도 제주시 신광로 55(연동) 1층 폴더||10:30~22:00
