##NAME|SUBNAME|ID|TELNUM|TYPE|NEWADDR|XCOORD|YCOORD@@르꼬끄스포르티브
르꼬끄스포르티브|2001중계점|Q1144|02-3399-8511|백화점|서울특별시 노원구  동일로204가길 46 2001중계아울렛|127.0678668|37.6412281
르꼬끄스포르티브|홍대직영점|Q3021|02-326-0025|일반매장|서울특별시 마포구  홍익로 7 소망빌딩 1층|126.9059612|37.5532019
르꼬끄스포르티브|아이파크2점|Q1130|02-2012-4671|백화점|서울특별시 용산구  한강대로23길 55 아이파크몰 6층|126.961856|37.5288539
르꼬끄스포르티브|롯데아울렛서울역(정상)점|Q3031|02-6965-2810|일반매장|서울특별시 중구  한강대로 405 롯데아울렛서울역점 4F|126.9717340524|37.5548376897
르꼬끄스포르티브|롯데본점(상설)점|Q1125||백화점|서울특별시 중구  남대문로 81 롯데백화점|126.9792792|37.5650593
르꼬끄스포르티브|두타3점|Q3052|02-3398-4772|일반매장|서울특별시 중구  장충단로 275 지하1층 르꼬끄스포르티브|127.008733|37.569238
르꼬끄스포르티브|커먼그라운드점|Q3049|02-2122-1188|일반매장|서울특별시 광진구  아차산로 200 마켓홀 1층 르꼬끄스포르티브|127.066038|37.541407
르꼬끄스포르티브|롯데월드몰직영점|Q3015|02-3213-4337|일반매장|서울특별시 송파구  올림픽로 300 롯데월드몰 3층|127.1048006|37.5136017
르꼬끄스포르티브|NC송파점|Q1134|02-2157-5525|백화점|서울특별시 송파구  충민로 66 NC 송파점 영관 5F|127.125665|37.477368
르꼬끄스포르티브|바운더리반포점|Q2203|070-8810-1975|일반매장|서울특별시 서초구  잠원동 121 한강공원잠원안내센터 122-2 한강자전거공방|126.9018281|37.5337534
르꼬끄스포르티브|타임스퀘어몰직영점|Q3002|02-2638-2555|일반매장|서울특별시 영등포구  영중로 15 타임스퀘어 3F 328|126.9033476|37.5170956
르꼬끄스포르티브|신세계영등포점|Q1072|02-2639-1573|백화점|서울특별시 영등포구  영등포동4가 434-5 신세계백화점 신세계백화점 영등포점 A관 6층|126.9075234|37.5127088
르꼬끄스포르티브|W-MALL구로(상설)2점|Q1112|02-2081-0548|백화점|서울특별시 금천구  디지털로 188 (가산동)|126.8892026611|37.482434956
르꼬끄스포르티브|포도몰2점|Q3033|02-881-8153|일반매장|서울특별시 관악구  신림로 330 5층(포도몰)|126.9302342072|37.4838502579
르꼬끄스포르티브|롯데본점(의류)점|Q1001|02-772-3769|백화점|서울 중구 소공동 1번지 롯데백화점 7층 르꼬끄 스포르티브|126.9815818|37.5647906
르꼬끄스포르티브|11번가점|Q6002|02-1599-0110|일반매장|서울 중구 을지로2가 11|126.9848079|37.5664901
