##NAME|SUBNAME|TELNUM|ADDR@@레드페이스
레드페이스|강릉죽헌점|033-645-7942|강원 강릉시 죽헌동 304-1,7
레드페이스|거창점|055-943-1110|경남 거창군 거창읍 대동리 776-1
레드페이스|검단산점|031-793-6226|경기 하남시 창우동 290-1(검단산로 218번길31)
레드페이스|경남고성점|055-672-8600|경남 고성군 고성읍 송학리 260-13  양강빌딩 103
레드페이스|경남남해점|055-863-6111|경남 남해군 남해읍 남변리 369-7
레드페이스|경북의성점|054-833-2868|경북 의성군 의성읍 후죽1리 628-22(중앙길 63)
레드페이스|곤지암점|031-765-1552|경기 광주시 초월읍 쌍동리 178-10
레드페이스|광명사거리점|02-2681-3400|경기 광명시 광명동 149-6
레드페이스|구리삼패점|031-577-0050|경기 남양주시 삼패동 387-2
레드페이스|구미봉곡점|054-472-8884|경북 구미시 선기동 308(송선로 420)
레드페이스|군산영동점|063-443-1130|전북 군산시 영동 7-2
레드페이스|그랜드백화점일산점|031-911-9669|경기 고양시 일산서구 주엽동 22(중앙로 1436) 그랜드백화점 6층
레드페이스|그랜드에비뉴(포항)|054-256-8568|경북 포항시 남구 상도동 582(중흥로 77) 그래드에비뉴 5층
레드페이스|김제점|063-547-5920|전북 김제시 백학동 206-4
레드페이스|김포대곶점|031-996-4542|경기 김포시 대곶면 대명항로 339-1
레드페이스|뉴코아강남점|02-530-5959|서울 서초구 잠원동 70-2 뉴코아아울렛 신관 5층
레드페이스|뉴코아광명점|02-898-7526|경기 광명시 하안동 38   뉴코아아울렛 4층
레드페이스|뉴코아동수원점|031-231-6432|경기 수원시 팔달구 인계동 1114-1  뉴코아아울렛 5층
레드페이스|뉴코아모란점|031-729-1318|경기 성남시 중원구 성남동 349 뉴코아아울렛 6층
레드페이스|뉴코아부천점|032-624-8467|경기 부천시 원미구 상동 539-1 소풍터미널 내 뉴코아아울렛 5층
레드페이스|뉴코아산본점|031-390-7322|경기 군포시 산본동 1231 뉴코아아울렛 3층
레드페이스|뉴코아안산점|031-401-5577|경기 안산시 고잔동 533 뉴코아아울렛 5층
레드페이스|뉴코아울산성남점|052-210-4180|울산 중구 성남동 249-1 뉴코아아울렛 지하1층
레드페이스|뉴코아울산점|052-228-4733|울산 남구 달동 1360-3 뉴코아아울렛 5층
레드페이스|뉴코아인천논현점|032-454-8329|인천 남동구 논현동 650 뉴코아아울렛 2층
레드페이스|뉴코아인천점|032-430-5451|인천 남동구 구월동 1465-1 뉴코아아울렛 6층
레드페이스|뉴코아일산점|031-900-5380|경기 고양시 일산동구 마두동 797 뉴코아아울렛 5층
레드페이스|뉴코아창원점|055-270-3415|경남 창원시 의창구 팔용동 30-1 뉴코아아울렛 3층
레드페이스|뉴코아평촌점|031-478-5028|경기 안양시 동안구 호계동 1039-3 뉴코아아울렛 6층
레드페이스|뉴코아평택점|031-650-6414|경기 평택시 비전동 830-1 뉴코아아울렛 4층
레드페이스|대구봉무점|053-982-5478|대구 동구 봉무동 149-7  102호
레드페이스|대구현풍점|053-611-1171|대구 달성군 현풍면 현풍로 10길 138
레드페이스|대동백화점패션마켓|055-213-8732|경남 창원시 성산구 가음동 47-2 남창원농협유통센터2층
레드페이스|대전대덕점|042-625-3318|대전 대덕구 중리동 363-10
레드페이스|대전정림점|042-584-0496|대전 서구 정림동 532 선주빌딩 1층
레드페이스|대전탄방점|042-471-8231|대전 서구 탄방동 746 로데오타운 129호
레드페이스|도봉산점|02-954-7932|서울 도봉구 도봉동 411-1 제 나동 20-4
레드페이스|도봉산점(상설할인점)|02-954-6767|서울 도봉구 도봉동 411-1(도봉산길 65-5)
레드페이스|동성로2가점|053-252-5765|대구 중구 동성로2가 36-2
레드페이스|동아마트수성점|053-741-3663|대구 수성구 수성동4가 1090-8(수성로 393) 동아마트 지하1층
레드페이스|동아백화점강북(칠곡)점|053-320-7864|대구 북구 읍내동 1343-6 동아백화점 4층
레드페이스|동아백화점구미점|054-459-0606|경북 구미시 송정동 60 동아백화점 5층
레드페이스|동아백화점대구점|053-431-3600|대구 중구 동문동 20-11 동아백화점 5층
레드페이스|동아백화점수성점|053-781-3443|대구 수성구 범물동 1273(지범로 191) 동아백화점 5층
레드페이스|동아쇼핑대구점|053-251-4002|대구 중구 덕산동 53-3 동아쇼핑 6층
레드페이스|디큐브백화점거제점|055-680-0511|경남 거제시 장평동 1211 디큐브백화점 5층
레드페이스|롯데대덕점|042-931-1024|대전 유성구 관평동 887 롯데마트 1층
레드페이스|롯데마트강변점|02-446-5225|서울 광진구 광나루로 56길 85 테크노마트 지하2층
레드페이스|롯데마트고양점|031-938-3535|경기 고양시 덕양구 행신동 941 롯데마트 2층
레드페이스|롯데마트광주월드컵점|062-654-7887|광주 서구 풍암동 423-2 월드컵경기장 內 롯데마트 2층
레드페이스|롯데마트광주첨단점|062-974-3410|광주 광산구 쌍암동 694-3(첨단강변로 99번길 22) 롯데마트 1층
레드페이스|롯데마트구로점|02-2634-1100|서울 구로구 구로동 636-89(경인로 482) 롯데마트 2층
레드페이스|롯데마트구리점|031-551-3456|경기 구리시 인창동 430 롯데마트 2층
레드페이스|롯데마트구미점|054-462-5005|경북 구미시 신평동 465(구미대로 22길 11-0) 롯데마트 2층
레드페이스|롯데마트권선점|031-267-4343|경기 수원시 권선구 권선동 1296-5 롯데마트 1층
레드페이스|롯데마트금정점|051-582-2255|부산 금정구  부곡동 223-1  롯데마트 1층
레드페이스|롯데마트나주점|061-332-4114|전남 나주시 송월동 1106-7 롯데마트 2층
레드페이스|롯데마트당진점|041-352-5775|충남 당진시 원당동 824(정안로 20) 롯데마트 2층
레드페이스|롯데마트덕소점|031-576-2112|경기 남양주시  와부읍 덕소리 501-3  롯데마트 1층
레드페이스|롯데마트부산점|051-802-3773|부산 부산진구 부암동 257(신천대로 241) 롯데마트 2층
레드페이스|롯데마트부산화명점|051-361-3366|부산 북구 화명3동 2273(화명대로 47) 롯데마트 2층
레드페이스|롯데마트부평점|070-8840-6675|인천 부평구 산곡동 159-52(마장로 296) 롯데마트 1층
레드페이스|롯데마트사상점|051-311-5432|부산 사상구 엄궁동 90(낙동대로 733) 롯데마트 3층
레드페이스|롯데마트사하점|051-261-5225|부산 사하구 장림동 1033-2(을숙도대로 610) 롯데마트 2층
레드페이스|롯데마트삼산점|032-505-1188|인천 부평구 삼산동 465-1(길주로 623) 롯데마트 1층
레드페이스|롯데마트상당점|043-284-5885|충북 청주시 상당구 용암동 2634   롯데마트 1층
레드페이스|롯데마트상록점|031-406-0050|경기 안산시 상록구 본오동 880(반석로 8) 롯데마트 1층
레드페이스|롯데마트상무점|062-382-8998|광주 서구 치평동 1239(시청로 40) 롯데마트 3층
레드페이스|롯데마트서대전점|042-543-3535|대전 유성구 유성대로 26-37  롯데마트 1층
레드페이스|롯데마트서울역점|02-312-6100|서울 중구 봉래동2가 122 롯데마트3층
레드페이스|롯데마트선부점|031-402-2345|경기 안산시 단원구 선부동 1086(달미로 64) 롯데마트 2층
레드페이스|롯데마트송파점|02-400-6771|서울 송파구 문정동 150-2  롯데마트 2층
레드페이스|롯데마트시화점|031-488-9339|경기 시흥시 정왕동 1366-4  롯데마트 1층
레드페이스|롯데마트안산점|031-414-4455|경기 안산시 상록구 성포동 590(항가울로 422) 롯데마트 3층
레드페이스|롯데마트양산웅상점|055-362-1551|경남 양산시 삼호동 1011(삼호 1길 34) 롯데마트 2층
레드페이스|롯데마트울산점|052-265-5565|울산 남구 달동 833-1 롯데마트 1층
레드페이스|롯데마트의왕점|031-421-4900|경기 의왕시 내손동 743(계원대학로 7) 롯데마트 2층
레드페이스|롯데마트익산점|063-834-7900|전북 익산시 영등동 833-9 롯데마트 3층
레드페이스|롯데마트잠실점|02-2143-1606|서울 송파구 잠실동 40-1  롯데마트 5층
레드페이스|롯데마트전주송천점|063-274-5775|전북 전주시 덕진구 송천동1가 281-1 롯데마트 1층
레드페이스|롯데마트제주점|064-711-3401|제주 제주시 노형동 708(연북로 1) 롯데마트 3층
레드페이스|롯데마트주엽점|031-911-6543|경기 고양시 일산서구 주엽1동 15(중앙로 1496) 롯데마트 1층
레드페이스|롯데마트진장점|052-283-2552|울산 북구 진장동 283-1  롯데마트 2층
레드페이스|롯데마트진해점|055-541-9100|경남 창원시 진해구 진해대로 762  롯데마트 3층
레드페이스|롯데마트천안성정점|041-522-8228|충남 천안시 서북구 성정동 1486 롯데마트 2층
레드페이스|롯데마트춘천점|033-251-6699|강원 춘천시 온의동 6-25 롯데마트 2층
레드페이스|롯데마트충주점|043-851-1551|충북 충주시 칠금동 849(봉계1길 49) 충주공용버스터미널 롯데마트 2층
레드페이스|롯데마트통영점|055-642-5225|경남 통영시 무전동 1069 롯데마트 2층
레드페이스|롯데마트포항점|054-222-2634|경북 포항시 남구 지곡동 481(지곡로 247-0) 롯데마트 1층
레드페이스|마산내서점|055-232-8815|경남 창원시 마산회원구 내서읍 삼계리 30-1 리오빌딩 101호
레드페이스|마장휴게소|031-637-6556|경기 이천시 마장면 중부고속도로 82 마장휴게소
레드페이스|마천남한산성점|02-406-7314|경기 하남시 학암동 2-7
레드페이스|망우동점|02-432-5115|서울 중랑구 망우동 202-19
레드페이스|메가마트김해점|055-321-8998|경남 김해시 삼정동 371-3(김해대로 2492길 20) 메가마트 2층
레드페이스|메가마트언양점|052-254-1771|울산 울주군 삼남면 교동리 619-6(반구대로 612) 메가마트 1층
레드페이스|메가마트울산점|052-916-0337|울산 북구 진장동 진당 명촌지구 54블럭 1롯트 메가마트 3층
레드페이스|모다아울렛김천구미점|054-910-5044|경북 김천시 아포읍 송천리403 모다아울렛
레드페이스|모다아울렛순천점|061-902-8013|전남 순천시 해룡면 남가리 99 모다아울렛 1층
레드페이스|모다아울렛양산점|055-911-7413|경남 양산시 중부동 685-2 모다아울렛 4층
레드페이스|모다아울렛원주점|033-731-5665|강원 원주시 흥업면 사제리 산140 모다아울렛
레드페이스|모다아울렛인천점|032-288-7753|인천 서구 원창동 381-69 모다아울렛
레드페이스|모다아울렛진주점|055-923-1070|경남 진주시 정촌면 예하리 1276-1 모다아울렛 별관 1층
