##NAME|SUBNAME|ID|TELNUM|NEWADDR|WEBSITE@@코넥스기업
골든블루||123900|051-727-2883|부산광역시 기장군 정관면 농공길 89-2|www.goldenblue.co.kr
골프존데카||183410|1644-8481|경기도 성남시 분당구 야탑로 98 신도리코빌딩 8층|www.decasystem.co.kr
관악산업||076340|02-2240-7900|서울특별시 송파구 올림픽로 293-19 (신천동, 현대타워빌딩 2층)|www.gwan-ak.co.kr
교육혁명||201150|053-358-7992|대구시 북구 침산남로 172,5~6층(침산동)|www.wmproa.com
구스앤홈||329050|02-2157-0123|서울특별시 송파구 송파대로 55, 에이동 607호(장지동, 서울복합물류)|gooseandhome.com
굿센||243870|02-368-8055|서울특별시 서초구 반포대로 22, 7층(서초동, 서초평화빌딩)|www.goodcen.com
그린플러스||186230|041-332-6421|충남 예산군 응봉면 응봉로 50-42|www.greenplus.co.kr
끄렘드라끄렘||237010|02-511-6693|서울시 강남구 언주로 168길 21, 1층(신사동)|www.told.co.kr
나눔테크||244880|062-955-8588|광주광역시 북구 첨단벤처소로 57(월출동)|www.nanoomtech.co.kr
나라소프트||288490|02-3487-7988|서울특별시 서초구 강남대로 163, 2층 (양재동, 혜인빌딩)|www.narasoft.com
내일신문||079180|02-738-9010|서울특별시 종로구 새문안로 43 (신문로2가)|www.naeil.com
네오플럭스||268860|02-560-9760|서울특별시 강남구 테헤란로 534 (대치동, 글라스타워빌딩)|www.neoplux.com
네추럴FNP||086220|043-211-1056|충청북도 청주시 청원구 오창읍 양청송대길 39|www.naturalfnp.com
넷마블네오||298420|02-2271-8603|서울특별시 구로구 디지털로 300 (구로동, 지밸리비즈플라자) 9층|company.netmarble.com
노브메타파마||229500|02-538-1893|서울특별시 강남구 언주로 727 13층 (논현동, 트리스빌딩)|www.novmeta.com
뉴젠홀딩스||227680|02-1544-7230|서울시 구로구 디지털로 26길 61, 602호 (구로동, 에이스하이엔드타워 2차)|www.moduware.co.kr
다원넥스뷰||323350|031-8085-3013|경기도 안산시 단원구 시화호수로 485|www.nexview.co.kr
다이노나||086080|02-578-0810|서울특별시 송파구 올림픽로43길 88 아산생명과학 11층(풍납동, 서울아산병원)|www.dinonainc.com
다이오진||271850|031-701-6488|경기도 성남시 분당구 판교로 255번길 9-22, 302호(삼평동, 우림더블유시티)|www.diogene.co.kr
대동고려삼||178600|041-753-8803|충남 금산군 군북면 군북로 586|www.ddkorea.co.kr
대영씨엔이||252980|033-650-9000|강원도 강릉시 사천면 과학단지로 202-25|www.CNEDRC.com
대우산업개발||140320|02-6244-7000|인천시 연수구 컨벤시아대로 69, 601호(송도동,송도밀레니엄)|www.dwconstruction.com
대원모방||311840|043-275-9181|충청북도 청주시 흥덕구 공단로126번길 37|daewon.co.kr
대주이엔티||114920|070-7015-1323|인천광역시 중구 신포로 4 (사동)|www.daejooent.co.kr
더존다스||072700|02-6233-3000|강원도 춘천시 남산면 버들1길 130|www.duzon.co.kr
더치카페||224850|02-851-3390|서울특별시 금천구 가산디지털1로 25, 806호, 807호(가산동, 대륭테크노타워 17차)|www.dutchcaffe.com
더콘텐츠온||302920|02-2183-1930|서울특별시 강남구 테헤란로 322 동관 601호, 602호, 603호, 604호, 605호(역삼동, 한신인터밸리24)|www.tcokr.com
데이터스트림즈||199150|02-3473-9077|서울특별시 서초구 사임당로 28 6층 (서초동, 청호나이스)|www.datastreams.co.kr
동진건설||026710|054-974-9694|경북 칠곡군 동명면 금암2길 1|
두원석재||270020|070-4280-7529|강원도 원주시 귀래면 귀래리 317 주식회사 두원석재|www.21stone.co.kr
듀켐바이오||176750|02-332-4868|서울특별시 서대문구 경기대로 47 진양빌딩 4층 동관|www.duchembio.com
드림텍||043500|041-532-4070|충청남도 아산시 신창면 서부북로 929|www.idreamtec.co.kr
드림티엔터테인먼트||220110|02-3452-2525|서울특별시 용산구 녹사평대로26길 36 C&C빌딩 2층(이태원동)|www.dreamteaent.co.kr
디비메탈||101910|02-3484-1800|서울시 강남구 테헤란로 432 (대치동) 동부금융센터 21층|www.dongbul.co.kr
디피코||163430|031-688-1500|경기도 군포시 공단로140번길 47-7|www.dpeco.com
라온테크||232680|031-492-0277|경기도 수원시 권선구 산업로156번길 88-4 (고색동)|www.raonrobot.com
라이프사이언스테크놀로지||285770|070-8620-8020|서울특별시 강서구 양천로 401 B-1207(가양동, 강서한강자이타워)|www.lstgrp.com
래몽래인||200350|02-761-9978|서울특별시 강남구 언주로 729 12층(논현동, 마스터스729빌딩)|www.raemongraein.co.kr
럭스피아||092590|070-8671-2530|경기도 수원시 영통구 광교로 109 10층(이의동, 나노소자특화팹센터)|www.luxpialed.com
로보쓰리||238500|02-544-9145|서울특별시 강남구 봉은사로18길 85 BM빌딩 2층|www.robo3.com
롯데글로벌로지스||040830|02-2170-3355|서울특별시 종로구 율곡로 194|www.hlc.co.kr
루켄테크놀러지스||162120|070-8633-8009|경기도 이천시 마장면 중부대로2670번길 94|www.luken.co.kr
리독스바이오||328270|031-353-6451|경기도 화성시 향남읍 제약공단3길 83 (상신리)|www.redoxbio.co.kr
리메드||302550|042-934-5560|대전광역시 유성구 테크노2로 187 (용산동, 미건테크노월드2 301호)|www.remed.kr
마이다스IT||050480|031-789-2098|경기도 성남시 분당구 판교로 228번길 17(삼평동, 마이다스아이티)|www.midasit.com
매일방송||078060|02-2000-3072|서울특별시 중구 퇴계로 190 매경미디어센터|www.mbn.co.kr
메가젠임플란트||102600|053-222-2820|대구광역시 달성군 다사읍 세천로7길 45 (세천리)|www.megagen.co.kr
메디쎄이||200580|031-879-0414|충청북도 제천시 한방엑스포로 129 (제천시 왕암동 1389)|www.medyssey.co.kr
메디안디노스틱||233250|033-244-0100|강원도 춘천시 동내면 순환대로 878|www.mediandiagnostics.com
메디젠휴먼케어||236340|02-555-9808|서울특별시 강남구 테헤란로 223 큰길타워빌딩 20층|www.medizencare.com
메디포럼||250900|02-465-1777|경기도 군포시 군포로 488-1 3층(당동, 흥명빌딩)|www.gmediforum.com
