##NAME|SUBNAME|ID|TELNUM|NEWADDR|WEBSITE@@코스닥기업
가비아||079940|1544-4370|경기도 성남시 분당구  대왕판교로 660 유스페이스1 B동 401호,501호|www.gabia.com
가온미디어||078890|031-724-8500|경기도 성남시 분당구 성남대로 884-3, 가온미디어 빌딩 (야탑동)|www.kaonmedia.com
감마누||192410|031-831-8800|경기도 화성시 동탄면 금곡로 185-44|www.gammanu.com
강스템바이오텍||217730|02-888-1590|서울특별시 강남구 테헤란로 512 신안빌딩 17층|www.kangstem.com
갤럭시아컴즈||094480|1566-0123|서울시 강남구 광평로 281 수서빌딩 15층|www.galaxiacommunications.co.k
게임빌||063080|02-876-5252|서울특별시 금천구 가산디지털1로 131 에이동 (가산동)|www.gamevil.com
경남스틸||039240|055-274-2066|경상남도 창원시 성산구 연덕로15번길 10 (웅남동)|www.ksteel.co.kr
경남제약||053950|055-572-8700|경남 의령군 의령읍 구룡로4남길 79|www.kyungnampharm.co.kr
경동제약||011040|031-352-0990|경기도 화성시 양감면 제약단지로 224-3|www.kdpharma.co.kr
경창산업||024910|053-721-1041|대구광역시 달서구 성서로35길 6 월암동|www.kc.co.kr
고려시멘트||198440|061-390-6300|전라남도 장성군 장성읍 영천로 35 고려시멘트|koreacement.co.kr/
고려신용정보||049720|02-3450-9000|서울특별시 서초구 서초대로 353, 유니온타워 (서초동)|www.koryoinfo.co.kr
고려제약||014570|031-634-7100|경기도 이천시 신둔면 원적로 69-10|www.nicepharma.com
고영||098460|02-6343-6000|서울시 금천구 가산디지털2로 53 한라시그마밸리 14,15층|www.kohyoung.com
골드퍼시픽||038530|02-2029-0700|서울특별시 금천구 가산디지털1로 131 B동 604호|www.corecross.com
골든브릿지이안제1호기업인수목적||294160|02-3779-3140|서울특별시 서대문구 충정로 50 (충정로3가, 골든브릿지빌딩)|
골든센츄리||900280|86-514-80806067|P.O.Box31119 GrandPavilion, HibiscusWay, 802WestBayRoad, GrandCayman, KY1-1205CaymanIslands|www.jsj-wheel.co.kr
골프존||215000|1577-4333|서울특별시 강남구 영동대로 735|www.golfzone.com
골프존뉴딘홀딩스||121440|1577-4333|서울특별시 강남구 영동대로 735|company.golfzon.com
광림||014200|043-260-9111|충북 청원군 현도면 청남로 484|www.kanglim.com
광진실업||026910|051-204-9102|부산광역시 사하구 하신중앙로 160 (신평동)|www.kjsteel.co.kr
광진윈텍||090150|051-711-2222|부산시 기장군 장안읍 장안산단9로 110|www.kwangjinwintec.com
교보7호스팩||267320|02-3771-9294|서울특별시 영등포구 의사당대로 97 (여의도동)|
교보8호스팩||307280|02-3771-9284|서울특별시 영등포구 의사당대로 97|
구영테크||053270|053-592-6111|대구광역시 달성군 구지면 국가산단대로39길 119 (창리)|www.guyoungtech.com
국보디자인||066620|02-6220-1800|서울특별시 마포구 월드컵로10길 49 (서교동)|www.ikukbo.com
국순당||043650|033-3404-300|강원도 횡성군 둔내면 강변로 975|www.ksdb.co.kr
