##NAME|SUBNAME|ID|TELNUM|NEWADDR|WEBSITE@@일반상장기업
가온전선||000500|031-459-6207|경기도 군포시 엘에스로45번길 120 (금정동)|www.gaoncable.com
강남제비스코||000860|051-892-4221|부산광역시 부산진구 냉정로 289 (가야동)|www.jevisco.com
강원랜드||035250|033-590-7700|강원도 정선군 사북읍 하이원길 265|www.kangwonland.com
갤럭시아에스엠||011420|02-775-1300|서울시 강남구 학동로 311|www.galaxiasme.com
경농||002100|02-3488-5800|서울특별시 서초구 강남대로39길 15-10 한라비발디스튜디오193|www.knco.co.kr
경동나비엔||009450|031-659-1144|경기도 평택시 서탄면 수월암길 95|www.kdnavien.co.kr
경동도시가스||267290|052-219-5300|울산광역시 북구 염포로 260-10(진장동) 주식회사 경동도시가스|www.kdgas.co.kr
경동인베스트||012320|052-219-5300|경기도 성남시 분당구 수내로46번길 4 경동빌딩|www.kdinvest.co.kr
경방||000050|02-2638-6000|서울특별시 영등포구 영중로 15 (영등포동4가)|www.kyungbang.co.kr
경보제약||214390|02-2175-2315|충청남도 아산시 실옥로 174|www.kbpharma.co.kr
경인양행||012610|032-571-7498|인천광역시 서구 건지로 199 (석남동)|www.kyungin.co.kr
경인전자||009140|02-2113-2000|서울시 금천구 가산디지털 2로 184 (경인/벽산디지털 밸리 2차 1411호)|www.kie.co.kr
계룡건설||013580|042-480-7114~5|대전시 서구  월평중로 21 (월평동 519 계룡건설빌딩)|www.krcon.co.kr
계양전기||012200|02-559-6800|서울특별시 강남구 테헤란로 508 (대치동)해성2빌딩 2층|www.keyang.co.kr
고려개발||004200|031-420-9000|경기도 용인시 수지구 풍덕천로 112 501 (풍덕천동, 하나프라자빌딩)|www.kdc.co.kr
고려산업||002140|051-600-5000|부산시 사상구 새벽시장로 21 (감전동 127-17)|www.hafeed.com
고려아연||010130|02-519-3416|서울특별시 강남구 강남대로 542 (논현동)|www.koreazinc.co.kr
고려제강||002240|051-760-1700|부산시 수영구 구락로 150|www.kiswire.com
광동제약||009290|02-6006-7777|서울특별시 서초구 서초중앙로 85, 가산빌딩 3~8층 (서초동)|www.ekdp.com
광명전기||017040|031-494-0720|경기도 안산시 단원구 목내로 160|www.kmec.co.kr
광전자||017900|063-839-1111|전라북도 익산시 약촌로8길 62-8 (어양동)|www.auk.co.kr
광주신세계||037710|062-360-1234|광주시 서구 무진대로 932 (광천동)|www.gjshinsegae.com
교보증권||030610|02-3771-9000|서울시 영등포구 의사당대로 97 (여의도동 26-4)교보증권빌딩|www.iprovest.com
국도화학||007690|02-3282-1400|서울시 금천구 가산디지털 2로 61|www.kukdo.com
국동||005320|02-3407-7710|서울시 동대문구 천호대로 405 7,8층(동보빌딩)|www.kd.co.kr
국보||001140|02-765-5544|서울특별시 중구 소공로 88 (소공동)|www.kukbo.com
국제약품||002720|031-781-9081~9|경기도 성남시 분당구 야탑로 96-8|www.kukjepharm.co.kr
그린케미칼||083420|041-661-5000|충청남도 서산시 대산읍 독곶2로 103|www.kpxgc.com
극동유화||014530|055-370-9900|경남 양산시 어실로 101|www.kdoc.co.kr
금강공업||014280|051-264-8881|부산시 사하구 다산로 110  (다대동 1512-3)|www.kumkangkind.com
금비||008870|031-632-5280|경기도 이천시 부발읍 중부대로1707번길 13|www.e-kumbi.co.kr
금양||001570|051-316-5881|부산광역시 사상구 낙동대로960번길 81 (감전동)|www.kyc.co.kr
금호산업||002990|061-333-7612|전남 나주시 시청길 4|www.kumhoenc.com
금호석유||011780|02-6961-1114|서울시 중구 청계천로 100(수표동, 시그니쳐타워스 서울)|www.kkpc.com
금호에이치티||214330|062-958-2700|광주광역시 광산구 용아로 717 (오선동)|www.kumhoht.co.kr
금호전기||001210|02-707-4000|서울특별시 마포구 마포대로4다길 41 마포타워빌딩|www.khe.co.kr
금호타이어||073240|062-940-2114|광주광역시 광산구 어등대로 658 (소촌동)|www.kumhotire.co.kr
기신정기||092440|032-820-1600|인천시 남동구 은봉로 111|www.kishin.com
기아차||000270|02-3464-1114|서울특별시 서초구 헌릉로 12 (양재동)|www.kia.com
기업은행||024110|02-729-6114|서울특별시 중구 을지로 79, 중소기업은행본점건물 (을지로2가)|www.ibk.co.kr
까뮤이앤씨||013700|031-633-9114|경기도 이천시 대월면 경충대로 1937번길 57|www.camusenc.com
깨끗한나라||004540|02-2270-9200|서울특별시 중구 삼일대로6길 5, 신조양빌딩 8층 (충무로2가)|www.kleannara.com
나노메딕스||074610|031-366-9600|경기도 화성시 비봉면 현대기아로 818-11|www.en3.co.kr
남광토건||001260|02-3011-0114|경기도 용인시 기흥구 흥덕중앙로 120 비122호(영덕동, 흥덕유타워)|www.namkwang.co.kr
남선알미늄||008350|053-610-5200|대구시 달성군 논공중앙로 288|www.namsun.co.kr
남성||004270|02-2109-1550|서울시 구로구 디지털로 31길 20 (구로동 197-22 크라운프라자)|www.namsung.com
남양유업||003920|02-2010-6601|서울특별시 강남구 도산대로 240 1964빌딩|www.namyangi.com
남영비비안||002070|02-3780-1114|서울시 용산구 서빙고로 51길 52|www.namyeung.co.kr
남해화학||025860|061-688-5354|서울특별시 강남구 테헤란로113길 15 (삼성동)|www.nhchem.co.kr
넥센||005720|055-333-0771|경상남도 김해시 김해대로 2595 (안동)|www.nexencorp.co.kr
넥센타이어||002350|055-370-5114|경남 양산시 충렬로 355(유산동)|www.nexentire.com
넥스트사이언스||003580|02-6925-4450|강원도 정선군  사북읍 동탄길 32|www.dongwoncorp.com
넷마블||251270|02-2271-7114|서울특별시 구로구 디지털로 300(구로동, 지밸리비즈플라자)|www.netmarble.com
노루페인트||090350|031-467-6114|경기도 안양시 만안구 박달로 351|www.noroopaint.com
노루홀딩스||000320|031-467-6114|경기도 안양시 만안구 박달로 351|www.norooholdings.co.kr
녹십자||006280|031-260-9300|경기도 용인시 기흥구 이현로30번길 107 (보정동)|www.greencross.com
녹십자홀딩스||005250|031-260-9300|경기도 용인시 기흥구 이현로30번길 107 (보정동)|www.greencross.com
농심||004370|02-820-7114|서울특별시 동작구  여의대방로 112|www.nongshim.com
농심홀딩스||072710|02-820-7820|서울시 동작구  여의대방로 112 (신대방동 370 농심빌딩)|www.nongshimholdings.co.kr
다스코||058730|061-370-2114|전남 화순군 동면 동농공길 26-2|www.dast.co.kr
다우기술||023590|070-8707-1000|경기도 용인시 수지구 디지털벨리로 81|www.daou.co.kr
다함이텍||009280|02-865-9792|서울특별시 금천구 가산디지털1로 52 (가산동)|www.da-haam.com
대교||019680|02-829-1114|서울시 관악구 보라매로 3길 23(보라매동 729-21)  대교타워|www.daekyo.com
대구백화점||006370|053-423-1234|대구광역시 중구 동성로 30 (동성로2가)|www.debec.co.kr
대덕전자||008060|031-362-8100|경기도 안산시 단원구 강촌로 230 (목내동)|www.daeduck.com
대동공업||000490|053-610-3000|대구광역시 달성군 논공읍 논공중앙로34길 35|www.daedong.co.kr
대동전자||008110|02-855-5121|서울시 금천구 가산디지털1로 33|www.daidong.com
대림산업||000210|02-2011-7114|서울시 종로구 종로1길 36 대림빌딩|www.daelim.co.kr
대림씨엔에스||004440|02-311-3300|서울특별시 중구 을지로5길 16 삼화타워 5층|www.daelimcns.co.kr
대림통상||006570|02-730-9811|서울시 서대문구 연희로 142 (연희동 87-9)|www.dltc.co.kr
대림B&Co||005750|055-280-8400|경남 창원시 성산구 공단로 52 (양곡동)|www.daelimbath.com
대상||001680|02-2220-9500|서울시 동대문구 천호대로 26 대상빌딩 (신설동 96-48)|www.daesang.com
대상홀딩스||084690|02-2211-6533|서울특별시 중구 세종대로9길 41 (서소문동)|www.daesang.com
대성산업||128820|02-2170-2125|서울시 구로구 경인로 662 디큐브시티|www.daesung.co.kr
대성에너지||117580|053-606-1000|대구시 중구 명덕로 85(남산동)|www.daesungenergy.com
대성홀딩스||016710|053-606-1000|대구광역시 중구 명덕로 85 (남산동)|www.daesung-holdings.com
대신/2X/니켈선물/ETN(H)||510007|02-769-2000|서울특별시 중구 삼일대로 343 저동1가 대신파이낸스센터|www.daishin.com
대신/2X/아연선물/ETN(H)||510005|02-769-2000|서울특별시 중구 삼일대로 343 저동1가 대신파이낸스센터|www.daishin.com
대신/골드/커버드콜/타겟/5%인컴/ETN(H)||510011|02-769-2000|서울특별시 중구 삼일대로 343 저동1가 대신파이낸스센터|www.daishin.com
대신/니켈선물/ETN(H)||510003|02-769-2000|서울특별시 중구 삼일대로 343 저동1가 대신파이낸스센터|www.daishin.com
