##NAME|SUBNAME|TELNUM|NEWADDR|ETCADDR|TYPE|TYPE2|SINCE|WEBSITE@@기타도서관
강북점자도서관|||서울 강북구||장애인도서관||1992|
대구대학교점자도서관|||경북 경산시||장애인도서관||1981|
대구점자 도서관|||대구 달서구||장애인도서관||1996|
대전점자도서관|||대전 중구||장애인도서관||1996|
마포점자도서실|||서울 마포구||장애인도서관||1992|
무지개도서관|||충북 청주시 흥덕구||장애인도서관||1997|
부산점자도서관|||부산 사상구||장애인도서관||1983|
서대문농아인복지관 수화영상도서관|||서울 서대문구||장애인도서관||2015|
서울시각장애인복지관점역출판팀|||서울 송파구||장애인도서관||1991|
서울점자도서관|||서울 노원구||장애인도서관||1992|
성남시한마음점자도서관|||경기 성남시 분당구||장애인도서관||2011|
강서점자도서관|||서울 강서구||장애인도서관||2005|
성동장애인종합복지관|||서울 성동구||장애인도서관||1993|
성북점자 도서관|||서울 성북구||장애인도서관||2012|
소리샘 도서관|||서울 동작구||장애인도서관||2001|
소리작은도서관|||경남 김해시||장애인도서관||2010|
송암점자도서관|||인천 남구||장애인도서관||1999|
송파시각장애인정보문화센터|||서울 송파구||장애인도서관||1997|
실로암점자도서관|||서울 관악구||장애인도서관||2000|
안양시수리장애인종합복지관|||경기 안양시 만안구||장애인도서관||2003|
영광시각장애인모바일점자도서관|||서울 서대문구||장애인도서관||2011|
영상 도서관|||대전 대전천동로||장애인도서관||2014|
강원점자도서관|||강원 춘천시||장애인도서관||2002|
울산광역시점자도서관|||울산 남구||장애인도서관||2006|
전남점자도서관|||전남 목포시||장애인도서관||2001|
전라남도시각장애인점자도서관|||전남 목포시||장애인도서관||2006|
전라북도점자도서관|||전북 전주시 덕진구||장애인도서관||2001|
전북시각장애인도서관|||전북 전주시 완산구||장애인도서관||2000|
제주도 농아 복지관|||제주 제주시||장애인도서관||2005|
제주도 문화정보 점자도서관|||제주 제주시||장애인도서관||2000|
제주점자도서관|||제주 제주시||장애인도서관||2004|
책드림도서관|||강원 춘천시||장애인도서관||2005|
청음회관|||서울 강남구||장애인도서관||1985|
경기도시각장애인도서관|||경기 수원시 팔달구||장애인도서관||2001|
충청남도점자도서관|||충남 천안시 서북구||장애인도서관||2002|
하상시각장애인도서관|||서울 강남구||장애인도서관||1982|
한국시각장애인복지재단 점자도서관|||서울 강동구||장애인도서관||1983|
한국학생 점자도서관|||서울 자하문로||장애인도서관||2009|
해밀 도서관|||경기 부천시 원미구||장애인도서관||2008|
경기북부 시각장애인 점자 도서관|||경기 의정부시||장애인도서관||2006|
경남점자정보도서관|||경남 창원시 마산합포구||장애인도서관||2002|
경북점자 도서관|||경북 포항시 북구||장애인도서관||1998|
광주점자도서관|||광주 남구||장애인도서관||1998|
달구벌점자도서관|||대구 달서구||장애인도서관||2011|
강릉아산병원의학정보실||033-610-3013|강릉시 사천면 방동리 415||전문도서관|민간|1997|
강원도교육연구원 도서실||033-250-2436|춘천시 옥천동  24||전문도서관|공공|1998|
강원도교육연수원 도서실||033-653-7006|강릉시 초당동  57-18||전문도서관|공공|-|
강원도농업기술원 문헌정보실||033-248-6045|춘천시 우두동  402||전문도서관|공공|0000|
강원도의회 자료실||033-259-6306|춘천시 봉의동  15||전문도서관|공공|-|
강원도인재개발원 도서실||033-248-6236|춘천시 동면 만천3리  324-1||전문도서관|공공|0000|
강원발전연구원 정보자료실||033-250-1315|춘천시 중앙로1가  5  강원발전연구원 402호||전문도서관|공공|1994|
국립춘천박물관 도서실||033-260-1528|춘천시 석사동  산27-1||전문도서관|공공|0000|
국민건강보험 전문도서관||033-736-4117|강원도 원주시 건강로 32 (반곡동) 지하 1층 전문도서관||전문도서관|공공|0000|
한국관광공사자료실||033-738-3737|강원도 원주시 세계로 10 (반곡동) 한국관광공사 홍보관 3층 자료실||전문도서관|공공|1976|
한림대부속춘천성심병원 도서실||033-240-5128|춘천시 교동  153||전문도서관|민간|1984|
한림대학교 일본학연구소 일본학도서관||033-248-3216|강원 춘천시 옥천동 한림대학교 일본학연구소||전문도서관|민간|2003|
(주)녹십자 자료실||031-260-9676|용인시 구성면 보정리  303 개발본부||전문도서관|민간|0000|
(주)웅진씽크빅 도서실||031-956-7431|파주시 교하읍 문발리  535-1 (주)웅진씽크빅 2F 도서실||전문도서관|민간|1990|
KCC중앙연구소자료실||031-288-3066|용인시 기흥구 마북동  83||전문도서관|민간|-|
KT정보통신도서관||031-727-4882|성남시 분당구 정자동  KT본사||전문도서관|민간|-|
NHN LIBRARY 1||031-784-4898|경기 성남시 분당구 정자동 178-1 NHN 그린팩토리 1,2층||전문도서관|민간|2010|
SK케미칼연구소도서실||031-240-8311|수원시 장안구 정자동  600||전문도서관|민간|0000|
㈜서영엔지니어링 자료실||02-6915-7024|경기 성남시 분당구 수내동 6-3 서영빌딩||전문도서관|민간|1991|
가톨릭대성빈센트병원 도서실||031-249-7748|경기도 수원시 팔달구 중부대로 93 (지동) 가톨릭대학교 성빈센트병원 별관 1층 의학도서실||전문도서관|민간|1967|
가톨릭대의정부성모병원 도서실||031-820-3538|의정부시 금오동  65-1||전문도서관|민간|-|
가톨릭대학교 부천성모병원 의학정보실||032-340-2209|경기도 부천시 소사로 327 (소사동) 327||전문도서관|민간|1970|
경기도 행정도서관||031-8008-3759|경기도 수원시 팔달구 효원로 1 (경기도청)||전문도서관|공공|1963|
경기도교육정보연구원 문헌자료실||031-249-0726|수원시 장안구 조원동  536-19||전문도서관|공공|1962|
경기도교육청 기록관||031-240-6346|경기 수원시 장안구 조원동 조원로 18 경기도교육정보기록원||전문도서관|공공|2007|
경기도박물관 자료실||031-783-0627|용인시 기흥구 상갈동  85||전문도서관|공공|1996|
경기도사이버도서관||031-8008-6705|수원시 팔달구 신풍동  123-69||전문도서관|공공|2001|
경기도외국어교육연수원 도서실||031-680-3634|평택시 안중읍 학현리  9-26||전문도서관|공공|1997|
경기도율곡교육연수원 도서실||031-950-0037|파주시 법원읍 동문리  산25||전문도서관|공공|-|
경기문화재단 경기문화예술자료실||031-231-7281|수원시 팔달구 인계동  1116  6층||전문도서관|공공|-|
경기연구원 자료실||031-250-3261|경기도 수원시 장안구 경수대로 1150 (파장동) 신관 2층 경기연구원 정보자료실||전문도서관|공공|1996|
고등기술연구원 정보자료실||031-330-7213|용인시 백암면  633-2||전문도서관|민간|-|
고려개발㈜ 자료실||031-420-9932|안양시 동안구 관양2동  954-2||전문도서관|민간|-|
고용노동연수원 자료실||031-760-7806|경기도 광주시 오포읍 봉골길 229 (문형리, 고용노동연수원)||전문도서관|공공|2007|
국군의무사령부 자료실||031-725-5316|성남시 분당구 율동  산13-4 사서함 100호||전문도서관|민간|-|
국립수목원 도서실||031-540-2039|포천군 소흘읍 직동리  51-7||전문도서관|공공|2003|
국립현대미술관 도서자료실||02-2188-6056|경기도 과천시 광명로 313 (막계동) 313 (국립현대미술관)||전문도서관|공공|1981|
국민건강보험공단일산병원의학도서실||031-900-3396|고양시 일산구 백석동  1232||전문도서관|공공|2000|
국사편찬위원회 자료정보실||02-500-8244|과천시 중앙동   2-6 국사편찬위원회||전문도서관|공공|1946|
김포우리병원 의학도서관||031-999-1928|경기 김포시 걸포동 389-15||전문도서관|민간|2007|
노동부 자료관||02-504-4335|경기 과천시 중앙동 노동부 정부제2종합청사내 3동 B105호 노동부자료관실||전문도서관|공공|1982|
대순진리회 중앙도서관||031-887-9311|여주시 강천면 가야리  650-2 대순진리회 중앙도서관||전문도서관|민간|2002|
대진의료재단 분당제생병원 의학도서실||031-779-0457|성남시 분당구 서현동  255-2 분당제생병원 도서실(별관3층)||전문도서관|민간|1998|
