##NAME|SUBNAME|TELNUM|ADDR|NEWADDR@@모닝글로리
모닝글로리|거제나라문구센터점|055-632-4131|경남 거제시 고현동 70-10 1~3층|경남 거제시 고현로14길 43 (고현동) 1~3층
모닝글로리|관산점|031-963-6009|경기 고양시 덕양구 관산동 180-7 1층 104,105호|경기 고양시 덕양구 통일로754번길 15 (관산동) 1층 104,105호
모닝글로리|계백로점|042-221-8742|대전 중구 문화동 1-13 기독교연합봉사회관 B104|대전 중구 계백로 1712 (문화동) 기독교연합봉사회관 B104
모닝글로리|봉일천점|031-942-1100|경기 파주시 조리읍 봉일천리 204-9 1층|경기 파주시 조리읍 봉천로 42 1층
모닝글로리|운정점|031-947-2111|경기 파주시 목동동 949 1층|경기 파주시 청암로17번길 67 (목동동) 1층
모닝글로리|성사점|0507-1349-4744|경기 고양시 덕양구 성사동 703-8 지하 1층|경기 고양시 덕양구 고양대로 1381 (성사동) 지하 1층
모닝글로리|용산LS점|02-798-1413|서울 용산구 한강로2가 191 지하 1층|서울 용산구 한강대로 92 (한강로2가) 지하 1층
모닝글로리|롯데캐슬/경희궁점|02-723-3334|서울 종로구 무악동 89|서울 종로구 통일로 230 (무악동, 경희궁 롯데캐슬)
모닝글로리|쌍문점(엘지트윈문고)|02-996-8324|서울 도봉구 쌍문동 20-4 1층|서울 도봉구 도당로 6 (쌍문동, 쌍문동 LG트윈빌2) 1층
모닝글로리|진건점|02-793-5146|경기 남양주시 진건읍 송능리 178-4|경기 남양주시 진건읍 진건오남로390번길 67
모닝글로리|송도점|032-832-1518|) 인천 연수구 인천타워대로132번길 30 (송도동) 1층(송도동 휴먼빌|인천 연수구 인천타워대로132번길 30 (송도동) 1층(송도동 휴먼
