##NAME|SUBNAME|TELNUM|ADDR|NEWADDR|OT|SUBNAME2|URL|XCOORD|YCOORD@@BMW서비스센터
BMW서비스센터|강남역/서비스/센터|02-586-3331|서울특별시 서초구 서초동 1316-18 |서울특별시 서초구 서초대로71길 10|[2019년5월27일부터]-평일:09:00~18:00-토요일:09:00~13:00-일요일:휴무|코오롱/모터스|http://www.kolonmotors.com/|127.0249052|37.4980784
BMW서비스센터|강북/서비스/센터|02-3444-7301|서울특별시 강북구 미아동 374-1 |서울특별시 강북구 도봉로 101|[8/20부터운영시간]-평일:09:00~18:00-토요일:09:00~16:00|한독/모터스|http://www.bmwhandok.co.kr/|127.0290390|37.6180150
BMW서비스센터|강서/서비스/센터|02-2661-7401|서울특별시 강서구 공항동 14-81|서울특별시 강서구 공항대로 59|[8/20부터운영시간]-평일:09:00~18:00-토요일:09:00~16:00|바바리안/모터스|http://www.bavarian.co.kr/|126.8139800|37.5613270
BMW서비스센터|교대/서비스/센터|02-3472-7301|서울특별시 서초구 서초3동 1597-10 |서울특별시 서초구 효령로53길 62|[2019년5월27일부터]-평일:09:00~18:00-토요일:09:00~13:00-일요일:휴무|코오롱/모터스|http://www.kolonmotors.com/|127.0132120|37.4874610
BMW서비스센터|대치/서비스/센터|02-569-7401|서울특별시 강남구 대치동 1006-1|서울특별시 강남구 영동대로 340|[2019년5월27일부터]-평일:09:00~18:00-토요일:09:00~13:00-일요일:휴무|코오롱/모터스|http://www.kolonmotors.com/|127.0658790|37.5050380
BMW서비스센터|도곡/패스트레인/서비스/센터|02-575-7601|서울특별시 강남구 도곡동 518-2 |서울특별시 강남구 논현로 28길 17|[8/20부터운영시간]-평일:09:00~18:00-토요일:09:00~16:00|도이치/모터스|http://www.deutschmotors.co.kr/|127.0437000|37.4831710
BMW서비스센터|동대문/서비스/센터|02-2244-7601|서울특별시 동대문구 답십리동 530-18 |서울특별시 동대문구 고미술로 91|[8/20부터운영시간]-평일:09:00~18:00-토요일:09:00~16:00|도이치/모터스|http://www.deutschmotors.co.kr/|127.0566340|37.5649140
BMW서비스센터|방배/서비스/센터|02-3477-7401|서울특별시 서초구 방배동 810-1 |서울특별시 서초구 방배로 218 |[8/20부터운영시간]-평일:09:00~18:00-토요일:09:00~16:00|한독/모터스|http://www.bmwhandok.co.kr/|126.9908770|37.4927230
BMW서비스센터|서초/중앙/서비스/센터|02-466-7301|서울특별시 서초구 서초동 1594-1 |서울특별시 서초구 효령로 55길 45-13|[8/20부터운영시간]-평일:09:00~18:00-토요일:09:00~16:00|한독/모터스|http://www.bmwhandok.co.kr/|127.0135240|37.4866030
BMW서비스센터|서초/패스트레인/서비스/센터|02-521-7301|서울특별시 서초구 서초동 1582-2 |서울특별시 서초구 반포대로 72|[8/20부터운영시간]-평일:09:00~18:00-토요일:09:00~16:00|한독/모터스|http://www.bmwhandok.co.kr/|127.0105640|37.4868960
