##NAME|SUBNAME|SUBNAME2|ORGNAME|ID|TELNUM|ADDR|NEWADDR|WEBSITE|XCOORD|YCOORD
Ford|용산/서비스센터|더파크모터스|용산 서비스센터(더파크모터스)|A0B24|02-6177-1000|서울특별시 용산구 이촌동 212-13|서울특별시 용산구 이촌로 24-4 (이촌동)|www.theford.co.kr|126.954277|37.529701
Ford|마포/전시장|더파크모터스|마포 전시장(더파크모터스)|905822|02-6420-1000|서울특별시 마포구 합정동 426-8번지|서울특별시 마포구 월드컵로 29 (합정동)|www.theLincoln.co.kr|126.912106|37.552055
Ford|서초/서비스센터|프리미어모터스|서초 서비스센터(프리미어모터스)|A0B02|02-536-5150|서울특별시 서초구 잠원동 55-1|서울특별시 서초구 잠원로 189 (잠원동)|www.premiermotors.co.kr|127.012656|37.519507
Ford|신사/전시장|선인자동차|신사 전시장(선인자동차)|905693|02-3444-1300|서울특별시 강남구 논현동 105-7 두산빌딩 1층|서울특별시 강남구 언주로 726 (논현동, 두산빌딩 1층)|www.suninLincoln.co.kr|127.026429|37.519342
Ford|미아/전시장|더파크모터스|미아 전시장(더파크모터스)|905823|02-6355-1000|서울특별시 성북구 하월곡동 81-356|서울특별시 성북구 월계로 30 2K 빌딩 (하월곡동)|www.theLincoln.co.kr|127.033628|37.610422
Ford|북부/서비스센터|더파크모터스|북부 서비스센터(더파크모터스)|A0B16|02-6370-1000|서울특별시 강북구 미아동 707-53|서울특별시 강북구 솔샘로 277-4 (미아동)|www.theford.co.kr|127.023624|37.61882
Ford|영등포/전시장|프리미어모터스|영등포 전시장(프리미어모터스)|905681|02-6941-3000|서울특별시 영등포구 영등포동 7가 29-28|서울특별시 영등포구 국회대로 664 (영등포동7가)|www.premiermotors.co.kr|126.907663|37.524958
Ford|동대문/전시장|선인자동차|동대문 전시장(선인자동차)|905661|02-2246-2100|서울특별시 성동구 용답동 238-11|서울특별시 성동구 가람길 283 (용답동)|www.suninLincoln.co.kr|127.069098|37.559575
Ford|강북/서비스센터|선인자동차|강북 서비스센터(선인자동차)|A0B65|02-2216-1100|서울특별시 성동구 용답동 238-11|서울특별시 성동구 가람길 283 (용답동)|www.suninford.co.kr|127.069098|37.559575
Ford|방배/전시장|프리미어모터스|방배 전시장(프리미어모터스)|905677|02-6929-3000|서울특별시 서초구 방배동 901-1 장산빌딩 1층|서울특별시 서초구 방배로 132 (방배동)|www.premiermotors.co.kr|126.995175|37.486026
Ford|서초/전시장|선인자동차|서초 전시장(선인자동차)|905692|02-535-3800|서울특별시 서초구 서초동 1536-6|서울특별시 서초구 반포대로 63 (서초동, 진석빌딩 1층)|www.suninLincoln.co.kr|127.010131|37.486104
Ford|대치/전시장|선인자동차|대치 전시장(선인자동차)|905691|02-3442-2300|서울특별시 강남구 대치동 968-4 일동빌딩 1층|서울특별시 강남구 영동대로 333 (대치동)|www.suninLincoln.co.kr|127.064858|37.504124
Ford|강서/서비스센터|선인자동차|강서 서비스센터(선인자동차)|A0B66|02-3661-0011|서울특별시 강서구 등촌동 640-11|서울특별시 강서구 화곡로 384 (등촌동)|www.suninford.co.kr|126.85382|37.557591
Ford|양재/익스프레스/서비스센터|선인자동차|양재 익스프레스 서비스센터(선인자동차)|A0B54|02-2057-8100|서울특별시 서초구 양재동 103-9|서울특별시 서초구 바우뫼로18길 5 (양재동)|www.suninford.co.kr|127.032521|37.4746
Ford|강서/전시장|선인자동차|강서 전시장(선인자동차)|905909|02-2063-6300|서울시 강서구 등촌동 680-5 영광빌딩 1층|서울특별시 강서구 강서로 412 (등촌동, 영광빌딩 1층)|www.suninLincoln.co.kr|126.839831|37.562258
Ford|구리/전시장|더파크모터스|구리 전시장(더파크모터스)|905821|031-8034-1000|경기도 구리시 교문동 205-3 한화생명 빌딩 1층|경기도 구리시 경춘로 158 (교문동, 한화생명빌딩)|www.theLincoln.co.kr|127.132623|37.600487
Ford|송파/서비스센터|프리미어모터스|송파 서비스센터(프리미어모터스)|A0B03|02-2039-3001|서울특별시 송파구 방이동 182-5 포드빌딩|서울특별시 송파구 위례성대로 118 (방이동)|www.premiermotors.co.kr|127.124566|37.5127
Ford|송파/전시장|프리미어모터스|송파 전시장(프리미어모터스)|905680|02-6928-3000|서울특별시 송파구 방이동 182-5 포드빌딩|서울특별시 송파구 위례성대로 118 (방이동)|www.premiermotors.co.kr|127.124582|37.512676
Ford|일산/전시장|선인자동차|일산 전시장(선인자동차)|905698|031-913-2200|경기도 고양시 일산동구 풍동 116-16|경기도 고양시 일산동구 백마로 514 (풍동)|www.suninLincoln.co.kr|126.805039|37.662983
Ford|일산/서비스센터|선인자동차|일산 서비스센터(선인자동차)|A0B74|031-901-2888|경기도 고양시 일산 동구 풍동 116-16|경기도 고양시 일산동구 백마로 514 (풍동)|www.suninford.co.kr|126.805035|37.662993
Ford|부천/전시장|프리미어모터스|부천 전시장(프리미어모터스)|906035|032-710-3355|경기도 부천시 춘의동 205-12 에스에이치타워 1층|경기도 부천시 부천로 170 (춘의동, 에스에이치타워 1층)|www.premiermotors.co.kr|126.784421|37.499362
Ford|평촌/전시장|프리미어모터스|평촌 전시장(프리미어모터스)|905682|031-425-2212|경기도 안양시 관양동 901-6|경기도 안양시 동안구 시민대로 380 (관양동)|www.premiermotors.co.kr|126.972333|37.395972
Ford|평촌/서비스센터|프리미어모터스|평촌 서비스센터(프리미어모터스)|A0B05|031-360-1500|경기도 안양시 동안구 관양동 901-6|경기도 안양시 동안구 시민대로 380 (관양동)|www.premiermotors.co.kr|126.972333|37.395968
