##NAME|SUBNAME|ID|TELNUM|TYPE|NEWADDR|FEAT@@현대자동차서비스블루핸즈
현대차블루핸즈|국제보링1급정비|S02Q37|055-2324442|종합블루핸즈|경상남도 창원시 마산회원구 내서읍 중리 공단로149|마이티;중형트럭;대형트럭;카운티;중대형버스;쏠라티
현대차블루핸즈|대덕현대서비스|Z1Z023|042-6256600|종합블루핸즈|대전광역시 대덕구 신탄진로 375 (와동)|
현대차블루핸즈|동성자동차공업|L03T01|061-6658585|종합블루핸즈|전라남도 여수시 연등8길 23 (연등동)|
현대차블루핸즈|명성공업사|L1Z001|061-4339909|종합블루핸즈|전라남도 강진군 강진읍 강진공단길 20-5|
현대차블루핸즈|봉동현대서비스|J1Z007|063-2623600|종합블루핸즈|전라북도 완주군 봉동읍 봉동로 459|
현대차블루핸즈|삽진공업사|L01J58|061-2787103|종합블루핸즈|전라남도 목포시 대양로13번길 12 (연산동)|
현대차블루핸즈|신성자동차공업|J01K42|063-5338216|종합블루핸즈|전라북도 정읍시 충정로 501 (공평동)|
현대차블루핸즈|제일자동차공업|J01K39|063-8550020|종합블루핸즈|전라북도 익산시 군익로 446-1 (송학동)|
현대차블루핸즈|태원자동차|L01J47|061-2835514|종합블루핸즈|전라남도 목포시 영산로 600 (석현동)|마이티;중형트럭;대형트럭;카운티;중대형버스;쏠라티
현대차블루핸즈|팔복현대서비스|J1Z008|063-2119688|종합블루핸즈|전라북도 전주시 덕진구 동곡로 25 (팔복동2가)|
현대차블루핸즈|평화점|L1M008|061-2848504|전문블루핸즈|전라남도 목포시 평화로107번길 5(상동)|
현대차블루핸즈|풍남자동차써비스|J1Z001|063229-1800|종합블루핸즈|전라북도 완주군 이서면 혁신로 15-28|마이티;중형트럭;대형트럭;카운티;중대형버스;쏠라티
현대차블루핸즈|하당점|L1M006|061-2838272|전문블루핸즈|전라남도 목포시 교육로 98(상동)|
현대차블루핸즈|에이치디서비스|J01K43|063-2124040|종합블루핸즈|전라북도 전주시 덕진구 추천로 91-5 (팔복동2가)|
현대차블루핸즈|익산서비스|J01K45|063837-7111|종합블루핸즈|전라북도 익산시 서동로 491 (용제동)|
현대차블루핸즈|일광서비스|J1Z004|063-5458572|종합블루핸즈|전라북도 김제시 봉남로 843 (황산동)|
현대차블루핸즈|신영자동차서비|Z21Z23|032-5282324|종합블루핸즈|인천광역시 부평구 평천로 7 (청천동)|
현대차블루핸즈|신흥공업사|B03S17|033742-3533|종합블루핸즈|강원도 원주시 강변로 577 (학성동)|마이티;중형트럭;대형트럭;카운티;중대형버스;쏠라티
현대차블루핸즈|유승기업점|I01G42|042-5230033|종합블루핸즈|대전광역시 서구 계룡로 510 (탄방동)|마이티;중형트럭;대형트럭;카운티;중대형버스;쏠라티
현대차블루핸즈|1급언양종합정비|S1Z002|052-2638995|종합블루핸즈|울산광역시 울주군 삼남면 반구대로 335|
현대차블루핸즈|21세기자동차정비공업사|E01E75|031-2040123|종합블루핸즈|경기도 수원시 영통구 매영로 261 (영통동59번지)|
현대차블루핸즈|강진정비점|P2Z003|051-3114400|종합블루핸즈|부산광역시 강서구 녹산산업북로 169(송정동)|마이티;중형트럭;대형트럭
현대차블루핸즈|검단자동차|Z21Z32|032563-7500|종합블루핸즈|인천광역시 서구 단봉로 75 (왕길동)|
현대차블루핸즈|경기자동차|Z12Z66|031-5280770|종합블루핸즈|경기도 남양주시 진접읍 금강로 1943-11|마이티;중형트럭;대형트럭;카운티;중대형버스;쏠라티
현대차블루핸즈|경기자동차공업사|E5Z001|031-4532777|종합블루핸즈|경기도 의왕시 경수대로391번길 11 (오전동)|
현대차블루핸즈|경남정비공업사|P02N36|051-3130501|종합블루핸즈|부산광역시 사상구 학감대로237번길 13 (감전동)|
현대차블루핸즈|고잔점|E05DP4|031-4848572|전문블루핸즈|경기도 안산시 단원구 중앙대로 951 (고잔동)|
현대차블루핸즈|고잔점|D1M007|032-8138283|전문블루핸즈|인천광역시 남동구 은청로 26-24(고잔동)|
현대차블루핸즈|곤지암현대써비스|Z13Z75|031-7698484|종합블루핸즈|경기도 광주시 곤지암읍 대석동길 113(곤지암리)|마이티;카운티;쏠라티
현대차블루핸즈|공단공업사|G01H38|043-2714467|종합블루핸즈|충청북도 청주시 흥덕구 월명로201번길 2 (봉명동)|마이티;중형트럭;대형트럭;카운티;중대형버스;쏠라티
