##NAME|SUBNAME|ID|TELNUM|TYPE|NEWADDR|FEAT@@현대자동차서비스센터
현대자동차|강릉서비스센터|F01000|033-6539120|서비스센터|강원도 강릉시 강변로534번길 9  입암동|
현대자동차|고양서비스센터|B08000|03118996611|서비스센터|경기도 고양시 일산서구 킨텍스로 217-6(대화동)|
현대자동차|광주서비스센터|L01000|062-6732111|서비스센터|광주광역시 남구 송암로76번길 31  송하동|
현대자동차|군산서비스센터|J02000|063-4674111|서비스센터|전라북도 군산시 해망로 570  소룡동|
현대자동차|남부서비스센터|B04000|02-8909114|서비스센터|서울특별시 동작구 노량진로 53  대방동|
현대자동차|대구서비스센터|M01000|053-3575141|서비스센터|대구광역시 북구 노원로 6 (노원동3가)|
현대자동차|대전서비스센터|I01000|042-6210711|서비스센터|대전광역시 동구 동대전로 271  가양동|
현대자동차|동부서비스센터|B02000|0234088000|서비스센터|서울특별시 성동구 성수이로 134  성수동2가|
현대자동차|부산서비스센터|P01000|051-8504000|서비스센터|부산광역시 연제구 중앙대로 1168  거제동|
현대자동차|북부서비스센터|B03000|0234998300|서비스센터|서울특별시 도봉구 방학로 76  방학동|
현대자동차|사상서비스센터|P02000|051-3091300|서비스센터|부산광역시 사상구 가야대로 86  학장동|
현대자동차|서부산서비스센터|P03000|055-3201472|서비스센터|경상남도 김해시 김해대로 2736  지내동|
현대자동차|수원서비스센터|E01000|031-2065151|서비스센터|경기도 용인시 기흥구 용구대로2219번길 6 |
현대자동차|순천서비스센터|L03000|061-7234111|서비스센터|전라남도 순천시 순광로 197  조례동|
현대자동차|시화서비스센터|E05000|031-4976110|서비스센터|경기도 시흥시 경제로 137  정왕동|
현대자동차|울산서비스센터|S01000|052-2837500|서비스센터|울산광역시 북구 염포로 317|
현대자동차|인천서비스센터|D01000|032-5782350|서비스센터|인천광역시 서구 가좌로83번길 22  가좌동|
현대자동차|전주서비스센터|J01000|063-2127111|서비스센터|전라북도 전주시 덕진구 여산로 96 여의동|
현대자동차|제주서비스센터|T01000|064-7844111|서비스센터|제주특별자치도 제주시 조천읍 일주동로 1323  |
현대자동차|창원서비스센터|S02000|055-2107800|서비스센터|경상남도 창원시 성산구 봉양로 397  신촌동, 현대자동차 창원서비스센터|
현대자동차|청주서비스센터|G01000|043-2300100|서비스센터|충청북도 청주시 흥덕구 직지대로 257  비하동|
현대자동차|포항서비스센터|N01000|054-2862111|서비스센터|경상북도 포항시 남구 연일읍 동문로 102  |
