##NAME|SUBNAME|TELNUM|NEWADDR|WEBSITE
인피니티|강남/전시장|02-515-3010|서울특별시 강남구 도산대로 171|http://www.infiniti-premier.co.kr
인피니티|서초/전시장|02-523-9700|서울특별시 서초구 반포대로 144 흰물결빌딩 1층|http://www.infiniti-cnk.co.kr
인피니티|일산/전시장|031-810-1500|경기도 고양시 일산동구 백마로 522|http://www.infiniti-premier.co.kr
인피니티|분당/전시장|031-715-2800|경기도 성남시 대왕판교로 318, 1층|www.infiniti-cw.co.kr
인피니티|부산/전시장|051-623-4500|부산시 남구 신선로 420|http://www.infiniti-sb.co.kr
인피니티|대구/전시장|053-559-3000|대구시 수성구 동대구로 7|http://www.infiniti-sc.co.kr
인피니티|대전/전시장|042-823-0006|대전 동구 한밭대로 1261|http://www.infiniti-mm.co.kr
인피니티|전주/전시장|063-280-0000|전라북도 전주시 완산구 서원로 144|http://www.infiniti-js.co.kr
인피니티|원주/전시장|033-900-0500|강원도 원주시 치악로 1221-7|http://www.infiniti-ta.co.kr
인피니티|서초/서비스센터|02-523-9730|서울시 서초구 과천대로 852|
인피니티|성수/서비스센터|02-460-9999|서울시 성동구 왕십리로 130|
인피니티|일산/서비스센터|031-810-1501|경기도 고양시 일산동구 백마로 522|
인피니티|원주/서비스센터|033-901-2323|강원도 원주시 치악로 1221-10|
인피니티|대전/서비스센터|042-823-0068|대전 동구 한밭대로 1261|
인피니티|전주/서비스센터|063-270-0010|전북 전주시 완산구 쑥고개로 372|
인피니티|대구/서구/서비스센터|053-341-2701|대구시 서구 서대구로63안길 13|
인피니티|대구/수성/서비스센터|053-783-0000|대구시 수성구 동대구로 7|
인피니티|광주/서비스센터/지정점|062-515-1112|광주 북구 하서로 672번길 8|
인피니티|창원/서비스센터|055-297-0300|경남 창원시 마산회원구 봉양로155|
인피니티|부산/서비스센터|051-610-7555|부산시 남구 신선로 420|
인피니티|제주/서비스센터|064-743-1472|제주도 제주시 원당로 10|
인피니티|판교/서비스센터|031-715-4200|경기도 성남시 분당구 쇳골로 28|
