##NAME|SUBNAME|TELNUM|ADDR|NEWADDR
르노삼성자동차|연북로지점|064-757-3366|제주 제주시 도남동 278-2|제주 제주시 연북로 440 (도남동)
르노삼성자동차|제주지점|064-711-1100|제주 제주시 오라2동|제주 제주시 연삼로 158 (오라이동)
르노삼성자동차|남울산대리점|052-256-7800|울산 남구 옥동 252-9|울산 남구 문수로 330                                       252-9
르노삼성자동차|울산병영지점|052-282-8400|울산 중구 반구동 26-1번지 르노삼성자동차 병영지점|울산 중구 번영로 516                                                                  26-1번지 르노삼성자동차 병영지점
르노삼성자동차|울산지점|052-276-3330|울산 남구 달동 1341-1|울산 남구 번영로 164 (달동)                                                    1341-1
르노삼성자동차|대덕밸리대리점|042-936-3553|대전 유성구 용산동  610 번지|대전유성구테크노중앙로124(용산동)
르노삼성자동차|대전갈마대리점|042-300-3336|대전 서구 갈마동 308-3|대전 서구 계룡로 380 (갈마동)
르노삼성자동차|대전사업소|042-622-3100|대전 동구 용전동 64-16|대전 동구 동서대로1695번길 77 (용전동)    64-16
르노삼성자동차|대전중부대리점|042-534-3350|대전 중구 오류동 175-13|대전 중구 계룡로 846 (오류동)
르노삼성자동차|도안대리점|042-822-6200|대전 유성구 상대동 441-5|대전 유성구 월드컵대로 308 (상대동)
르노삼성자동차|둔산대리점|042-489-3303|대전 서구 둔산2동 1253번지 새천년빌딩 1층|대전 서구 둔산서로 15, 새천년빌딩 1층 (둔산동)  1253번지 새천년빌딩 1층
르노삼성자동차|서대전대리점|042-546-3330|대전 서구 관저동 611-1|대전 유성구 계백로915 (원내동) 611-1
르노삼성자동차|유성대리점|042-824-3300|대전 유성구 반석동 665-2|대전 유성구 북유성대로316번길 33 (반석동)   665-2
르노삼성자동차|경산대리점|053-817-3335|경북 경산시 압량면 부적리 254-1 르노삼성자동차 경산대리점|경북 경산시 압량면 대학로 405              르노삼성자동차 경산대리점
르노삼성자동차|경주대리점|054-748-3003|경북 경주시 용강동 1178-13|경북 경주시 원화로 497 (용강동)
르노삼성자동차|구미대리점|054-465-3350|경북 구미시 광평동 61-1|경북 구미시 1공단로3길 95 (광평동)          61-1
르노삼성자동차|구미도량대리점|054-452-3900|경북 구미시 도량동 576-4 구미고네거리|경북 구미시 야은로 455 (도량동)  구미고네거리
르노삼성자동차|구미인동대리점|054-471-7777|경북 구미시 황상동  322-1 번지|경북구미시삼일로56(황상동)
르노삼성자동차|금호대리점|053-852-3337|경북 경산시 하양읍 동서리 699-2 번지|경북경산시하양읍대경로895
르노삼성자동차|김천대리점|054-465-3350|경북 김천시 덕곡동 968|경북 김천시 아포대로 15 (덕곡동)
르노삼성자동차|동대구대리점|053-745-3344|대구 동구 효목동 293-6|대구 동구 동부로 237 (효목동)
르노삼성자동차|문경대리점|054-553-3388|경북 문경시 모전동 277-3 (홈플러스옆)|경북 문경시 모전로 87, (홈플러스옆) (모전동)   277-3 (홈플러스옆)
르노삼성자동차|북포항대리점|054-243-3337|경북 포항시 북구 항구동 97-1|경북 포항시 북구 삼호로 116 (항구동)             97-1
르노삼성자동차|상주대리점|054-536-3350|경북 상주시 남성동 51-8 남원동주민센터옆|경북 상주시 중앙로 142 (남성동)        남원동주민센터옆
르노삼성자동차|안강대리점|054-748-3003|경북 경주시 안강읍 산대리 1590-14|경북 경주시 안강읍 안강중앙로 56-1
