##NAME|SUBNAME|TELNUM|NEWADDR|XCOORD|YCOORD
타이어뱅크|동포항점|054-253-9119|경상북도 포항시 북구 삼흥로 386 (양덕동)|None|None
타이어뱅크|삼흥로/386|(054-253-9119|경상북도 포항시 북구 삼흥로 386 (양덕동)  |None|None
타이어뱅크|가장동점|042-536-5109|대전광역시 서구 유등로 411 (가장동)|127.3856926|36.3311116
타이어뱅크|양양점|033-671-9797|강원도 양양군 양양읍 동해대로 2845 (포월리)|128.6306950|38.1008850
타이어뱅크|당진IC점|041-353-3030|충청남도 당진시 송악읍 반촌로 223 |126.7004398|36.9004017
타이어뱅크|서서귀포점|064-733-6776|제주특별자치도 서귀포시 일주동로 8884 (호근동)|126.5399717|33.2549437
타이어뱅크|수완점|062-952-3232|광주광역시 광산구 수완동 672-11|126.8190804|35.2027070
타이어뱅크|군포IC점|031-501-3773|경기도 안산시 상록구 서해로 2933 (건건동)|126.9130227|37.3128500
타이어뱅크|북오산점|031-372-7337|경기도 오산시 경기대로 341-1|127.0727328|37.1552404
타이어뱅크|해운대송정점|051-703-3993|부산광역시 해운대구 해운대로 1073-1|129.1991689|35.1814753
타이어뱅크|진영설창점|055-345-7997|경상남도 김해시 진영읍 설창리 767|128.7633105|35.2965267
타이어뱅크|천호대로점|02-429-7755|서울특별시 강동구 천호대로 1466-7|127.1715128|37.5455644
타이어뱅크|만년교점|042-536-1515|대전광역시 서구 계룡로 202|127.3525472|36.3505702
타이어뱅크|고창점|063-563-7070|전라북도 고창군 고창읍 덕산리 산100|126.6916928|35.4253212
타이어뱅크|순천중앙점|061-751-5533|전라남도 순천시 봉화로 16|127.5048332|34.9571556
타이어뱅크|태화강역점|052-227-4860|울산광역시 남구 산업로703번길 1|129.3539341|35.5434672
타이어뱅크|영암점|061-473-3113|전라남도 영암군 덕진면 덕진리 273-10, 273-33|126.6968524|34.8199889
