##NAME|SUBNAME|TELNUM|NEWADDR|FEAT|WEBSITE|XCOORD|YCOORD@@토요타서비스센터
토요타|강남/서비스/센터|080-777-0300|서울특별시 강남구 언주로 811 (성수대교 남단)|||127.032841|37.522767
토요타|서초/서비스/센터|02-520-5600|서울특별시 서초구 효령로 14||http://hyosungtoyota.com/|126.986997|37.476969
토요타|용산/서비스/센터|02-2122-7701|서울특별시 용산구 한강대로 92 (LS용산타워)|||126.9664677|37.527878
토요타|성수/서비스/센터|080-777-0300|서울특별시 성동구 뚝섬로 15길 9|||127.059939|37.538294
토요타|강서/서비스/센터|02-520-5700|서울특별시 강서구 양천로47가길 19 (가양동 254-1)|판금/도장||126.8387868|37.5710901
토요타|인천/서비스/센터|032-456-6500|인천광역시 남동구 성리로 76|||126.709438|37.449274
토요타|분당/서비스/센터|080-969-3000|경기도 성남시 분당구 새마을로 59|판금/도장|http://www.toyotaplaza.co.kr/|127.137389|37.3834
토요타|수원/서비스/센터|031-780-6678|경기도 용인시 중부대로 321|||127.10278|37.271108
토요타|일산/서비스/센터|031-969-7701|경기도 고양시 일산동구 동국로 112|판금/도장||126.803714|37.681716
토요타|구리/서비스/센터|031-550-5201|경기도 구리시 한다리길 17|||127.1281459|37.5804213
토요타|대전/서비스/센터|080-900-3369|대전광역시 서구 벌곡로 1358|판금/도장|http://www.toyotajb.com/kor/index.do|127.354436|36.302556
토요타|대구/서비스/센터|080-856-7001|대구광역시 수성구 동대구로 133||http://www.toyotaym.com/main/index.php|128.623809|35.842292
토요타|서대구/서비스/센터|080-850-8601|대구광역시 달서구 본동 722-1||http://www.toyotaym.com/main/index.php|128.5345512|35.8370021
토요타|부산/서비스/센터|080-855-0008|부산광역시 연제구 거제대로 284||http://www.toyotadongil.kr/contents/index.php|129.078333|35.191106
토요타|부산/사상/서비스/센터|051-790-4370|부산광역시 사상구 학감대로 88|판금/도장|http://www.toyotadongil.kr/contents/index.php|128.991046|35.140194
토요타|전주/서비스/센터|080-276-3221|전라북도 전주시 덕진구 기린대로 621||http://www.tphtoyota.com/kor/index.do|127.11227|35.849542
토요타|광산/서비스/센터|062-961-8100|광주광역시 광산구 북문대로 480|판금/도장||126.84479|35.19798
토요타|순천/서비스/센터|061-741-8112|전라남도 순천시 해룡면 지봉로 211|||127.539371|34.933219
토요타|원주/서비스/센터|033-766-9616|강원도 원주시 서원대로 432 (단구동 1026-29)|||127.9519247|37.328826
토요타|포항/서비스/센터|080-868-7001|포항시 남구 포스코대로 62|||129.332388|36.0257345
토요타|창원/서비스/센터|055-253-0309|경상남도 창원시 마산회원구 봉양로 116 (봉암동)|||128.5990382|35.2191843
