##NAME|SUBNAME|TELNUM|NEWADDR@@볼보서비스센터
볼보서비스센터|볼보/강남/대치/서비스센터|02-3473-6080|서울특별시 강남구삼성로 71길 6 (대치동 912-25)
볼보서비스센터|볼보/광안/서비스센터|051-759-0600|부산광역시 수영구 광남로 147
볼보서비스센터|볼보/광주/서비스센터|062-372-2882|광주광역시 서구 상무대로 1096 (농성동 649-16)
볼보서비스센터|볼보/대구/서비스센터|053-763-5800|대구광역시 동구 안심로 55길 15
볼보서비스센터|볼보/대전/서비스센터|042-638-2200|대전광역시 대덕구 한밭대로 1114 (중리동 230-8)
볼보서비스센터|볼보/동대문/서비스센터|1644-0322|서울 동대문구 천호대로 373 (장안동 414-6)
볼보서비스센터|볼보/분당/백현/서비스센터|031-701-5656|경기도 성남시 분당구 대왕판교로 385번길 6 (백현동 403-1)
볼보서비스센터|볼보/서초/서비스센터|02-3486-7070|서울특별시 서초구 사임당로 114(서초동 1631-7)
볼보서비스센터|볼보/성수/서비스센터|1588-7060|서울특별시 성동구 성수이로20길 50 (성수2가 275-30)
볼보서비스센터|볼보/송파/서비스센터|02-419-7070|서울특별시 송파구 위례성대로124 (방이동 183번지)
볼보서비스센터|볼보/수원/서비스센터|031-211-8575|경기도 수원시 영통구 매영로 171 (원천동 245-1)
볼보서비스센터|볼보/순천/서비스센터|061-723-8228|전라남도 순천시 해룡면 상성길 174-5
볼보서비스센터|볼보/안양/서비스센터|031-385-7255|경기도 안양시 동안구관악대로 265 (비산동 1052)
볼보서비스센터|볼보/영등포/문래/서비스센터|02-6964-7266|서울시 영등포구 선유로 5 (문래동5가 5-6번지 외)
볼보서비스센터|볼보/영등포/양평/서비스센터|1588-8040|서울특별시 영등포구 영등포로 5길-6 (양평동 2가 29-2)
볼보서비스센터|볼보/울산/서비스센터|052-208-8800|울산광역시 남구화합로 219 (삼산동 1540-10)
볼보서비스센터|볼보/원주/서비스센터|033-735-9922|강원도 원주시  무실밤골길 16 (무실동 687-4)
볼보서비스센터|볼보/인천/서비스센터|032-834-0776|인천광역시 연수구 능허대로 247 (동춘동 819-4)
볼보서비스센터|볼보/일산/서비스센터|031-904-8255|경기도 고양시 일산동구백마로 491 (풍동 149-12)
볼보서비스센터|볼보/전주/서비스센터|063-213-2882|전라북도 전주시 덕진구 기린대로 885 (팔복동 829-5)
볼보서비스센터|볼보/천안/서비스센터|041-569-2800|충청남도 천안시 서북구 동서대로 15(백석동 8-2)
볼보서비스센터|볼보/창원/서비스센터|055-714-8030|경남 창원시 마산합포구 서성로 11 (신포동1가 15-8)
볼보서비스센터|볼보/포항/서비스센터|054-278-5656|경상북도 포항시 북구 새천년대로 519 (득량동 292-1)
볼보서비스센터|볼보/해운대/서비스센터|051-714-7407|부산광역시 해운대구 해운대로 269 (재송동 산 74-40)
