##NAME|SUBNAME|ID|TELNUM|ADDR|NEWADDR|OT|MTYPE|XCOORD|YCOORD@@롯데렌터카
롯데렌터카|강릉지점|521|033-642-8000|강원도 강릉시 교 1 동 1743-1 |강원도 강릉시 원대로 6|평일(월~목) - 08:30~18:00 / 주말(금~일,휴일) - 08:30~18:00|렌터카|128.881918|37.7550406
롯데렌터카|강릉KTX지점|530|033-645-8002|강원도 강릉시 교동 118|강원도 강릉시 용지로 176|평일 - 08:30~20:00 / 주말(휴일) - 08:30~20:00|렌터카|128.899797|37.764661
롯데렌터카|속초지점|522|033-632-8000|강원도 속초시 교동 895-1 |강원도 속초시 청대로 301|평일(월~목) - 08:30~18:00 / 주말(금~일,휴일) - 08:30~18:00|렌터카|128.5718675|38.1933446
롯데렌터카|원주지점|523|033-764-8000|강원도 원주시 개운동 434-4 중앙빌딩 2층|강원도 원주시 남원로 564 중앙빌딩 2층|평일(월~목) - 08:30~18:00 / 주말(금~일,휴일) - 08:30~18:00|렌터카|127.9481645|37.3342211
롯데렌터카|춘천지점|524|033-243-8000|강원도 춘천시 퇴계동 343-13 영광한의원건물 1층 |강원도 춘천시 남춘로 31 영광한의원건물 1층 |평일(월~목) - 08:30~18:00 / 주말(금~일,휴일) - 08:30~18:00|렌터카|127.7309849|37.8641019
롯데렌터카|부천지점|519|032-679-8000|경기도 부천시 원미구 상동 543-1 승재밀레니엄빌딩 211,212호|경기도 부천시 원미구 소향로 55-15 211,212호(상동,승재밀레니엄빌딩)|평일(월~목) - 08:30~18:00 / 주말(금~일,휴일) - 08:30~18:00|렌터카|126.7536392|37.5038996
롯데렌터카|분당지점|506|031-701-8007|경기 성남시 분당구 서현동 255-1번지 풍림아이원 2층 235호|경기 성남시 분당구 서현로 170 풍림아이원플러스 2층 235호|평일(월~목) - 08:30~18:00 / 주말(금~일,휴일) - 08:30~18:00|렌터카|127.1225406|37.3889821
롯데렌터카|수원지점|536|031-215-8181|경기도 수원시 팔달구 인계동 468 KBS 수원 드라마센터 후문|경기도 수원시 팔달구 인계로 123 KBS 수원 드라마센터 후문|평일(월~목) - 08:30~18:00 / 주말(금~일,휴일) - 08:30~18:00|렌터카|127.030626|37.267850
롯데렌터카|안산지점|513|031-407-8000|경기도 안산시 단원구 고잔동 528-1번지 프라움시티 건물내 1층|경기도 안산시 단원구 당곡로33, 프라움시티 건물 내 1층|평일(월~목) - 08:30~18:00 / 주말(금~일,휴일) - 08:30~18:00|렌터카|126.833208|37.320414
롯데렌터카|안양지점|517|031-454-8000|경기도 안양시 동안구 평촌동 897번지 컬러힐주차빌딩 1층 106호|경기도 안양시 동안구 시민대로 312 컬러힐주차빌딩 1층 106호|평일(월~목) - 08:30~18:00 / 주말(금~일,휴일) - 08:30~18:00|렌터카|126.9648322|37.3950431
