##NAME|TYPE|NEWADDR|ADDR|YCOORD|XCOORD|NEWADDR2|ADDR2|보유차고지수용능력|자동차총보유대수|승용차보유대수|승합차보유대수|전기승용자동차보유대수|전기승합자동차보유대수|경차요금|소형차요금|중형차요금|대형차요금|승합차요금|레저용차요금|수입차요금|평일운영시작시각|평일운영종료시각|주말운영시작시각|주말운영종료시각|공휴일운영시작시각|공휴일운영종료시각|OFFDAY|HOMEPAGE|OWNER|TELNUM|DATE|제공기관코드|제공기관명@@렌터카_공공데이터포털
(합)오토렌트카|영업소|충청북도 진천군 진천읍 상산로 52||36.8543836|127.439723||충청북도 진천군 진천읍 읍내리 622, 623||8|7|1|0|0||||||||00:00|23:59|||||무휴||이기호|043-537-0015|2018-07-20|4450000|충청북도 진천군
㈜중부렌트카|영업소|충청북도 진천군 진천읍 중앙북로 33||36.8590479|127.440635||충청북도 진천군 진천읍 읍내리 238-6, 238-14||5|4|1|0|0||||||||00:00|23:59|||||무휴||김원길|043-532-4775|2018-07-20|4450000|충청북도 진천군
㈜좋은렌트카|영업소|충청북도 진천군 진천읍 대촌길 33-12||36.8619977|127.4494555||충청북도 진천군 진천읍 성석리 690, 읍내리 109-1, 읍내리 106-10||49|47|2|0|0||||||||00:00|23:59|||||무휴||윤해용|043-535-1200|2018-07-20|4450000|충청북도 진천군
㈜에이치케이나라렌트카|영업소|충청북도 진천군 진천읍 원덕로 249-1||36.8484497|127.448244||충청북도 진천군 진천읍 신정리 705-4||3|3|0|0|0||||||||00:00|23:59|||||무휴||최민상|043-535-1580|2018-07-20|4450000|충청북도 진천군
㈜가가렌트카|영업소|충청북도 진천군 진천읍 원덕로 316, (교성리)||36.8543659|127.449298||충청북도 진천군 진천읍 교성리 3-11||21|17|4|0|0||||||||00:00|23:59|||||무휴||김숙자|043-232-0119|2018-07-20|4450000|충청북도 진천군
㈜애니렌트카|영업소|충청북도 진천군 진천읍 포석길 3-1, (벽암리, 주식회사 애니렌트카)||36.8589289|127.438683||충청북도 진천군 진천읍 벽암리 33-19||3|2|1|0|0||||||||00:00|23:59|||||무휴||임근식|043-853-0853|2018-07-20|4450000|충청북도 진천군
㈜이십일세기나래|주사업장|서울특별시 금천구 시흥대로97, 27동 228호(시흥동,시흥유통상가)|서울특별시 금천구 시흥동 984 ,27동 228호(시흥동,시흥유통상가)|37.4446240505|126.9019270111||서울특별시 금천구 독산동 977-22, 23(길목주차장)||1|1|0|0|0||||||||09:00|18:00|||||||강병혁|02-805-5888|2018-08-10|3170000|서울특별시 금천구
㈜이십일세기나래 전주영업소|영업소|전라북도 전주시 덕진구 백제대로 755(인후동2가)|전라북도 전주시 덕진구 인후동2가 1573-4|35.8465376195|127.1512132980||전라북도 전주시 덕진구 고랑동 609-37외 5필지, 전라북도 전주시 덕진구 인후동 2가 1573-4||58|54|4|0|0||||||||09:00|18:00|||||||강병혁|02-805-5888|2018-08-10|3170000|서울특별시 금천구
㈜이십일세기나래 홍성영업소|영업소|충청남도 홍성군 장곡면 장곡동길229번길 20|충청남도 홍성군 장곡면 행정리 743|36.5175745476|126.7342177571|충청남도 홍성군 장곡면 장곡동길229번길 20(자기소유)|충청남도 홍성군 장곡면 행정리 743(자기소유)||29|28|1|0|0||||||||09:00|18:00|||||||강병혁|02-805-5888|2018-08-10|3170000|서울특별시 금천구
알씨아이파이낸셜서비스코리아㈜|주사업장|서울특별시 금천구 가산디지털2로 30, 9층(가산동,RSM타워)|서울특별시 금천구 가산동 327-29, 9층(가산동,RSM타워)|37.4712595393|126.8836758706||서울특별시 양천구 신월동 21-1, 서울특별시 서초구 양재동 225번지 외||415|415|0|0|0||||||||09:00|18:00|||||||피에르보피스|02-2021-5528|2018-08-10|3170000|서울특별시 금천구
㈜덕창렌트카|주사업장|서울특별시 금천구 두산로13길 34, 지하1층(독산동)|서울특별시 금천구 독산동 295-3 ,지하1층(독산동)|37.4716822519|126.8951104335|서울특별시 양천구 곰달래로3길 13(신월동,공영주차장)|서울특별시 양천구 신월동 129-6||97|94|3|0|0||||||||08:30|20:00|||||||서갑순|02-861-7730|2018-08-10|3170000|서울특별시 금천구
㈜와이렌트카|주사업장|서울특별시 금천구 시흥대로 399, 5층 F511호(독산동)|서울특별시 금천구 독산동 291-5, 5층 F511호(독산동)|37.4694029256|126.8970770705||서울특별시 서초구 양재동 225, 225-4,5, 226||291|277|14|0|0||||||||09:00|19:00|||||||강권영|02-3286-3031|2018-08-10|3170000|서울특별시 금천구
㈜와이렌트카 남원영업소|영업소|전라북도 남원시 충정로 181(도통동)|전라북도 남원시 도통동 345|35.4204464416|127.3905775660|전라북도 남원시 주천면 원천로 420-5|전라북도 남원시 주천면 호기리 265-2||19|16|3|0|0||||||||09:00|19:00|||||||강권영|02-3286-3031|2018-08-10|3170000|서울특별시 금천구
㈜와이렌트카 구로영업소|영업소|서울특별시 구로구 오리로 1102-4, SH타워 505호|서울특별시 구로구 천왕동 산13-1|37.4847476811|126.8423740592||서울특별시 서초구 양재동 225, 225-4,5, 226||0|0|0|0|0||||||||09:00|19:00|||||||강권영|02-3286-3031|2018-08-10|3170000|서울특별시 금천구
㈜와이렌트카 신림영업소|영업소|서울특별시 관악구 남부순환로 1573|서울특별시 관악구 신사동 1464-20|37.4839081934|126.9252900429||서울특별시 서초구 양재동 225, 225-4,5, 226||0|0|0|0|0||||||||09:00|19:00|||||||강권영|02-3286-3031|2018-08-10|3170000|서울특별시 금천구
㈜와이렌트카 구리영업소|영업소|경기도 구리시 경춘로 132(교문동)|경기도 구리시 교문동 270-2|37.6006333660|127.1294548122|경기도 구리시 경춘북로 299(대일주차장)|||0|0|0|0|0||||||||09:00|19:00|||||||강권영|02-3286-3031|2018-08-10|3170000|서울특별시 금천구
㈜와이렌트카 강서영업소|영업소|서울특별시 강서구 화곡로 292(화곡동, 서광프리메라)|서울특별시 강서구 화곡동 981-1, 306호(서광프리메라))|37.5503156845|126.8487745079||서울특별시 서초구 양재동 225, 225-4,5, 226||0|0|0|0|0||||||||09:00|19:00|||||||강권영|02-3286-3031|2018-08-10|3170000|서울특별시 금천구
㈜제이디렌트카|주사업장|서울특별시 금천구 가산로33, 507호(독산동,건설빌딩)|서울특별시 금천구 독산동 200-10|37.4711708317|126.8992104023|서울특별시 서초구 양재대로12길 25 (양재동)|||22|16|6|0|0||||||||09:00|18:00|||||||김경용|1588-3410|2018-08-10|3170000|서울특별시 금천구
㈜제이디렌트카 일산영업소|영업소|경기도 고양시 덕양구 은빛로 53(화정동) , 206호|경기도 고양시 덕양구 화정동 908, 206호(코스미온빌)|37.6380263635|126.8336350712|경기도 고양시 일산동구 사리현로 19(식사동)|경기도 고양시 일산동구 식사동 250-9||5|3|2|0|0||||||||09:00|18:00|||||||김경용|1588-3410|2018-08-10|3170000|서울특별시 금천구
㈜제이디렌트카 군산영업소|영업소|전라북도 군산시 백릉안2길1, 1층|전라북도 군산시 조촌동 783-1|35.9739288027|126.7293407371|전라북도 군산시 풍전3길 14|전라북도 군산시 소룡동 862 군산폐차장||14|14|0|0|0||||||||09:00|18:00|||||||김경용|1588-3410|2018-08-10|3170000|서울특별시 금천구
㈜제이디렌트카 광명영업소|영업소|경기도 광명시 구름산로43, 1층|경기도 광명시 하안동 323-2|37.4576436642|126.8778535262||경기도 광명시 소하동 1342-5||26|25|1|0|0||||||||09:00|18:00|||||||김경용|1588-3410|2018-08-10|3170000|서울특별시 금천구
㈜제이디렌트카 안양영업소|영업소|경기도 안양시 동안구 흥안대로 135(호계동)|경기도 안양시 동안구 호계동 1002-17|37.3710777499|126.9596071678|경기도 안양시 동안구 흥안대로 135(호계동)|경기도 안양시 동안구 호계동 1002-17||16|12|4|0|0||||||||09:00|18:00|||||||김경용|1588-3410|2018-08-10|3170000|서울특별시 금천구
㈜제이디렌트카 독산영업소|영업소|서울특별시 금천구 가산로 33, 205호|서울특별시 금천구 독산동 200-10|37.4711708317|126.8992104023|서울특별시 서초구 명달로 45|서울특별시 서초구 방배동 1002||7|7|0|0|0||||||||09:00|18:00|||||||김경용|1588-3410|2018-08-10|3170000|서울특별시 금천구
㈜제이디렌트카 이천영업소|영업소|경기도 이천시 서희로72번길 32(창전동)|경기도 이천시 창전동 149-3|37.2815949424|127.4449464108||경기도 이천시 호법면 안평리 119-4||11|10|1|0|0||||||||09:00|18:00|||||||김경용|1588-3410|2018-08-10|3170000|서울특별시 금천구
㈜뉴현대드림렌트카|주사업장|서울특별시 금천구 두산로70, A동 T209호|서울특별시 금천구 독산동 291-1|37.4689478692|126.8956254323|서울특별시 금천구 시흥대로 435|서울특별시 금천구 독산동 152-3||66|62|4|0|0||||||||09:00|18:00|||||||임종천|070-4680-4700|2018-08-10|3170000|서울특별시 금천구
㈜뉴현대드림렌트카 이천영업소|영업소|경기도 이천시 남천로 72|경기도 이천시 중리동  229-3|37.2767214653|127.4452752913|경기도 이천시 중리동 남천로 72|경기도 이천시 중리동 229-3||20|17|3|0|0||||||||09:00|18:00|||||||임종천|070-4680-4700|2018-08-10|3170000|서울특별시 금천구
㈜뉴현대드림렌트카 남양주영업소|영업소|경기도 남양주시 와부읍  덕소로51|경기도 남양주시 와부읍 덕소리 590-6|37.5875973234|127.2092746104|경기도 남양주시 와부읍 덕소로 92-4|경기도 남양주시 와부읍 덕소리 469-1 ,2||16|15|1|0|0||||||||09:00|18:00|||||||임종천|070-4680-4700|2018-08-10|3170000|서울특별시 금천구
㈜뉴현대드림렌트카 성남영업소|영업소|경기도 성남시 수정구 산성대로 399|경기도 성남시 수정구 단대동 161-4|37.4477937920|127.1578193288|경기도 성남시 분당구 구미로 9번길 25|경기도 성남시 분당구 구미동 182||8|8|0|0|0||||||||09:00|18:00|||||||임종천|070-4680-4700|2018-08-10|3170000|서울특별시 금천구
㈜뉴현대드림렌트카 인천영업소|영업소|인천광역시 부평구 신촌로71-4, 2층|인천광역시 부평구 부평동 284-46|37.4896865953|126.7117835957|인천광역시 연수구 컨벤시아대로 160 (송도중앙공원주차장), 연수구 테크노 파크로 164(송도중앙공원주차장), 서구 중봉대로612번길 10-17(청라타워돔주차장)|||78|71|7|0|0||||||||09:00|18:00|||||||임종천|070-4680-4700|2018-08-10|3170000|서울특별시 금천구
㈜뉴현대드림렌트카 용인영업소|영업소|경기도 용인시 처인구 곡현로663번길 3, 1층|경기도 용인시 처인구 모현면 매산리 196-20, 1층|37.3429130384|127.2245510674|경기도 용인시 처인구 모현면 외개일로135번길 39|경기도 용인시 처인구 일산리 48-7||29|29|0|0|0||||||||09:00|18:00|||||||임종천|070-4680-4700|2018-08-10|3170000|서울특별시 금천구
㈜뉴현대드림렌트카 강서영업소|영업소|서울특별시 강서구 공항대로59길 57|서울특별시 강서구 등촌동 635-12|37.5542218437|126.8632236636|서울특별시 금천구 시흥대로 435|서울특별시 금천구 독산동 152-3||10|9|1|0|0||||||||09:00|18:00|||||||임종천|070-4680-4700|2018-08-10|3170000|서울특별시 금천구
㈜한울렌터카|주사업장|서울특별시 금천구 시흥대로 399, 5층 F511호(독산동)|서울특별시 금천구 독산동 291-5, 5층 F511호(독산동)|37.4694029256|126.8970770705||서울특별시 금천구 독산동 885-26, , 서울특별시 서초구 양재동 225,225-4~7,226(필주차장)||48|46|2|0|0||||||||09:00|19:00|||||||김종술|02-3286-3031|2018-08-10|3170000|서울특별시 금천구
㈜한울렌터카 인천영업소|영업소|인천광역시 계양구 까치말로41번길 4-1(작전동)|인천광역시 계양구 작전동 921-14|37.5294840508|126.7358998182|인천광역시 서구 완정로165번길 8(트리플타워 주차장)|인천광역시 서구 왕길동 660-4(트리플타워 주차빌딩)||6|6|0|0|0||||||||09:00|19:00|||||||김종술|02-3286-3031|2018-08-10|3170000|서울특별시 금천구
지밸리카셰어링 협동조합|주사업장|서울특별시 금천구 가산디지털1로 33-33, 804호(가산동, 대륭테크노타운2차)|서울특별시 금천구 가산동 569-21, 804호(대륭테크노타운2차)|37.4684933328|126.8846326379|서울특별시 금천구 가산디지털1로 33-33, B2(가산동,대륭테크노타운2차)|서울특별시 금천구 가산동 569-21,B2(가산동,대륭테크노타운2차)||30|0|0|30|0||||||||09:00|18:00|||||||이재우|1522-4633|2018-08-10|3170000|서울특별시 금천구
(주)제주스타렌탈|주사업장|서울특별시 금천구 디지털로9길 68, 11층 1108호(가산동, 대륭포스트타워5차)|서울특별시 금천구 가산동 60-3, 11층 1108호( 대륭포스트타워5차)|37.4810798371|126.8864244498|서울특별시 중랑구 동일로 136나길 14(중화동)|서울특별시 중랑구 중화동 29-2||0|0|0|0|0||||||||08:00|10:30|||||||장욱|02-862-3348|2018-08-10|3170000|서울특별시 금천구
(주)제주스타렌탈 제주영업소|영업소|제주특별자치도 제주시 용문로 20|제주특별자치도 제주시 용담2동 1524-12|33.5048857826|126.4983925602||제주특별자치도 제주시 애월읍 유수암리 2661, 제주특별자치도 제주시 애월읍 공성10길5, 제주특별자치도 제주시 용당2동 1524-12, 제주특별자치도 제주시 용담2동 1526, 제주특별자치도 제주시 용담2동 1527, 제주특별자치도 제주시 용담2동 1527-2, 제주특별자치도 제주시 용담2동 1542, 제주특별자치도 제주시 도두이동 101-번지||989|925|64|0|0||||||||08:00|10:30|||||||장욱|02-862-3348|2018-08-10|3170000|서울특별시 금천구
(주)현렌터카|주사업장|서울특별시 금천구 서부샛길 606, 534호(가산동,대성폴리스지식산업센터)|서울특별시 금천구 가산동 543-1, 534호|37.4799908989|126.8770336456||서울특별시 서초구 양재동 225번지외 3필지||96|93|3|0|0||||||||09:00|18:00|||||||여찬동|02-861-9951|2018-08-10|3170000|서울특별시 금천구
(주)채영앤지|주사업장|서울특별시 금천구 디지털로9길 68, 11층 1109호(가산동, 대륭포스트타워5차)|서울특별시 금천구 가산동 60-3, 11층 1109호|37.4810798371|126.8864244498|서울특별시 중랑구 동일로 136나길 14(중화동)|서울특별시 중랑구 중화동 29-2||0|0|0|0|0||||||||08:00|10:30|||||||이준호|02-1588-3340|2018-08-10|3170000|서울특별시 금천구
(주)채영앤지 제주영업소|영업소|제주특별자치도 제주시 공항로1길 9(용담이동)|제주특별자치도 제주시 용담이동 1536-1|33.5043509919|126.4974117049||제주특별자치도 제주시 용담2동 1554-1, 제주특별자치도 제주시 오라2동 3316-11, 3316-3, 제주특별자치도 제주시 아라이동 278-3||761|746|15|0|0||||||||08:00|10:30|||||||이준호|02-1588-3340|2018-08-10|3170000|서울특별시 금천구
㈜오토핸즈마이렌터카|주사업장|서울특별시 금천구 두산로 70, 621호(현대지식산업센터)|서울특별시 금천구 독산동 291-1|37.4689478692|126.8956254323||서울특별시 서초구 방배동 1002번지||10|10|0|0|0||||||||08:30|18:30|||||||임대규|1566-3353|2018-08-10|3170000|서울특별시 금천구
㈜오토핸즈마이렌터카 의왕영업소|영업소|경기도 의왕시 경수대로 257, 220호(고천동, 대영골든밸리)|경기도 의왕시 고천동 290-2, 220호(대영골든밸리)|37.3491606156|126.9726747153||경기도 안양시 관양동 1606, 수원시 영통구 이의동 1349, 수원시 영통구 이의동 1248-2||198|196|2|0|0||||||||08:30|18:30|||||||임대규|1566-3353|2018-08-10|3170000|서울특별시 금천구
㈜오토핸즈마이렌터카 일산영업소|영업소|경기도 고양시 일산서구 경의로910(덕이동)|경기도 고양시 일산서구 경의로 910, 2층|37.6984690195|126.7596411070|경기도 고양시 일산서구 경의로 910|경기도 고양시 일산서구 덕이동 304-4||0|0|0|0|0||||||||08:30|18:30|||||||임대규|1566-3353|2018-08-10|3170000|서울특별시 금천구
선경렌트카|주사업장|전라북도 익산시 익산대로 433(신동)|전라북도 익산시 신동 401-3|35.931681|126.943405|전라북도 익산시 서동로32길 21(금강동)외 1|전라북도 익산시 금강동 391|87|68|60|8|0|0|||70000|100000|100000|||09:00|22:00|09:00|22:00|09:00|22:00|||송미경|063-0843-9996|2018-08-13|4680000|전라북도 익산시
그린랜트|주사업장|전라북도 익산시 익산대로23길 42(신동)|전라북도 익산시 신동 395-16|35.962859|126.952904|전라북도 익산시 익산대로23길 42(신동) 외 1|전라북도 익산시 신동 395-16|46|41|36|5|0|0|||70000|90000|100000|||09:00|22:00|09:00|22:00|09:00|22:00|||유영무|063-0858-4404|2018-08-13|4680000|전라북도 익산시
해원렌트카|주사업장|전라북도 익산시 선화1로 111(마동)|전라북도 익산시 마동 55-60|35.939415|126.970068|전라북도 익산시 함열읍 함열9길 8|전라북도 익산시 함열읍 와리 182|53|24|23|1|0|0|||90000|150000|120000|||09:00|19:00|09:00|19:00|09:00|19:00|||김미동|063-0855-5654|2018-08-13|4680000|전라북도 익산시
해원렌트카|영업소|전라북도 익산시 인북로64길 14(신동)|전라북도 익산시 신동 809-1|35.959773|126.963109|전라북도 익산시 황등면 황등로 5|전라북도 익산시 황등면 황등리 178-4|16|8|8|0|0|0|||90000|150000|120000|||09:00|19:00|09:00|19:00|09:00|19:00|||김미동|063-0855-5654|2018-08-13|4680000|전라북도 익산시
해원렌트카|영업소|전라북도 익산시 보석로 121-2(영등동)|전라북도 익산시 영등동 213-7|35.949832|126.973717|전라북도 익산시 무왕로 1213(부송동)|전라북도 익산시 부송동 254-10|99|42|37|5|0|0|||90000|150000|120000|||09:00|19:00|09:00|19:00|09:00|19:00|||김미동|063-0855-5654|2018-08-13|4680000|전라북도 익산시
에스디렌터카|주사업장|전라북도 익산시 무왕로 822(신동)|전라북도 익산시 신동 476-2|35.964614|126.950446|전라북도 익산시 웅포면 용골길 38-11|전라북도 익산시 웅포면 대붕암리110-4|156|133|125|8|0|0|60000|75000|90000|140000||||09:00|18:00|||||토,일,공휴일||이광석|063-0858-4438|2018-08-13|4680000|전라북도 익산시
태양렌트카|주사업장|광주광역시 동구 필문대로289번길 2-2||35.1456001|126.9270926|광주광역시 광산구 본량동산길 93|||61|54|7|0|0||||||||09:00|19:00||||||||062-228-3888|2017-11-24|3590000|광주광역시 동구
태현렌트카|주사업장|광주광역시 동구 지산로 21||35.1460869|126.931184|광주광역시 광산구 삼도송계안길 46-20|||79|70|9|0|0||||||||09:00|19:00||||||||062-521-0005|2017-11-24|3590000|광주광역시 동구
대광렌트카|주사업장|광주광역시 동구 문화전당로26번길 4||35.1447861|126.9200855|광주광역시 서구 덕흥1길 29|||116|115|1|0|0||||||||09:00|19:00||||||||062-233-8288|2017-11-24|3590000|광주광역시 동구
이지렌트카|주사업장|광주광역시 동구 화산로 318-7||35.1175848|126.9308565|광주광역시 북구 자동차로 60|||98|93|5|0|0||||||||09:00|19:00||||||||062-233-8510|2017-11-24|3590000|광주광역시 동구
엠씨렌트카|주사업장|경기도 안양시 동안구 경수대로 483|경기도 안양시 동안구 호계동 975-3|37.36590676|126.9577082|경기도 안양시 동안구 관평로170번길 43|경기도 안양시 동안구 관양동 1607|60|59|57|2|0|0|50000|60000|70000|110000|120000|0|0|08:30|19:00|08:30|18:00|08:30|18:00|일요일|0|장성환|031-429-0113|2018-05-23|3830000|경기도 안양시
유일렌트카|주사업장|경기도 안양시 동안구 관악대로 265-1|경기도 안양시 동안구 비산동 1052-2|37.40253464|126.9524535|경기도 안양시 동안구 관평로170번길 43|경기도 안양시 동안구 관양동 1607|67|66|61|5|0|0|50000|60000|70000|130000|120000|0|0|09:00|20:00|09:00|20:00|09:00|20:00|0|0|정영만|031-384-2266|2018-05-23|3830000|경기도 안양시
코리아렌트카|주사업장|경기도 안양시 동안구 관평로170번길 43|경기도 안양시 동안구 관양동 1607|37.39329513|126.9631645|경기도 안양시 동안구 관평로170번길 43|경기도 안양시 동안구 관양동 1607|65|51|50|1|0|0|40000|50000|70000|120000|120000|0|120000|09:00|20:00|09:00|20:00|09:00|20:00|0|0|최병우|031-387-7000|2018-05-23|3830000|경기도 안양시
국민렌트카|주사업장|경기도 안양시 동안구 관평로170번길 43|경기도 안양시 동안구 관양동 1607|37.39329513|126.9631645|경기도 안양시 동안구 관평로170번길 43|경기도 안양시 동안구 관양동 1607|70|50|49|1|0|0|50000|65000|80000|130000|120000|0|310000|08:00|00:00|08:00|00:00|08:00|00:00|0|cafe.daum.net/kokminrentcar|유영석|031-458-1622|2018-05-23|3830000|경기도 안양시
뉴대명렌트카|주사업장|경기도 안양시 동안구 평촌대로243번길 30|경기도 안양시 동안구 비산동 1110-1|37.39281361|126.9529955|경기도 안양시 동안구 평촌대로243번길 30, 박달동 137-10,138-1|경기도 안양시 동안구 비산동 1110-1, 박달동 137-10,138-1|225|201|182|19|0|0|55000|60000|70000|120000|120000|0|250000|08:30|20:00|08:30|20:00|08:30|20:00|0|0|조규각|031-458-2258|2018-05-23|3830000|경기도 안양시
에프에이렌트카|주사업장|경기도 안양시 동안구 경수대로 721|경기도 안양시 동안구 호계동 918-16|37.38586833|126.9505209|경기도 안양시 동안구 시민대로 312|경기도 안양시 동안구 평촌동 897|40|40|34|6|0|0|50000|60000|70000|120000|120000|0|0|09:00|18:00|09:00|18:00|09:00|18:00|토,일|www.farentcar.co.kr|하준호|031-896-8040|2018-05-23|3830000|경기도 안양시
(유)케이비렌트카|주사업장|전라남도 목포시 삼학로145번길 1(산정동)||34.817128|126.454543|전라남도 목포시 삽진산단로 106|전라남도 목포시 연산동 1280, 대양동 941||122|115|7|0|0||||||||09:00|21:00||||||||061-278-7789|2018-04-25|4800000|전라남도 목포시
(유)케이비렌트카|영업소|전라남도 목포시 삼학로 124, 3층||34.794165|126.397931|전라남도 목포시 달동 1336-17|전라남도 목포시 달동 1336-17||11|10|1|0|0||||||||09:00|21:00||||||||061-278-7789|2018-04-25|4800000|전라남도 목포시
(유)드림렌터카|주사업장|전라남도 목포시 영산로 525(상동, 목포종합버스터미널)||34.812722|126.417197|전라남도 목포시 삼학로 284, 삼학로 288|전라남도 목포시 용해동 170-15, 용해동 170-33, 상동 823-10||96|91|5|0|0||||||||09:00|21:00||||||||061-246-8888|2018-04-25|4800000|전라남도 목포시
