##NAME|SUBNAME|TELNUM|NEWADDR@@꼬지사께
꼬지사께|포항양덕점|054-255-7784|경북 포항시 북구 장성로 92 (장성동)
꼬지사께|속초조양부영점|033-633-3232|강원 속초시 동해대로 4161 (조양동)
꼬지사께|서울전농점|02-3394-8866|서울 동대문구 전농로 102 (답십리동, 목련빌딩) 1층 103호
꼬지사께|파주문산CGV점|031-952-6787|경기 파주시 문산읍 방촌로 1719-10 (당동리) 1층
꼬지사께|천안불당프라디움점|041-532-7174|충남 천안시 서북구 공원로 176 (불당동, 천안불당 시티프라디움 3차) 근린생활시설 3동 지하1층 B133호
꼬지사께|원주혁신중흥점|033-746-7462|강원 원주시 배울로 24 (반곡동, 중흥S클래스 프라디움 아파트) APT상가 106호
꼬지사께|구미확장단지점|054-472-5158|경북 구미시 산동면 신당1로2길 9 (신당리) 1동 107호
꼬지사께|충주용산점|043-852-1888|충북 충주시 남산로 91 (용산동)
꼬지사께|대구월성점|053-634-3668|대구 달서구 조암로 39 (월성동)
꼬지사께|세종종촌점|044-998-3180|세종 도움1로 105 (종촌동, 가재마을 5단지) 단지내 상가 532동 105호
꼬지사께|원주기업도시점|033-732-3366|강원 원주시 지정면 신지정로 325-2 (가곡리, EG-the1 아파트 상가동) 상가동 421동 111호
꼬지사께|부산시청점|051-851-0506|부산 연제구 신촌로 27 (연산동) 101호
꼬지사께|대구대곡수목원점|053-637-3500|대구 달서구 한실로6길 120-39 (대곡동) 1층
꼬지사께|평택안중점|031-681-6181|경기 평택시 안중읍 안현로 304 (송담리) 101호
꼬지사께|진해자은점|055-546-4460|경남 창원시 진해구 냉천남로 3-10 (자은동, 자은스퀘어) 자은스퀘어주차B/D, 106
꼬지사께|동탄장지점|031-372-7730|경기 화성시 경기동로317번가길 4-10 (장지동)
꼬지사께|금천롯데캐슬점|02-805-8800|서울 금천구 시흥대로 291 (독산동, 금천롯데캐슬골드파크3차) 2층 224호
꼬지사께|청주율량점|043-215-2600|충북 청주시 청원구 주성로279번길 27 (주성동) 1층
꼬지사께|인천서창점|032-465-7755|인천 남동구 서창남로 35 (서창동) 해피프라자 1층 111호
꼬지사께|일산웨스턴돔점|031-963-1052|경기 고양시 일산동구 정발산로 24 (장항동, 웨스턴돔) A동 112호
꼬지사께|평택센트럴자이점|031-658-0423|경기 평택시 상서재로5길 15 (동삭동, 평택센트럴자이 1단지) 117동 110호
꼬지사께|제주연동점|064-721-5090|제주 제주시 국기로4길 1 (연동)
꼬지사께|안산본오점|031-502-5247|경기 안산시 상록구 샘골로 99-1 (본오동) 103호
꼬지사께|울산명덕점|052-252-5115|울산 동구 명덕4길 11 (서부동)
꼬지사께|구미옥계점|054-475-3300|경북 구미시 산호대로29길 9 (옥계동) 1층 107호
꼬지사께|양산물금점|055-366-7548|경남 양산시 물금읍 물금로 96-17 (가촌리)
꼬지사께|경남합천점|055-932-0099|경남 합천군 합천읍 옥산로 34 (합천리)
꼬지사께|석촌호수점|02-422-2429|서울 송파구 송파대로49길 52 (석촌동) 나인파크 오피스텔 A동 1층 101호
꼬지사께|진주금산점|055-763-3012|경남 진주시 금산면 금산순환로12번길 10-4 (장사리)
꼬지사께|이천하이닉스점|031-638-9423|경기 이천시 부발읍 경충대로2110번길 10-1 (아미리, 영원타운)
꼬지사께|천안청당점|041-555-9792|충남 천안시 동남구 청수12로 21 (청당동) 101호
꼬지사께|부산남구청점|051-636-8411|부산 남구 수영로 185 (대연동)
꼬지사께|부산남항점|051-411-5957|부산 영도구 절영로35번길 34 (남항동1가)
꼬지사께|영덕영해점|054-732-5115|경북 영덕군 영해면 318만세길 148-1 (성내리)
꼬지사께|무안점|061-454-2632|전남 무안군 무안읍 불무로 38-3 (교촌리, 보경프라자)
꼬지사께|창원산호점|055-245-7778|경남 창원시 마산합포구 용마로 77 (산호동) 105호
꼬지사께|여수무선점|061-666-5454|전남 여수시 화산로 117 (화장동) 1층
꼬지사께|남해점|055-863-0803|경남 남해군 남해읍 화전로38번길 3 (서변리, 남해두부)
