##NAME|SUBNAME|TELNUM|ADDR@@카페띠아모
카페띠아모|천안성정점|축하합니다!!|
카페띠아모|방이동점|070-4895-2149|서울시 송파구 방이동 159
카페띠아모|영월/중앙로점|033-375-6228|강원도 영월군 영월읍 중앙로 53-1
카페띠아모|부천옥길점|032-343-1537|경기도 부천시 옥길동 710-1번지
카페띠아모|하이원워터월드점||강원도 정선군 사북읍 하이원길 175
카페띠아모|광양/광양읍점|061-762-1117|전남 광양시 광양읍 서천변로 191, 1,2층
카페띠아모|강릉/교동점|033-641-6839|강원 강릉시 교동 1889-5번지
카페띠아모|마포/중앙도서관점|02-336-3501|서울 마포구 성산로 128, 마포 중앙도서관 지하1층 9호
카페띠아모|쌍문동점|02-993-2148|서울 도봉구 창동 828번지 성우스타펠리스 1층
카페띠아모|원주/혁신점|033-744-8770|강원 원주시 반곡동 1884-1번지
카페띠아모|고려대/현대자동차경영관점|02-929-2600|서울 성북구 안암로145 고려대 현대자동차경영관 지하1층
카페띠아모|한양대/MK점|070-7760-3173|서울 성동구 왕십리로 222 한양대엔지니어링하우스 B103
카페띠아모|청주/사창점|043-265-2002|충북 청주시 흥덕구 사창동 369-67 가람빌딩1층
카페띠아모|경기대점|02-313-6284|서울 서대문구 충정로 2가 184-4 1층 104호
카페띠아모|삼척/해변점|033-575-7787|강원 삼척시 갈천동 14 삼척테마타운 3동 103호
카페띠아모|논산/연무점|041-742-0721|충남 논산시 연무읍 동산리 897-5번지 (2층)
카페띠아모|시흥/정왕점|031-432-3369|경기 시흥시 정왕동 1859-12 번지
카페띠아모|동래/럭키점|070-8836-5432|부산 동래구 온천동 707-1번지
카페띠아모|서귀포/서홍점|064-762-3033|제주 서귀포시 서홍동 290-2번지
카페띠아모|원주/삼광점|033-745-0779|강원 원주시 봉산동 1193-10번지
카페띠아모|칭원/시티세븐점|055-600-5331|경남 창원시 두대동 121번지 씨티7몰 2층
카페띠아모|부산/괴정역점|070-8692-6306|부산 사하구 괴정동 1016-1번지 엔스타상가1101호
카페띠아모|제주대점|064-702-7498|제주 제주시 아라2동 35-22번지
